funding_return,apr_simple,pos_frac,neg_frac,zero_frac,stdev,top10_share,max_drawdown,n_prints,window_days,symbol,rank_apr,quality_score,rank_quality
-0.0009999599999999998,-0.052140771428571424,0.18181818181818182,0.8181818181818182,0.0,5.508517645691313e-05,1.0000000000000002,0.0010946699999999998,22,7,BTCUSDT,63,-0.6445822711381177,73
0.00172287,0.020961585,0.7252747252747253,0.27472527472527475,0.0,5.374722510261466e-05,0.3064955568286281,0.0010946700000000003,91,30,BTCUSDT,34,-0.20694349291691944,37
0.046185840000000006,0.046185840000000006,0.8529680365296803,0.14703196347031963,0.0,4.2345388914601934e-05,0.01969152439376196,0.001094670000000006,1095,365,BTCUSDT,25,-0.06924752796305689,4
0.00069865,0.03642960714285714,0.8181818181818182,0.18181818181818182,0.0,4.5222858197071054e-05,0.7855396517487173,7.901999999999999e-05,22,7,BCHUSDT,31,-0.3550361008110758,32
-0.00265051,-0.03224787166666667,0.46153846153846156,0.5384615384615384,0.0,9.281363191338343e-05,0.4874657350174684,0.00352064,91,30,BCHUSDT,65,-0.3653860986308419,74
-0.035424739999999996,-0.035424739999999996,0.4968036529680365,0.5031963470319635,0.0,0.00013795902582256433,0.027798217409603535,0.03788143000000014,1095,365,BCHUSDT,73,-0.2234437626776294,66
-0.001073,-0.055949285714285715,0.2727272727272727,0.7272727272727273,0.0,8.59091534535607e-05,1.0,0.00112803,22,7,ETHUSDT,66,-0.6392754654770201,70
8.581999999999993e-05,0.0010441433333333325,0.6373626373626373,0.3626373626373626,0.0,7.474911117399174e-05,0.35704484725933416,0.00204056,91,30,ETHUSDT,49,-0.2588330713462026,54
0.04314394,0.04314394,0.8200913242009132,0.17990867579908676,0.0,4.6793577770262525e-05,0.020256483543328922,0.002040559999999997,1095,365,ETHUSDT,29,-0.0818568824063653,9
-0.00235846,-0.12297684285714286,0.13636363636363635,0.8636363636363636,0.0,0.00011861179119608558,1.0,0.0023799899999999994,22,7,XRPUSDT,79,-0.7111035306363516,85
-0.00242668,-0.029524606666666668,0.4065934065934066,0.5934065934065934,0.0,9.669686604554997e-05,0.42760969840331176,0.00337698,91,30,XRPUSDT,63,-0.3648472956391673,73
0.02586282,0.02586282,0.6648401826484018,0.33515981735159817,0.0,8.013146051193669e-05,0.03972608446659167,0.00609155,1095,365,XRPUSDT,42,-0.15125325314033417,46
-0.00028683,-0.014956135714285716,0.45454545454545453,0.5454545454545454,0.0,3.4524687205721246e-05,1.0000000000000002,0.00028816000000000003,22,7,LTCUSDT,46,-0.5377647497901263,51
0.00111939,0.013619245,0.5824175824175825,0.4175824175824176,0.0,5.0864573544648935e-05,0.3766204293540579,0.0004690100000000002,91,30,LTCUSDT,39,-0.27647769466735894,59
0.04907102,0.04907102,0.7863013698630137,0.2136986301369863,0.0,5.775605927983912e-05,0.025175163346907437,0.0006654999999999994,1095,365,LTCUSDT,21,-0.09837460975685305,15
-0.00470868,-0.24552402857142858,0.36363636363636365,0.6363636363636364,0.0,0.00040059311931762894,0.9999999999999998,0.00458587,22,7,TRXUSDT,87,-0.8628768101900385,91
-0.01441168,-0.17534210666666666,0.2967032967032967,0.7032967032967034,0.0,0.00029248467242828707,0.6184012179482373,0.014664779999999995,91,30,TRXUSDT,85,-0.5214475037175301,86
-0.022066099999999998,-0.022066099999999998,0.5643835616438356,0.434703196347032,0.0009132420091324201,0.00017478205635406525,0.0246530350338696,0.030718070000000024,1095,365,TRXUSDT,67,-0.21244432259797713,63
-0.00073939,-0.03855390714285714,0.2727272727272727,0.7272727272727273,0.0,7.099852778854288e-05,1.0,0.00080415,22,7,ETCUSDT,54,-0.6271749811208881,67
0.0006707300000000001,0.008160548333333335,0.5604395604395604,0.43956043956043955,0.0,7.014292017099602e-05,0.3491961504616373,0.0008041499999999999,91,30,ETCUSDT,43,-0.28024092228478004,60
0.03756809,0.03756809,0.7251141552511415,0.27488584474885847,0.0,8.577141660271983e-05,0.016522128334310063,0.005780389999999955,1095,365,ETCUSDT,34,-0.1255451205726353,29
0.0004061799999999999,0.02117938571428571,0.6363636363636364,0.36363636363636365,0.0,4.419609723430115e-05,0.9020261845386534,9.451e-05,22,7,LINKUSDT,38,-0.4528078857293987,42
0.00299082,0.03638831,0.7032967032967034,0.2967032967032967,0.0,5.792221132111567e-05,0.24247891039676822,0.00019433999999999988,91,30,LINKUSDT,27,-0.1941088577479673,32
0.04940609,0.04940609,0.7817351598173516,0.2182648401826484,0.0,6.72458783406175e-05,0.015722523867577356,0.00115657,1095,365,LINKUSDT,20,-0.10005098415272784,17
-0.00202889,-0.10579212142857145,0.2727272727272727,0.7272727272727273,0.0,0.00011868477860327093,1.0,0.0022924200000000003,22,7,XLMUSDT,75,-0.6659900637048661,79
-0.0025174200000000002,-0.030628610000000004,0.4835164835164835,0.5164835164835165,0.0,0.00010633997018560327,0.37885389120831653,0.00352426,91,30,XLMUSDT,64,-0.32613837927591144,68
-0.02408797,-0.02408797,0.5114155251141552,0.4885844748858447,0.0,0.00011826407204920274,0.026094099497845153,0.027113100000000015,1095,365,XLMUSDT,68,-0.21111346441147724,62
-0.00121015,-0.06310067857142856,0.3181818181818182,0.6818181818181818,0.0,0.00010113215568059105,0.9999999999999998,0.0012816899999999996,22,7,ADAUSDT,68,-0.636523369955062,68
-0.00019003999999999983,-0.0023121533333333314,0.4945054945054945,0.5054945054945055,0.0,9.053906629656817e-05,0.3235293166090245,0.0021134200000000004,91,30,ADAUSDT,52,-0.29945898541652793,66
0.03514502,0.03514502,0.7242009132420091,0.27579908675799086,0.0,8.236908120362615e-05,0.016915819300121798,0.00477565,1095,365,ADAUSDT,36,-0.12482028705397127,28
0.00223027,0.11629265,1.0,0.0,0.0,5.399577979376895e-06,0.4619485533141727,0.0,22,7,XMRUSDT,4,-0.15559904509589623,9
0.014638469999999999,0.17810138499999997,0.978021978021978,0.02197802197802198,0.0,0.0001701684595139648,0.34858851676252084,0.00016262,91,30,XMRUSDT,1,-0.16910614102797428,28
0.18982181,0.18982181,0.9424657534246575,0.057534246575342465,0.0,0.0004232034626767321,0.11573500130799232,0.009188570000000014,1095,365,XMRUSDT,2,-0.20210010840649995,61
-0.00011102000000000003,-0.005788900000000001,0.6818181818181818,0.3181818181818182,0.0,0.00012988155144191447,0.8032761195405689,0.00060154,22,7,DASHUSDT,44,-0.4740270899149833,45
-0.08153898,-0.99205759,0.45054945054945056,0.5494505494505495,0.0,0.002382327082739017,0.3218217686680762,0.08243950999999995,91,30,DASHUSDT,96,-0.9574404408791465,97
-0.24293527999999998,-0.24293527999999998,0.7242009132420091,0.27579908675799086,0.0,0.0013484011548656003,0.01428266391677777,0.29674198000000024,1095,365,DASHUSDT,90,-0.5659491694489575,94
0.0012116300000000004,0.06317785000000002,0.9090909090909091,0.09090909090909091,0.0,6.0868083565205395e-05,0.7286186846975503,0.0001598699999999999,22,7,ZECUSDT,22,-0.3184988125347086,25
-0.00627548,-0.07635167333333334,0.5714285714285714,0.42857142857142855,0.0,0.00021232854164775181,0.2781122850539677,0.009288320000000001,91,30,ZECUSDT,75,-0.29461027985386656,63
-0.19968786,-0.19968785999999997,0.6639269406392694,0.3360730593607306,0.0,0.0010727282673282565,0.017104482926791505,0.20621351000000443,1095,365,ZECUSDT,88,-0.49070074179148443,91
0.0004164200000000001,0.021713328571428575,0.6976744186046512,0.3023255813953488,0.0,5.3408982487817456e-05,0.42369290738073057,0.00027839,43,7,XTZUSDT,37,-0.282089097714292,19
0.0029887200000000003,0.03636276,0.7348066298342542,0.26519337016574585,0.0,5.4659198473283774e-05,0.08342677131720859,0.00090327,181,30,XTZUSDT,28,-0.13029171349400712,19
-0.16063370999999999,-0.16063370999999999,0.5316239316239316,0.4683760683760684,0.0,0.00038007181360679473,0.02079778212451424,0.1650474100000021,1755,365,XTZUSDT,84,-0.294889774516118,75
1.73e-05,0.0009020714285714285,0.045454545454545456,0.0,0.9545454545454546,3.6035708873970912e-06,1.0,0.0,22,7,BNBUSDT,41,-0.33287335989916106,29
0.00129095,0.015706558333333332,0.26373626373626374,0.0,0.7362637362637363,3.08581685856098e-05,0.6852782834346799,0.0,91,30,BNBUSDT,38,-0.23479787632220012,47
-0.014836850000000006,-0.014836850000000006,0.19817351598173516,0.16164383561643836,0.6401826484018265,9.202608172212285e-05,0.1540576930684221,0.02340412,1095,365,BNBUSDT,65,-0.1362559373042868,36
0.0018534499999999998,0.09664417857142857,0.9767441860465116,0.023255813953488372,0.0,1.9910208306494545e-05,0.2605523710265764,6.555e-05,43,7,ONTUSDT,15,-0.10861579540659608,2
-0.019987439999999995,-0.24318051999999993,0.6298342541436464,0.3701657458563536,0.0,0.0006153962761252605,0.09715510423771134,0.022509500000000005,181,30,ONTUSDT,86,-0.332405169789935,70
-0.16221395,-0.16221395,0.6171003717472119,0.3828996282527881,0.0,0.0008646596888384163,0.01421433396179642,0.18154253000000017,1345,365,ONTUSDT,85,-0.4326410197394572,85
-0.0008513100000000001,-0.04438973571428572,0.36363636363636365,0.6363636363636364,0.0,0.00010284139967838787,1.0000000000000002,0.0009831999999999998,22,7,ATOMUSDT,56,-0.6227034299028806,62
-0.006103740000000001,-0.07426217000000002,0.2857142857142857,0.7142857142857143,0.0,9.914228642811024e-05,0.6482633906967663,0.006182770000000002,91,30,ATOMUSDT,74,-0.47869891290302014,83
-0.09551063,-0.09551063000000001,0.354337899543379,0.645662100456621,0.0,0.00023756480178123825,0.03747186331463362,0.09537998999999994,1095,365,ATOMUSDT,80,-0.3088062661938931,78
-0.00086415,-0.04505925000000001,0.5909090909090909,0.4090909090909091,0.0,0.0001930441316354483,0.8789084551927594,0.0016132199999999998,22,7,IOTAUSDT,57,-0.5799001834231489,55
-0.00317066,-0.03857636333333333,0.6153846153846154,0.38461538461538464,0.0,0.00021898037397803918,0.208868995277472,0.005080730000000001,91,30,IOTAUSDT,68,-0.2587765132604872,53
0.047459190000000005,0.047459190000000005,0.7908675799086758,0.2091324200913242,0.0,0.0001066625221502382,0.013535992406849695,0.005080729999999978,1095,365,IOTAUSDT,22,-0.11000978228823906,20
-0.0006655100000000001,-0.03470159285714287,0.45454545454545453,0.5454545454545454,0.0,0.0001433776576507991,1.0000000000000002,0.0008715999999999999,22,7,BATUSDT,51,-0.6250301992841176,63
-0.00040312999999999997,-0.004904748333333333,0.6263736263736264,0.37362637362637363,0.0,0.00013292097738344926,0.24196963281108222,0.00206735,91,30,BATUSDT,54,-0.24115802718716267,50
-0.0027160499999999907,-0.0027160499999999907,0.6831050228310502,0.31689497716894977,0.0,0.0001806650206789038,0.015620982478568787,0.021226389999999998,1095,365,BATUSDT,58,-0.17243447445043755,53
-0.00036632000000000006,-0.019100971428571433,0.5909090909090909,0.4090909090909091,0.0,0.00010708474392270701,0.8931079982406802,0.0007121,22,7,VETUSDT,47,-0.515570296452875,48
0.0002930000000000001,0.0035648333333333343,0.6593406593406593,0.34065934065934067,0.0,9.824853475940127e-05,0.26545548178842665,0.0014958600000000001,91,30,VETUSDT,46,-0.2280420737099184,44
0.05624872,0.05624872,0.8191780821917808,0.18082191780821918,0.0,0.00010109381232789964,0.012875970284835775,0.002991529999999999,1095,365,VETUSDT,14,-0.09842969436629037,16
-0.00105163,-0.054834992857142856,0.45454545454545453,0.5454545454545454,0.0,0.00011848004351694365,1.0,0.00118133,22,7,NEOUSDT,64,-0.605316731399274,58
-0.00037913,-0.004612748333333333,0.6263736263736264,0.37362637362637363,0.0,0.00010968228250693202,0.27191720664891955,0.0025362600000000003,91,30,NEOUSDT,53,-0.2444008236813678,51
0.033717460000000005,0.033717460000000005,0.7616438356164383,0.23835616438356164,0.0,0.0001231081868236628,0.01710786797678683,0.01062526,1095,365,NEOUSDT,37,-0.12667515133694535,30
0.0011312300000000002,0.05898556428571429,0.7727272727272727,0.22727272727272727,0.0,6.461047343168222e-05,0.706219676692632,0.00011642,22,7,QTUMUSDT,26,-0.35914248020645717,33
