asset_uid,coingecko_id,active,cg_valid_from,cg_valid_to,binance_symbol,binance_multiplier,valid_from,valid_to,evidence
$1,just-buy-1-worth-of-this-coin,False,,,,,,,no Binance USDT perp validated
$BEAR,bearxrpl,False,,,,,,,no Binance USDT perp validated
$BORGY,borgy,False,,,,,,,no Binance USDT perp validated
$CPT,empulser-enterprises,False,,,,,,,no Binance USDT perp validated
$FARTBOY,fartboy,False,,,,,,,no Binance USDT perp validated
$HACHI,hachiko-3,False,,,,,,,no Binance USDT perp validated
$JIM,naked-jim,False,,,,,,,no Binance USDT perp validated
$MICHI,michicoin,False,,,,,,,no Binance USDT perp validated
$MYRO,myro,False,,,,,,,no Binance USDT perp validated
$NAP,snap-kero,False,,,,,,,no Binance USDT perp validated
0G,zero-gravity,True,,,0GUSDT,1.0,2025-09-17,,"ticker match; vs CoinGecko zero-gravity: 362 days, median gap 0.20%"
0X0,0x0-ai-ai-smart-contract,False,,,,,,,no Binance USDT perp validated
0XY,0xy,False,,,,,,,no Binance USDT perp validated
1-COIN-CAN-CHANGE-YOUR-LIFE,1-coin-can-change-your-life,False,,,,,,,no Binance USDT perp validated
10SET,tenset,False,,,,,,,no Binance USDT perp validated
1GUY,1guy,False,,,,,,,no Binance USDT perp validated
1INCH,1inch,True,,,1INCHUSDT,1.0,2020-12-25,,"ticker match; vs CoinGecko 1inch: 728 days, median gap 0.14%"
1R0R,r0ar-token,False,,,,,,,no Binance USDT perp validated
1USDC,harmony-horizen-bridged-usdc-harmony,False,,,,,,,no Binance USDT perp validated
2Z,doublezero,True,,,2ZUSDT,1.0,2025-10-02,,"ticker match; vs CoinGecko doublezero: 351 days, median gap 0.16%"
3ULL,playa3ull-games-2,False,,,,,,,no Binance USDT perp validated
4,4-2,False,,,4USDT,1.0,2025-10-08,,"ticker match; vs CoinGecko 4-2: 345 days, median gap 0.38%"
401JK,401jk,False,,,,,,,no Binance USDT perp validated
42,semantic-layer,False,,,42USDT,1.0,2025-10-27,2026-01-29,"ticker match; vs CoinGecko semantic-layer: 95 days, median gap 0.62%"
4CHAN,4chan,False,,,,,,,no Binance USDT perp validated
67,the-official-67-coin,False,,,,,,,no Binance USDT perp validated
69420,69420,False,,,,,,,no Binance USDT perp validated
9BIT,the9bit,True,,,,,,,no Binance USDT perp validated
A,vaulta,True,,,AUSDT,1.0,2025-05-28,,"ticker match; vs CoinGecko vaulta: 478 days, median gap 0.17%"
A0T,agent-zero-token,False,,,,,,,no Binance USDT perp validated
A1C,sally-a1c,False,,,,,,,no Binance USDT perp validated
A2Z,arena-z,False,,,A2ZUSDT,1.0,2025-07-30,2026-03-23,"ticker match; vs CoinGecko arena-z: 237 days, median gap 0.18%"
A47,agenda-47,False,,,,,,,no Binance USDT perp validated
A7A5,a7a5,True,,,,,,,no Binance USDT perp validated
A8,ancient8,False,,,,,,,no Binance USDT perp validated
AAPLON,apple-ondo-tokenized-stock,False,,,,,,,no Binance USDT perp validated
AAPLX,apple-xstock,False,,,,,,,no Binance USDT perp validated
AAVE,aave,True,,,AAVEUSDT,1.0,2020-10-16,,"ticker match; vs CoinGecko aave: 728 days, median gap 0.09%"
AB,newton-project,True,,,,,,,no Binance USDT perp validated
ABEL,abelian,False,,,,,,,no Binance USDT perp validated
ABEY,abey,True,,,,,,,no Binance USDT perp validated
ABSTER,abster,False,,,,,,,no Binance USDT perp validated
ABT,arcblock,True,,,,,,,no Binance USDT perp validated
ABX,alphbanx,False,,,,,,,no Binance USDT perp validated
ACA,acala,False,,,,,,,no Binance USDT perp validated
ACE,endurance,False,,,ACEUSDT,1.0,2023-12-18,,"ticker match; vs CoinGecko endurance: 728 days, median gap 0.15%"
ACH,alchemy-pay,True,,,ACHUSDT,1.0,2023-02-21,,"ticker match; vs CoinGecko alchemy-pay: 728 days, median gap 0.13%"
ACM,ac-milan-fan-token,False,,,,,,,no Binance USDT perp validated
ACN,solidus-aitech,True,,,,,,,no Binance USDT perp validated
ACRED,apollo-diversified-credit-securitize-fund,True,,,,,,,no Binance USDT perp validated
ACS,access-protocol,False,,,,,,,no Binance USDT perp validated
ACT,act-i-the-ai-prophecy,False,,,ACTUSDT,1.0,2024-11-11,,"ticker match; vs CoinGecko act-i-the-ai-prophecy: 676 days, median gap 0.13%"
