symbol,coingecko_id,venue
BTC,bitcoin,BINANCE
ETH,ethereum,BINANCE
USDT,tether,BINANCE
XRP,ripple,BINANCE
BNB,binancecoin,BINANCE
USDC,usd-coin,BINANCE
SOL,solana,BINANCE
TRX,tron,BINANCE
FIGR_HELOC,figure-heloc,BINANCE
DOGE,dogecoin,BINANCE
WBT,whitebit,BINANCE
USDS,usds,BINANCE
HYPE,hyperliquid,BINANCE
LEO,leo-token,BINANCE
ADA,cardano,BINANCE
BCH,bitcoin-cash,BINANCE
XMR,monero,BINANCE
ZEC,zcash,BINANCE
LINK,chainlink,BINANCE
CC,canton-network,BINANCE
XLM,stellar,BINANCE
USD1,usd1-wlfi,BINANCE
TON,the-open-network,BINANCE
DAI,dai,BINANCE
LTC,litecoin,BINANCE
AVAX,avalanche-2,BINANCE
USDE,ethena-usde,BINANCE
HBAR,hedera-hashgraph,BINANCE
SUI,sui,BINANCE
SHIB,shiba-inu,BINANCE
RAIN,rain,BINANCE
M,memecore,BINANCE
PYUSD,paypal-usd,BINANCE
CRO,crypto-com-chain,BINANCE
USYC,hashnote-usyc,BINANCE
TAO,bittensor,BINANCE
XAUT,tether-gold,BINANCE
USDG,global-dollar,BINANCE
BUIDL,blackrock-usd-institutional-digital-liquidity-fund,BINANCE
PAXG,pax-gold,BINANCE
MNT,mantle,BINANCE
UNI,uniswap,BINANCE
DOT,polkadot,BINANCE
WLFI,world-liberty-financial,BINANCE
PI,pi-network,BINANCE
SKY,sky,BINANCE
OKB,okb,BINANCE
USDF,falcon-finance,BINANCE
HTX,htx-dao,BINANCE
ASTER,aster-2,BINANCE
PEPE,pepe,BINANCE
NEAR,near,BINANCE
RLUSD,ripple-usd,BINANCE
ONDO,ondo-finance,BINANCE
USDD,usdd,BINANCE
BGB,bitget-token,BINANCE
AAVE,aave,BINANCE
ETC,ethereum-classic,BINANCE
USDY,ondo-us-dollar-yield,BINANCE
BFUSD,bfusd,BINANCE
JTRSY,janus-henderson-anemoy-treasury-fund,BINANCE
ICP,internet-computer,BINANCE
MORPHO,morpho,BINANCE
KCS,kucoin-shares,BINANCE
POL,polygon-ecosystem-token,BINANCE
U,united-stables,BINANCE
USTB,superstate-short-duration-us-government-securities-fund-ustb,BINANCE
ALGO,algorand,BINANCE
EUTBL,eutbl,BINANCE
QNT,quant-network,BINANCE
BCAP,blockchain-capital,BINANCE
ATOM,cosmos,BINANCE
RENDER,render-token,BINANCE
KAS,kaspa,BINANCE
NEXO,nexo,BINANCE
ENA,ethena,BINANCE
GT,gatechain-token,BINANCE
WLD,worldcoin-wld,BINANCE
APT,aptos,BINANCE
STABLE,stable-2,BINANCE
FIL,filecoin,BINANCE
JST,just,BINANCE
ARB,arbitrum,BINANCE
SKYAI,skyai,BINANCE
PUMP,pump-fun,BINANCE
FLR,flare-networks,BINANCE
PENGU,pudgy-penguins,BINANCE
BDX,beldex,BINANCE
VET,vechain,BINANCE
OUSG,ousg,BINANCE
DASH,dash,BINANCE
JUP,jupiter-exchange-solana,BINANCE
GHO,gho,BINANCE
XDC,xdce-crowd-sale,BINANCE
USDTB,usdtb,BINANCE
USD0,usual-usd,BINANCE
LUNC,terra-luna,BINANCE
SIREN,siren-2,BINANCE
HASH,hash-2,BINANCE
BONK,bonk,BINANCE
TRUMP,official-trump,BINANCE
YLDS,ylds,BINANCE
NIGHT,midnight-3,BINANCE
DEXE,dexe,BINANCE
TUSD,true-usd,BINANCE
CAKE,pancakeswap-token,BINANCE
USDM,megausd,BINANCE
A7A5,a7a5,BINANCE
VIRTUAL,virtual-protocol,BINANCE
FET,fetch-ai,BINANCE
EDGE,edgex,BINANCE
EURC,euro-coin,BINANCE
VVV,venice-token,BINANCE
ADI,adi-token,BINANCE
AERO,aerodrome-finance,BINANCE
STX,blockstack,BINANCE
CHZ,chiliz,BINANCE
JAAA,janus-henderson-anemoy-aaa-clo-fund,BINANCE
FDUSD,first-digital-usd,BINANCE
SEI,sei-network,BINANCE
币安人生,bianrensheng,BINANCE
XTZ,tezos,BINANCE
USX,usx,BINANCE
B,build-on,BINANCE
SUN,sun-token,BINANCE
INJ,injective-protocol,BINANCE
H,humanity,BINANCE
ZRO,layerzero,BINANCE
UMXM,manadia,BINANCE
CRV,curve-dao-token,BINANCE
ETHFI,ether-fi,BINANCE
SPX,spx6900,BINANCE
MON,monad,BINANCE
KAU,kinesis-gold,BINANCE
DCR,decred,BINANCE
GNO,gnosis,BINANCE
ZBCN,zebec-network,BINANCE
TIA,celestia,BINANCE
PRIME,hastra-prime,BINANCE
BSV,bitcoin-cash-sv,BINANCE
PENDLE,pendle,BINANCE
BTT,bittorrent,BINANCE
LDO,lido-dao,BINANCE
CFX,conflux-token,BINANCE
NFT,apenft,BINANCE
UB,unibase,BINANCE
FLOKI,floki,BINANCE
USDGO,usdgo,BINANCE
OHM,olympus,BINANCE
2Z,doublezero,BINANCE
CRVUSD,crvusd,BINANCE
SYRUP,syrup,BINANCE
APXUSD,apxusd,BINANCE
APEPE,ape-and-pepe,BINANCE
PYTH,pyth-network,BINANCE
KAG,kinesis-silver,BINANCE
