symbol,coingecko_id,is_stable
USDT,tether,1
USDC,usd-coin,1
BUSD,binance-usd,1
DAI,dai,1
TUSD,true-usd,1
USDS,usds,1
USDT0,usdt0,1
USDE,ethena-usde,1
FDUSD,first-digital-usd,1
USDD,usdd,1
PYUSD,paypal-usd,1
USDF,falcon-finance,1
USDG,global-dollar,1
RLUSD,ripple-usd,1
USDB,usdb,1
USDY,ondo-us-dollar-yield,1
USDAI,usdai,1
USDC.E,bridged-usd-coin-polygon-pos-bridge,1
USDC.N,ibc-bridged-usdc,1
USDC,binance-bridged-usdc-bnb-smart-chain,1
USDC,cronos-bridged-usdc-cronos,1
USDC,mantle-bridged-usdc-mantle,1
USDC,zksync-bridged-usdc-zksync,1
USDC,layerzero-bridged-usdc-etherlink,1
USDC.E,usd-coin-avalanche-bridged-usdc-e,1
DAI,polygon-pos-bridged-dai-polygon-pos,1
DAI,binance-peg-dai,1
USDT.E,tether-rainbow-bridge,1
USDT,bridged-tether-linea,1
EURC,euro-coin,1
EURA,ageur,1
CRVUSD,crvusd,1
LUSD,liquity-usd,1
FRAX,frax,1
GHO,gho,1
USX,usx,1
CUSD,cap-usd,1
CUSD,celo-dollar,1
USDX,usdx-money-usdx,1
BUCK,bucket-protocol-buck-stablecoin,1
STBL,stbl,1
USDON,ondo-u-s-dollar-token,1
USUAL,usual,1
USD0,usual-usd,1
USD1,usd1-wlfi,1
USDF,astherus-usdf,1
BFUSD,bfusd,1
SYRUPUSDC,syrupusdc,1
SYRUPUSDT,syrupusdt,1
SUSDS,susds,1
SUSDE,ethena-staked-usde,1
SUSDAI,susdai,1
SDAI,savings-dai,1
AUSD,agora-dollar,1
DUSD,standx-dusd,1
IUSD,infinifi-usd,1
USR,resolv-usr,1
WSTUSR,resolv-wstusr,1
USYC,hashnote-usyc,1
USTB,superstate-short-duration-us-government-securities-fund-ustb,1
USDTB,usdtb,1
OUSG,ousg,1
BUIDL,blackrock-usd-institutional-digital-liquidity-fund,1
STCUSD,staked-cap-usd,1
XTUSD,xtusd,1
SUSD,nusd,1
SATUSD,satoshi-stablecoin,1
USDN,noble-dollar-usdn,1
LISUSD,helio-protocol-hay,1
HYUSD,hylo-usd,1
YOUSD,yield-optimizer-usd,1
WAETHUSDC,wrapped-aave-ethereum-usdc,1
WAETHUSDT,wrapped-aave-ethereum-usdt,1
MWUSDC,moonwell-flagship-usdc-morpho-vault,1
STEAKUSDC,steakhouse-usdc-morpho-vault,1
USUALUSDC+,mev-capital-usual-boosted-usdc-morpho-vault,1
SCRVUSD,savings-crvusd,1
LIUSD,infinifi-locked-iusd-1week,1
SDOLA,sdola,1
FXUSD,f-x-protocol-fxusd,1
XUSD,straitsx-xusd,1
EURE,monerium-eur-money-2,1
MIMATIC,mimatic,1
CUSDC,compound-usd-coin,1
CBAT,compound-basic-attention-token,1
CWBTC,compound-wrapped-btc,1
BSC-USD,binance-bridged-usdt-bnb-smart-chain,1

