ticker,cohort,source,asset_id,rank,mcap_usd,name
ZEC,C1,snap_2026-04-16,ZEC,20,5663449114.0,Zcash
DASH,C1,snap_2026-04-16,DASH,106,483238353.0,Dash
ZEN,C1,snap_2026-04-16,ZEN,273,104521366.0,Horizen
ICNT,C2,snap_2026-04-16,ICNT,316,85454196.0,Impossible Cloud Network Token
PIEVERSE,C2,snap_2026-04-16,PIEVERSE,283,101346566.0,Pieverse
CHZ,C2,snap_2026-04-16,CHZ,109,438806034.0,Chiliz
FARTCOIN,C2,snap_2026-04-16,FARTCOIN,167,214153315.0,Fartcoin
KITE,C3,snap_2026-04-16,KITE,148,270132481.0,Kite
AXS,C3,snap_2026-04-16,AXS,179,194051780.0,Axie Infinity
MORPHO,C3,snap_2026-04-16,MORPHO,71,973656826.0,Morpho
STABLE,C3,snap_2026-04-16,STABLE,96,565544969.0,​​Stable
ARIA,C4,snap_2026-04-16,ARIA,911,17514499.0,Aria.AI
DEXE,C4,snap_2026-04-16,DEXE,99,535816626.0,DeXe
ONT,C4,snap_2026-04-16,ONT,358,73826248.0,Ontology
TAO,C4,snap_2026-04-16,TAO,41,2324801576.0,Bittensor
SIGN,C4,snap_2026-04-16,SIGN,463,50346566.0,Sign
