ticker,asset_id,xs_rank_entry,mcap_entry_usd
ZEC,ZEC,680,27095667.273197062
DASH,DASH,106,467560522.88514453
ZEN,ZEN,276,105598104.54037324
ICNT,ICNT,363,68931870.4886125
PIEVERSE,PIEVERSE,269,110477729.98832862
CHZ,CHZ,116,402335287.09694654
FARTCOIN,FARTCOIN,2415,821537.6931723589
KITE,KITE,170,231325442.37095743
AXS,AXS,189,195068306.25861
MORPHO,MORPHO,61,1022572619.4046528
STABLE,STABLE,99,556561078.2357967
ARIA,ARIA,347,72713336.73101597
DEXE,DEXE,120,388857433.300817
ONT,ONT,335,76757438.79281516
TAO,TAO,27,3200722373.713633
SIGN,SIGN,427,54398984.57216751
