symbol,coingecko_id,venue,cg_lc,dim_asset_id,in_dim_asset,in_fact_price
ETH,ethereum,BINANCE,ethereum,,False,False
USDT,tether,BINANCE,tether,,False,False
BNB,binancecoin,BINANCE,binancecoin,,False,False
XRP,ripple,BINANCE,ripple,,False,False
USDC,usd-coin,BINANCE,usd-coin,,False,False
SOL,solana,BINANCE,solana,,False,False
TRX,tron,BINANCE,tron,,False,False
STETH,staked-ether,BINANCE,staked-ether,,False,False
DOGE,dogecoin,BINANCE,dogecoin,,False,False
FIGR_HELOC,figure-heloc,BINANCE,figure-heloc,,False,False
ADA,cardano,BINANCE,cardano,,False,False
BCH,bitcoin-cash,BINANCE,bitcoin-cash,,False,False
WBT,whitebit,BINANCE,whitebit,,False,False
WSTETH,wrapped-steth,BINANCE,wrapped-steth,,False,False
WBTC,wrapped-bitcoin,BINANCE,wrapped-bitcoin,,False,False
WBETH,wrapped-beacon-eth,BINANCE,wrapped-beacon-eth,,False,False
WEETH,wrapped-eeth,BINANCE,wrapped-eeth,,False,False
BSC-USD,binance-bridged-usdt-bnb-smart-chain,BINANCE,binance-bridged-usdt-bnb-smart-chain,,False,False
LINK,chainlink,BINANCE,chainlink,,False,False
ZEC,zcash,BINANCE,zcash,,False,False
XMR,monero,BINANCE,monero,,False,False
LEO,leo-token,BINANCE,leo-token,,False,False
XLM,stellar,BINANCE,stellar,,False,False
CBBTC,coinbase-wrapped-btc,BINANCE,coinbase-wrapped-btc,,False,False
USDE,ethena-usde,BINANCE,ethena-usde,,False,False
HYPE,hyperliquid,BINANCE,hyperliquid,,False,False
LTC,litecoin,BINANCE,litecoin,,False,False
AVAX,avalanche-2,BINANCE,avalanche-2,,False,False
HBAR,hedera-hashgraph,BINANCE,hedera-hashgraph,,False,False
CC,canton-network,BINANCE,canton-network,,False,False
SHIB,shiba-inu,BINANCE,shiba-inu,,False,False
TON,the-open-network,BINANCE,the-open-network,,False,False
WLFI,world-liberty-financial,BINANCE,world-liberty-financial,,False,False
UNI,uniswap,BINANCE,uniswap,,False,False
PYUSD,paypal-usd,BINANCE,paypal-usd,,False,False
CRO,crypto-com-chain,BINANCE,crypto-com-chain,,False,False
SUSDE,ethena-staked-usde,BINANCE,ethena-staked-usde,,False,False
MNT,mantle,BINANCE,mantle,,False,False
USD1,usd1-wlfi,BINANCE,usd1-wlfi,,False,False
DOT,polkadot,BINANCE,polkadot,,False,False
M,memecore,BINANCE,memecore,,False,False
BGB,bitget-token,BINANCE,bitget-token,,False,False
XAUT,tether-gold,BINANCE,tether-gold,,False,False
USDF,falcon-finance,BINANCE,falcon-finance,,False,False
TAO,bittensor,BINANCE,bittensor,,False,False
ETC,ethereum-classic,BINANCE,ethereum-classic,,False,False
WETH,binance-peg-weth,BINANCE,binance-peg-weth,,False,False
JITOSOL,jito-staked-sol,BINANCE,jito-staked-sol,,False,False
BUIDL,blackrock-usd-institutional-digital-liquidity-fund,BINANCE,blackrock-usd-institutional-digital-liquidity-fund,,False,False
PI,pi-network,BINANCE,pi-network,,False,False
HASH,hash-2,BINANCE,hash-2,,False,False
ASTER,aster-2,BINANCE,aster-2,,False,False
ICP,internet-computer,BINANCE,internet-computer,,False,False
ENA,ethena,BINANCE,ethena,,False,False
PAXG,pax-gold,BINANCE,pax-gold,,False,False
SOL,wrapped-solana,BINANCE,wrapped-solana,,False,False
NIGHT,midnight-3,BINANCE,midnight-3,,False,False
USDG,global-dollar,BINANCE,global-dollar,,False,False
USYC,hashnote-usyc,BINANCE,hashnote-usyc,,False,False
HTX,htx-dao,BINANCE,htx-dao,,False,False
JLP,jupiter-perpetuals-liquidity-provider-token,BINANCE,jupiter-perpetuals-liquidity-provider-token,,False,False
KCS,kucoin-shares,BINANCE,kucoin-shares,,False,False
RLUSD,ripple-usd,BINANCE,ripple-usd,,False,False
WLD,worldcoin-wld,BINANCE,worldcoin-wld,,False,False
APT,aptos,BINANCE,aptos,,False,False
BNSOL,binance-staked-sol,BINANCE,binance-staked-sol,,False,False
USDC,binance-bridged-usdc-bnb-smart-chain,BINANCE,binance-bridged-usdc-bnb-smart-chain,,False,False
RETH,rocket-pool-eth,BINANCE,rocket-pool-eth,,False,False
ONDO,ondo-finance,BINANCE,ondo-finance,,False,False
GT,gatechain-token,BINANCE,gatechain-token,,False,False
KAS,kaspa,BINANCE,kaspa,,False,False
POL,polygon-ecosystem-token,BINANCE,polygon-ecosystem-token,,False,False
PUMP,pump-fun,BINANCE,pump-fun,,False,False
ARB,arbitrum,BINANCE,arbitrum,,False,False
RSETH,kelp-dao-restaked-eth,BINANCE,kelp-dao-restaked-eth,,False,False
QNT,quant-network,BINANCE,quant-network,,False,False
ALGO,algorand,BINANCE,algorand,,False,False
WSTETH,bridged-wrapped-lido-staked-ether-scroll,BINANCE,bridged-wrapped-lido-staked-ether-scroll,,False,False
JAAA,janus-henderson-anemoy-aaa-clo-fund,BINANCE,janus-henderson-anemoy-aaa-clo-fund,,False,False
TRUMP,official-trump,BINANCE,official-trump,,False,False
ATOM,cosmos,BINANCE,cosmos,,False,False
FBTC,ignition-fbtc,BINANCE,ignition-fbtc,,False,False
FIL,filecoin,BINANCE,filecoin,,False,False
XDC,xdce-crowd-sale,BINANCE,xdce-crowd-sale,,False,False
LBTC,lombard-staked-btc,BINANCE,lombard-staked-btc,,False,False
VET,vechain,BINANCE,vechain,,False,False
SOLVBTC,solv-btc,BINANCE,solv-btc,,False,False
FLR,flare-networks,BINANCE,flare-networks,,False,False
LSETH,liquid-staked-ethereum,BINANCE,liquid-staked-ethereum,,False,False
USTB,superstate-short-duration-us-government-securities-fund-ustb,BINANCE,superstate-short-duration-us-government-securities-fund-ustb,,False,False
WM,wrappedm-by-m0,BINANCE,wrappedm-by-m0,,False,False
SEI,sei-network,BINANCE,sei-network,,False,False
USDC.E,bridged-usdc-polygon-pos-bridge,BINANCE,bridged-usdc-polygon-pos-bridge,,False,False
BDX,beldex,BINANCE,beldex,,False,False
WBTC,arbitrum-bridged-wbtc-arbitrum-one,BINANCE,arbitrum-bridged-wbtc-arbitrum-one,,False,False
METH,mantle-staked-ether,BINANCE,mantle-staked-ether,,False,False
CAKE,pancakeswap-token,BINANCE,pancakeswap-token,,False,False
USDY,ondo-us-dollar-yield,BINANCE,ondo-us-dollar-yield,,False,False
RENDER,render-token,BINANCE,render-token,,False,False
MYX,myx-finance,BINANCE,myx-finance,,False,False
EZETH,renzo-restaked-eth,BINANCE,renzo-restaked-eth,,False,False
WFLR,wrapped-flare,BINANCE,wrapped-flare,,False,False
DAI,polygon-pos-bridged-dai-polygon-pos,BINANCE,polygon-pos-bridged-dai-polygon-pos,,False,False
JUP,jupiter-exchange-solana,BINANCE,jupiter-exchange-solana,,False,False
KHYPE,kinetic-staked-hype,BINANCE,kinetic-staked-hype,,False,False
WETH,l2-standard-bridged-weth-base,BINANCE,l2-standard-bridged-weth-base,,False,False
OSETH,stakewise-v3-oseth,BINANCE,stakewise-v3-oseth,,False,False
JUPSOL,jupiter-staked-sol,BINANCE,jupiter-staked-sol,,False,False
PENGU,pudgy-penguins,BINANCE,pudgy-penguins,,False,False
CRV,curve-dao-token,BINANCE,curve-dao-token,,False,False
IP,story-2,BINANCE,story-2,,False,False
USD0,usual-usd,BINANCE,usual-usd,,False,False
XTZ,tezos,BINANCE,tezos,,False,False
OP,optimism,BINANCE,optimism,,False,False
CTM,c8ntinuum,BINANCE,c8ntinuum,,False,False
FDUSD,first-digital-usd,BINANCE,first-digital-usd,,False,False
WETH,arbitrum-bridged-weth-arbitrum-one,BINANCE,arbitrum-bridged-weth-arbitrum-one,,False,False
LDO,lido-dao,BINANCE,lido-dao,,False,False
FET,fetch-ai,BINANCE,fetch-ai,,False,False
TUSD,true-usd,BINANCE,true-usd,,False,False
STX,blockstack,BINANCE,blockstack,,False,False
INJ,injective-protocol,BINANCE,injective-protocol,,False,False
SPX,spx6900,BINANCE,spx6900,,False,False
ETHFI,ether-fi,BINANCE,ether-fi,,False,False
VIRTUAL,virtual-protocol,BINANCE,virtual-protocol,,False,False
