asset_id,unique_dates
$1,429
$BEAR,358
$BORGY,364
$CPT,82
$FARTBOY,373
$HACHI,43
$JIM,458
$MICHI,646
$MYRO,754
$NAP,684
0G,130
0X0,754
0XY,184
1-COIN-CAN-CHANGE-YOUR-LIFE,148
10SET,754
1GUY,300
1INCH,754
1R0R,245
1USDC,714
2Z,120
3ULL,754
4,596
401JK,183
42,95
4CHAN,754
67,132
69420,637
A,247
A0T,291
A1C,343
A2Z,184
A47,365
A8,562
AAPLON,150
AAPLX,217
AAVE,754
AB,754
ABEL,754
ABSTER,370
ABT,754
ABX,401
ACA,754
ACE,36
ACH,754
ACM,754
ACRED,322
ACS,754
ACT,754
ACX,754
ADA,754
ADCO,752
ADI,52
ADO,592
ADP,754
ADS,754
ADX,491
AE,754
AERGO,754
AERO,754
AEROBUD,646
AEVO,688
AFC,754
AFR,734
AFSUI,749
AGENTFUN,430
AGETH,512
AGGON,122
AGI,754
AGIALPHA,364
AGIX,752
AGLD,754
AGRS,754
AGVE,754
AHT,754
AI,754
AI16Z,493
AI3,156
AIA,167
AIAT,743
AIC,507
AIDAUSDC,63
AIDOGE,754
AIKEK,708
AIN,754
AINTI,379
AIO,181
AIOT,280
AIOZ,754
AISM,221
AITECH,754
AITV,213
AIX,58
AIXBT,470
AJNA,742
AKE,162
AKITA,754
AKT,754
ALB,754
ALCH,425
ALCX,754
ALD,754
ALEO,531
ALEPH,754
ALGO,754
ALI,754
ALICE,754
ALKIMI,721
ALLINDOGE,234
ALLO,286
ALMANAK,83
ALOT,754
ALPH,754
ALPHA,754
ALPINE,754
ALT,735
ALTT,422
ALU,754
ALUSD,754
ALVA,696
AMAPT,754
AMETA,355
AMIKO,272
AMO,754
AMP,754
AMPL,754
AMPLUNA,247
AMZNON,150
AMZNX,210
ANA,201
ANDY,723
ANDY70B,438
ANGLE,754
ANIME,405
ANKR,754
ANKRETH,754
ANON,588
ANT,716
ANVL,461
ANY,754
ANYONE,754
AO,317
AOL,138
AOP,133
AP3X,294
APE,754
APEPE,540
APEX,754
APFC,754
API3,754
APL,216
APR,99
APRA,420
APT,754
APTM,300
APU,688
APX,754
AQT,754
AQUA,754
AR,754
ARA,159
ARARA,320
ARB,754
ARC,723
ARDR,754
ARENA,457
ARG,754
ARIA,415
ARIA20,754
ARIAIP,84
ARIO,317
ARK,754
ARKM,754
ARMY,456
ARPA,754
ARRR,754
ARTDRA,95
ARTY,754
ARW,211
ARX,754
ASBNB,342
ASD,754
ASIA,754
ASK,754
ASKJ,265
ASM,754
ASONUSDC,265
ASP,190
ASR,754
AST,754
ASTER,514
ASTR,754
ASTRA,754
ASUSDF,345
AT,98
ATA,754
ATETH,434
ATH,597
ATLAS,754
ATM,754
ATOM,754
ATONE,343
ATOS,280
ATR,750
ATS,654
ATTN,114
AU79,215
AUBRAI,155
AUCTION,754
AUDD,754
AUDIO,754
AUDM,59
AUKI,520
AURA,754
AURABAL,752
AURORA,754
AURY,754
AUSD,538
AUX,261
AVA,435
AVAIL,589
AVAX,754
AVICI,137
AVL,352
AVNT,143
AVO,278
AVT,754
AVUSD,382
AWE,754
AXCNH,113
AXEL,748
AXGT,714
AXL,754
AXS,754
AZEN,299
AZERO,754
AZIT,754
B,286
B2,275
B2M,753
B3,387
B3TR,424
B4FWX,553
BABY,712
BABYDOGE,754
BABYSHIBAINU,754
BADGER,754
BAKE,754
BAL,754
BAN,459
BANANA,754
BANANAS31,428
BAND,754
BANK,659
BAR,754
BARD,134
BAS,197
BASEDAI,702
BAT,754
BAY,90
BB,417
BBB,465
BBSOL,511
BBT,464
BBTC,754
BBUSD,62
BC,395
BCAP,246
BCD,754
BCE,98
BCH,754
BCHEM,310
BCN,528
BCT,753
BCUT,710
BDC,606
BDCA,338
BDX,754
BDXN,241
BEAM,754
BEAR,754
BEAT,90
BEL,754
BELIEVE,370
BELLS,754
BENJI,675
BERA,358
BERASTONE,377
BERT,443
BEST,96
BETA,747
BFC,754
BFG,754
BFUSD,202
BGB,754
BGSC,417
BGSOL,341
BIC,300
BICO,754
BID,372
BIDZ,723
BIFI,754
BIG,430
BIGTIME,754
BIM,688
BIO,392
BIT,754
BITCOIN,754
BKN,754
BKS,86
BLACK,416
BLAST,616
BLD,754
BLESS,128
BLK,751
BLND,434
BLOCK,704
BLOK,754
BLUAI,101
BLUE,415
BLUM,250
BLUR,754
BLZ,754
BMC,752
BMEX,754
BMMF,156
BMT,325
BMX,754
BNB,1150
BNBHOLDER,107
BNBX,754
BNC,754
BNKR,416
BNSOL,505
BNT,754
BNUSD,754
BOB,723
BOBA,754
BOBO,754
BOLD,249
BOME,687
BONE,754
BONK,754
BONKSOL,640
BONZO,341
BOOE,643
BOOM,206
BOOP,706
BORA,754
BORG,754
BOS,93
BOSON,754
BOTT,103
BOTTO,754
BOTX,725
BOUNTY,754
BOX,501
BPT,376
BPX,709
BR,316
BRACKY,210
BRBTC,328
BRETT,734
BRIDGE,136
BRISE,754
BRLA,513
BRN,754
BROCCOLI,347
BSC-USD,725
BSDETH,672
BSOL,754
BSU,174
BSV,754
BT365,184
BTC,2752
BTC.B,754
BTC.Z,231
BTC.ℏ,299
BTCB,584
BTCK,168
BTCLE,166
BTCMT,754
BTCUSD,567
BTG,754
BTR,156
BTS,754
BTSE,753
BTT,754
BTU,512
BTX,49
BTY,625
BUCK,754
BUCKY,587
BUIDL,385
BULLA,358
BULLISH,579
BUNDLE,143
BURN,737
BUSD,754
BXN,701
BXX,754
BYUSD,147
BZZ,754
C,219
C98,754
CA,754
CACAO,752
CAESAR,198
CAKE,754
CAL50,196
CAM,378
CAMP,156
CAOCAO,66
CAPX,86
CAR,354
CARDS,153
CARV,510
CASH,114
CAT,754
CATE,754
CATI,499
CAW,687
CBADA,218
CBAT,754
CBBTC,505
CBDOGE,239
CBETH,754
CBK,754
CBLTC,219
CBXRP,239
CC,81
CCD,754
CDAI,754
CDCBTC,230
CDCETH,754
CDCSOL,279
CDL,148
CDP,43
CDR,230
CDX,346
CEEK,754
CEL,754
CELL,754
CELO,754
CELR,754
CERE,754
CESS,218
CET,752
CETH,754
CETUS,754
CEUR,754
CFG,255
CFX,754
CGN,99
CGO,754
CGPT,754
CHAIN,754
CHDD,254
CHECK,261
CHEEMS,754
CHEQ,754
CHESS,754
CHEX,754
CHI,85
CHILLGUY,437
CHILLHOUSE,269
CHMPSTR,104
CHOG,93
CHR,754
CHZ,754
CINO,173
CITY,754
CJL,222
CKB,754
CKBTC,754
CKP,749
CL8Y,233
CLANKER,463
CLASH,125
CLBTC,387
CLEAR,380
CLO,108
CLORE,754
CLOUD,561
CLV,754
CLY,754
CMC20,41
CMETH,459
CNX,123
COAI,126
COCA,456
COCO,50
CODEC,252
COINX,214
COL,754
COLLAT,361
COLLECT,32
COMMON,95
COMP,754
CONAN,703
CONCILIUM,152
CONSCIOUS,301
CONX,754
