asset_id,recent_unique_dates,recent_start,recent_end
$1,429,2023-03-06,2026-03-05
$BEAR,358,2023-03-06,2026-03-05
$BORGY,364,2023-03-06,2026-03-05
$CPT,82,2023-03-06,2026-03-05
$FARTBOY,373,2023-03-06,2026-03-05
$HACHI,43,2023-03-06,2026-03-05
$JIM,458,2023-03-06,2026-03-05
$MICHI,646,2023-03-06,2026-03-05
$MYRO,754,2023-03-06,2026-03-05
$NAP,684,2023-03-06,2026-03-05
0G,130,2023-03-06,2026-03-05
0X0,754,2023-03-06,2026-03-05
0XY,186,2023-03-06,2026-03-05
1-COIN-CAN-CHANGE-YOUR-LIFE,150,2023-03-06,2026-03-05
10SET,754,2023-03-06,2026-03-05
1GUY,300,2023-03-06,2026-03-05
1INCH,754,2023-03-06,2026-03-05
1R0R,245,2023-03-06,2026-03-05
1USDC,714,2023-03-06,2026-03-05
2Z,120,2023-03-06,2026-03-05
3ULL,754,2023-03-06,2026-03-05
4,598,2023-03-06,2026-03-05
401JK,185,2023-03-06,2026-03-05
42,95,2023-03-06,2026-03-05
4CHAN,754,2023-03-06,2026-03-05
67,132,2023-03-06,2026-03-05
69420,639,2023-03-06,2026-03-05
A,247,2023-03-06,2026-03-05
A0T,291,2023-03-06,2026-03-05
A1C,343,2023-03-06,2026-03-05
A2Z,184,2023-03-06,2026-03-05
A47,365,2023-03-06,2026-03-05
A8,562,2023-03-06,2026-03-05
AAPLON,150,2023-03-06,2026-03-05
AAPLX,217,2023-03-06,2026-03-05
AAVE,754,2023-03-06,2026-03-05
AB,754,2023-03-06,2026-03-05
ABEL,754,2023-03-06,2026-03-05
ABSTER,372,2023-03-06,2026-03-05
ABT,754,2023-03-06,2026-03-05
ABX,401,2023-03-06,2026-03-05
ACA,754,2023-03-06,2026-03-05
ACE,36,2023-03-06,2026-03-05
ACH,754,2023-03-06,2026-03-05
ACM,754,2023-03-06,2026-03-05
ACRED,322,2023-03-06,2026-03-05
ACS,754,2023-03-06,2026-03-05
ACT,754,2023-03-06,2026-03-05
ACX,754,2023-03-06,2026-03-05
ADA,754,2023-03-06,2026-03-05
ADCO,752,2023-03-06,2026-03-05
ADI,52,2023-03-06,2026-03-05
ADO,592,2023-03-06,2026-03-05
ADP,754,2023-03-06,2026-03-05
ADS,754,2023-03-06,2026-03-05
ADX,491,2023-03-06,2026-03-05
AE,754,2023-03-06,2026-03-05
AERGO,754,2023-03-06,2026-03-05
AERO,754,2023-03-06,2026-03-05
AEROBUD,648,2023-03-06,2026-03-05
AEVO,688,2023-03-06,2026-03-05
AFC,754,2023-03-06,2026-03-05
AFR,734,2023-03-06,2026-03-05
AFSUI,749,2023-03-06,2026-03-05
AGENTFUN,430,2023-03-06,2026-03-05
AGETH,512,2023-03-06,2026-03-05
AGGON,122,2023-03-06,2026-03-05
AGI,754,2023-03-06,2026-03-05
AGIALPHA,364,2023-03-06,2026-03-05
AGIX,752,2023-03-06,2026-03-05
AGLD,754,2023-03-06,2026-03-05
AGRS,754,2023-03-06,2026-03-05
AGVE,754,2023-03-06,2026-03-05
AHT,754,2023-03-06,2026-03-05
AI,754,2023-03-06,2026-03-05
AI16Z,495,2023-03-06,2026-03-05
AI3,156,2023-03-06,2026-03-05
AIA,169,2023-03-06,2026-03-05
AIAT,743,2023-03-06,2026-03-05
AIC,507,2023-03-06,2026-03-05
AIDAUSDC,63,2023-03-06,2026-03-05
AIDOGE,754,2023-03-06,2026-03-05
AIKEK,708,2023-03-06,2026-03-05
AIN,754,2023-03-06,2026-03-05
AINTI,379,2023-03-06,2026-03-05
AIO,181,2023-03-06,2026-03-05
AIOT,280,2023-03-06,2026-03-05
AIOZ,754,2023-03-06,2026-03-05
AISM,221,2023-03-06,2026-03-05
AITECH,754,2023-03-06,2026-03-05
AITV,213,2023-03-06,2026-03-05
AIX,58,2023-03-06,2026-03-05
AIXBT,472,2023-03-06,2026-03-05
AJNA,742,2023-03-06,2026-03-05
AKE,162,2023-03-06,2026-03-05
AKITA,754,2023-03-06,2026-03-05
AKT,754,2023-03-06,2026-03-05
ALB,754,2023-03-06,2026-03-05
ALCH,425,2023-03-06,2026-03-05
ALCX,754,2023-03-06,2026-03-05
ALD,754,2023-03-06,2026-03-05
ALEO,533,2023-03-06,2026-03-05
ALEPH,754,2023-03-06,2026-03-05
ALGO,754,2023-03-06,2026-03-05
ALI,754,2023-03-06,2026-03-05
ALICE,754,2023-03-06,2026-03-05
ALKIMI,721,2023-03-06,2026-03-05
ALLINDOGE,236,2023-03-06,2026-03-05
ALLO,288,2023-03-06,2026-03-05
ALMANAK,85,2023-03-06,2026-03-05
ALOT,754,2023-03-06,2026-03-05
ALPH,754,2023-03-06,2026-03-05
ALPHA,754,2023-03-06,2026-03-05
ALPINE,754,2023-03-06,2026-03-05
ALT,735,2023-03-06,2026-03-05
ALTT,422,2023-03-06,2026-03-05
ALU,754,2023-03-06,2026-03-05
ALUSD,754,2023-03-06,2026-03-05
ALVA,696,2023-03-06,2026-03-05
AMAPT,754,2023-03-06,2026-03-05
AMETA,355,2023-03-06,2026-03-05
AMIKO,274,2023-03-06,2026-03-05
AMO,754,2023-03-06,2026-03-05
AMP,754,2023-03-06,2026-03-05
AMPL,754,2023-03-06,2026-03-05
AMPLUNA,247,2023-03-06,2026-03-05
AMZNON,150,2023-03-06,2026-03-05
AMZNX,210,2023-03-06,2026-03-05
ANA,201,2023-03-06,2026-03-05
ANDY,723,2023-03-06,2026-03-05
ANDY70B,440,2023-03-06,2026-03-05
ANGLE,754,2023-03-06,2026-03-05
ANIME,407,2023-03-06,2026-03-05
ANKR,754,2023-03-06,2026-03-05
ANKRETH,754,2023-03-06,2026-03-05
ANON,588,2023-03-06,2026-03-05
ANT,716,2023-03-06,2026-03-05
ANVL,461,2023-03-06,2026-03-05
ANY,754,2023-03-06,2026-03-05
ANYONE,754,2023-03-06,2026-03-05
AO,317,2023-03-06,2026-03-05
AOL,138,2023-03-06,2026-03-05
AOP,133,2023-03-06,2026-03-05
AP3X,294,2023-03-06,2026-03-05
APE,754,2023-03-06,2026-03-05
APEPE,540,2023-03-06,2026-03-05
APEX,754,2023-03-06,2026-03-05
APFC,754,2023-03-06,2026-03-05
API3,754,2023-03-06,2026-03-05
APL,216,2023-03-06,2026-03-05
APR,99,2023-03-06,2026-03-05
APRA,420,2023-03-06,2026-03-05
APT,754,2023-03-06,2026-03-05
APTM,300,2023-03-06,2026-03-05
APU,688,2023-03-06,2026-03-05
APX,754,2023-03-06,2026-03-05
AQT,754,2023-03-06,2026-03-05
AQUA,754,2023-03-06,2026-03-05
AR,754,2023-03-06,2026-03-05
ARA,161,2023-03-06,2026-03-05
ARARA,320,2023-03-06,2026-03-05
ARB,754,2023-03-06,2026-03-05
ARC,723,2023-03-06,2026-03-05
ARDR,754,2023-03-06,2026-03-05
ARENA,457,2023-03-06,2026-03-05
ARG,754,2023-03-06,2026-03-05
ARIA,417,2023-03-06,2026-03-05
ARIA20,754,2023-03-06,2026-03-05
ARIAIP,84,2023-03-06,2026-03-05
ARIO,317,2023-03-06,2026-03-05
ARK,754,2023-03-06,2026-03-05
ARKM,754,2023-03-06,2026-03-05
ARMY,456,2023-03-06,2026-03-05
ARPA,754,2023-03-06,2026-03-05
ARRR,754,2023-03-06,2026-03-05
ARTDRA,95,2023-03-06,2026-03-05
ARTY,754,2023-03-06,2026-03-05
ARW,211,2023-03-06,2026-03-05
ARX,754,2023-03-06,2026-03-05
ASBNB,342,2023-03-06,2026-03-05
ASD,754,2023-03-06,2026-03-05
ASIA,754,2023-03-06,2026-03-05
ASK,754,2023-03-06,2026-03-05
ASKJ,265,2023-03-06,2026-03-05
ASM,754,2023-03-06,2026-03-05
ASONUSDC,265,2023-03-06,2026-03-05
ASP,190,2023-03-06,2026-03-05
ASR,754,2023-03-06,2026-03-05
AST,754,2023-03-06,2026-03-05
ASTER,514,2023-03-06,2026-03-05
ASTR,754,2023-03-06,2026-03-05
ASTRA,754,2023-03-06,2026-03-05
ASUSDF,345,2023-03-06,2026-03-05
AT,98,2023-03-06,2026-03-05
ATA,754,2023-03-06,2026-03-05
ATETH,434,2023-03-06,2026-03-05
ATH,597,2023-03-06,2026-03-05
ATLAS,754,2023-03-06,2026-03-05
ATM,754,2023-03-06,2026-03-05
ATOM,754,2023-03-06,2026-03-05
ATONE,343,2023-03-06,2026-03-05
ATOS,280,2023-03-06,2026-03-05
ATR,750,2023-03-06,2026-03-05
ATS,654,2023-03-06,2026-03-05
ATTN,114,2023-03-06,2026-03-05
AU79,217,2023-03-06,2026-03-05
AUBRAI,155,2023-03-06,2026-03-05
AUCTION,754,2023-03-06,2026-03-05
AUDD,754,2023-03-06,2026-03-05
AUDIO,754,2023-03-06,2026-03-05
AUDM,59,2023-03-06,2026-03-05
AUKI,520,2023-03-06,2026-03-05
AURA,754,2023-03-06,2026-03-05
AURABAL,752,2023-03-06,2026-03-05
AURORA,754,2023-03-06,2026-03-05
AURY,754,2023-03-06,2026-03-05
AUSD,538,2023-03-06,2026-03-05
AUX,261,2023-03-06,2026-03-05
AVA,435,2023-03-06,2026-03-05
AVAIL,591,2023-03-06,2026-03-05
AVAX,754,2023-03-06,2026-03-05
AVICI,139,2023-03-06,2026-03-05
AVL,352,2023-03-06,2026-03-05
AVNT,143,2023-03-06,2026-03-05
AVO,280,2023-03-06,2026-03-05
AVT,754,2023-03-06,2026-03-05
AVUSD,382,2023-03-06,2026-03-05
AWE,754,2023-03-06,2026-03-05
AXCNH,115,2023-03-06,2026-03-05
AXEL,748,2023-03-06,2026-03-05
AXGT,714,2023-03-06,2026-03-05
AXL,754,2023-03-06,2026-03-05
AXS,754,2023-03-06,2026-03-05
AZEN,301,2023-03-06,2026-03-05
AZERO,754,2023-03-06,2026-03-05
AZIT,754,2023-03-06,2026-03-05
B,288,2023-03-06,2026-03-05
B2,275,2023-03-06,2026-03-05
B2M,753,2023-03-06,2026-03-05
B3,389,2023-03-06,2026-03-05
B3TR,424,2023-03-06,2026-03-05
B4FWX,553,2023-03-06,2026-03-05
BABY,712,2023-03-06,2026-03-05
BABYDOGE,754,2023-03-06,2026-03-05
BABYSHIBAINU,754,2023-03-06,2026-03-05
BADGER,754,2023-03-06,2026-03-05
BAKE,754,2023-03-06,2026-03-05
BAL,754,2023-03-06,2026-03-05
BAN,459,2023-03-06,2026-03-05
BANANA,754,2023-03-06,2026-03-05
BANANAS31,428,2023-03-06,2026-03-05
BAND,754,2023-03-06,2026-03-05
BANK,659,2023-03-06,2026-03-05
BAR,754,2023-03-06,2026-03-05
BARD,134,2023-03-06,2026-03-05
BAS,199,2023-03-06,2026-03-05
BASEDAI,702,2023-03-06,2026-03-05
BAT,754,2023-03-06,2026-03-05
BAY,90,2023-03-06,2026-03-05
BB,417,2023-03-06,2026-03-05
BBB,465,2023-03-06,2026-03-05
BBSOL,511,2023-03-06,2026-03-05
BBT,464,2023-03-06,2026-03-05
BBTC,754,2023-03-06,2026-03-05
BBUSD,62,2023-03-06,2026-03-05
BC,395,2023-03-06,2026-03-05
BCAP,246,2023-03-06,2026-03-05
BCD,754,2023-03-06,2026-03-05
BCE,98,2023-03-06,2026-03-05
BCH,754,2023-03-06,2026-03-05
BCHEM,310,2023-03-06,2026-03-05
BCN,528,2023-03-06,2026-03-05
BCT,753,2023-03-06,2026-03-05
BCUT,710,2023-03-06,2026-03-05
BDC,606,2023-03-06,2026-03-05
BDCA,338,2023-03-06,2026-03-05
BDX,754,2023-03-06,2026-03-05
BDXN,241,2023-03-06,2026-03-05
BEAM,754,2023-03-06,2026-03-05
BEAR,754,2023-03-06,2026-03-05
BEAT,90,2023-03-06,2026-03-05
BEL,754,2023-03-06,2026-03-05
BELIEVE,370,2023-03-06,2026-03-05
BELLS,754,2023-03-06,2026-03-05
