symbol,side,weight
USDE,long,0.03333333333333333
CRVUSD,long,0.03333333333333333
GUSD,long,0.03333333333333333
USD+,long,0.03333333333333333
PYUSD,long,0.03333333333333333
USDD,long,0.03333333333333333
GHO,long,0.03333333333333333
DOLA,long,0.03333333333333333
FDUSD,long,0.03333333333333333
LUSD,long,0.03333333333333333
CUSD,long,0.03333333333333333
LISUSD,long,0.03333333333333333
AUSD,long,0.03333333333333333
EURC,long,0.03333333333333333
XSGD,long,0.03333333333333333
ZEPH,short,-0.03333333333333333
KSM,short,-0.03333333333333333
FWOG,short,-0.03333333333333333
PAAL,short,-0.03333333333333333
SWELL,short,-0.03333333333333333
PUFFER,short,-0.03333333333333333
EMP,short,-0.03333333333333333
GRASS,short,-0.03333333333333333
SD,short,-0.03333333333333333
OG,short,-0.03333333333333333
DEEP,short,-0.03333333333333333
ANT,short,-0.03333333333333333
AI16Z,short,-0.03333333333333333
BAN,short,-0.03333333333333333
PNUT,short,-0.03333333333333333
