symbol,side,weight
USDE,long,0.02586945067150176
CRVUSD,long,0.026082572170894276
GUSD,long,0.02601596732746069
USD+,long,0.0256226032160216
PYUSD,long,0.02542836132728058
USDD,long,0.025284689162021395
GHO,long,0.02580479596547819
DOLA,long,0.026756428156223963
FDUSD,long,0.02447143736543575
LUSD,long,0.025312206129934213
CUSD,long,0.0253938633386018
LISUSD,long,0.028662087116424893
AUSD,long,0.02635307985022489
EURC,long,0.03085865922331081
XSGD,long,0.027999190345232378
ZEPH,short,-0.08838179199088944
KSM,short,-0.014361903965148826
FWOG,short,-0.11929211154765045
PAAL,short,0.061636729822072
SWELL,short,-0.045337009015048224
PUFFER,short,0.013952815407148024
EMP,short,-0.025475410992852318
GRASS,short,-0.06051542902963397
SD,short,0.0032074398460954215
OG,short,-0.08987503786559257
DEEP,short,-0.02567954904772169
ANT,short,-0.005375234732577087
AI16Z,short,0.025287623558637246
BAN,short,-0.01669561373194785
PNUT,short,-0.009010908080937402
