symbol,side,weight
TOMI,long,0.05618310214212161
TLOS,long,0.013991608583660073
TRAC,long,0.02085722153240502
ULTIMA,long,0.01793825035468772
INTER,long,0.024413250697509884
KAG,long,0.027649152491741373
BAR,long,0.029417294994774985
XAUT,long,0.025503626328195275
EURC,long,0.021155356975717896
KAU,long,0.025705705003339484
CEUR,long,0.02180657220666925
EURS,long,0.029013178427860668
EURT,long,0.017923835911560198
SANTOS,long,0.03141396864088335
PEOPLE,long,0.03944528386799626
OM,short,-0.07458866395318273
CRO,short,-0.022880227407515795
ADA,short,-0.08214251550336608
SAND,short,-0.008605639175728177
KSM,short,0.006888687007153462
XRP,short,-0.0718455495202267
GRASS,short,-0.12986496813192458
ALGO,short,-0.034222989036634774
HBAR,short,-0.0621471495328867
EMP,short,0.004321845505590159
SD,short,0.026842937492764025
XLM,short,0.027101363363427434
BAN,short,-0.006183967216515963
AI16Z,short,0.03242775847194187
PNUT,short,-0.007518330522018543
