symbol,weight,side,marketcap,adv_30d
$MYRO,0.0026595744680851063,long,118708364.20402561,6628459.890137945
1INCH,0.0026595744680851063,long,586514495.469296,33924575.5808406
AAVE,0.0026595744680851063,long,3168580526.48877,93735118016.93681
ABT,0.0026595744680851063,long,203593319.596785,4089022.936757661
ACM,0.0026595744680851063,long,11991502.717755264,3123712.399030984
ADA,0.0026595744680851063,long,38662755540.67341,3008846517.038287
AEVO,0.0026595744680851063,long,456250794.1415115,68883886.26283866
AGETH,0.0026595744680851063,long,174824842.54126528,855805985.0703412
AGI,0.0026595744680851063,long,321491620.8743942,8221892.398593264
AGIX,0.0026595744680851063,long,283812849.2347999,285022.62568096974
AGLD,0.0026595744680851063,long,118776682.71449302,97367417.36446679
AI16Z,0.0026595744680851063,long,285562710.53843313,10271820.406802433
AIOZ,0.0026595744680851063,long,1157785207.3151615,24721739.325764786
AKT,0.0026595744680851063,long,1064070296.3237412,212726309.31466752
ALCX,0.0026595744680851063,long,51777679.85581085,115512719.2032309
ALGO,0.0026595744680851063,long,3639499443.970638,175388604.4728968
ALICE,0.0026595744680851063,long,146655584.47854936,53722427.39530535
ALPH,0.0026595744680851063,long,160582631.5764892,3239555.1272697784
ALPINE,0.0026595744680851063,long,17681435.072726864,8225941.677341561
ALT,0.0026595744680851063,long,353167316.11424863,11198272.599291215
AMPL,0.0026595744680851063,long,159918007.69817382,1125812.5078686755
ANKRETH,0.0026595744680851063,long,52320213.85558118,282467601.12146443
ANT,0.0026595744680851063,long,44878153.99778667,18677.905475290092
ANYONE,0.0026595744680851063,long,167313008.3430158,2175370.968654902
APE,0.0026595744680851063,long,1085794432.8386655,396038107.2797543
APEX,0.0026595744680851063,long,86876589.56339774,126634477.79171698
API3,0.0026595744680851063,long,271693719.43699354,67913325.89142452
APT,0.0026595744680851063,long,7171137766.50844,10735152057.942404
AQT,0.0026595744680851063,long,40758954.24204759,39477565.70199255
AR,0.0026595744680851063,long,1686702079.5980608,5252431235.1750765
ARB,0.0026595744680851063,long,4000220608.74489,858405152.956149
ARG,0.0026595744680851063,long,3801081.237538781,1056153.2909978465
ARK,0.0026595744680851063,long,134085074.700149,45705808.46999365
ARKM,0.0026595744680851063,long,762026718.7509725,479897287.4647006
ARPA,0.0026595744680851063,long,62221214.60681461,1579303.0327090276
ASR,0.0026595744680851063,long,13682968.284822179,12294658.445251483
ASTR,0.0026595744680851063,long,622758358.6667271,5369258.918047963
ATH,0.0026595744680851063,long,305778910.9577501,5225547.311560077
ATM,0.0026595744680851063,long,12020696.151506666,4598085.508574318
ATOM,0.0026595744680851063,long,3366548336.162354,3527451216.479226
AUCTION,0.0026595744680851063,long,120133127.77001375,637266123.2859644
AUDIO,0.0026595744680851063,long,241289442.6883966,5095425.667019463
AUSD,0.0026595744680851063,long,19239368.97149077,20868998.918531425
AXL,0.0026595744680851063,long,844046507.4469405,31843141.488085747
AXS,0.0026595744680851063,long,1273629850.3545828,1932814186.4658759
AZERO,0.0026595744680851063,long,211103319.97613573,858531.7847144746
BADGER,0.0026595744680851063,long,79347321.50597695,62932312.451061316
BAKE,0.0026595744680851063,long,102337829.31564449,6774665.974560757
BAL,0.0026595744680851063,long,178754161.7145506,41705655.82519106
BAN,0.0026595744680851063,long,143378637.7983837,31106373.27495096
BANANA,0.0026595744680851063,long,231861637.46662027,3953302930.4684143
BAND,0.0026595744680851063,long,272490218.44358796,28137840.439503293
BAR,0.0026595744680851063,long,19907217.77784332,12704609.515342638
BAT,0.0026595744680851063,long,477979175.5028843,13658797.648600405
BCH,0.0026595744680851063,long,10389846743.982006,430643215078.0255
BEL,0.0026595744680851063,long,43010567.5534058,7438018.592175841
BGB,0.0026595744680851063,long,2259778897.6528187,110820076.08394264
BICO,0.0026595744680851063,long,363465445.18442005,14338701.219158933
BIFI,0.0026595744680851063,long,27155954.332926545,402419263.2788086
BIGTIME,0.0026595744680851063,long,215950799.78371316,12961239.610783404
BLUR,0.0026595744680851063,long,758383151.883869,50473228.42769386
BLZ,0.0026595744680851063,long,70189820.51824944,1722303.511248141
BNB,0.0026595744680851063,long,95585516151.45093,1415320128160.743
BNBX,0.0026595744680851063,long,13427790.771106804,55673160.92001239
BNSOL,0.0026595744680851063,long,1062719308.9271735,2295484441.846147
BNT,0.0026595744680851063,long,95970145.43628056,1252658.0157685229
BONE,0.0026595744680851063,long,142766004.92257425,4922028.121294893
BSV,0.0026595744680851063,long,1411551154.7738404,6012106826.751576
BTC,0.0026595744680851063,long,1910022814269.8855,7780708299278240.0
BTC.B,0.0026595744680851063,long,528007238.1865564,6033443460920.504
BTG,0.0026595744680851063,long,623616580.004705,1629484789.6668904
C98,0.0026595744680851063,long,196081791.4631262,6518155.741403715
CAKE,0.0026595744680851063,long,874941280.6837604,524840256.13846517
CBETH,0.0026595744680851063,long,669614153.4511805,67573727852.35052
CBK,0.0026595744680851063,long,82127204.59932287,11740764.178356767
CELO,0.0026595744680851063,long,511455077.18040925,86238230.47570974
CEUR,0.0026595744680851063,long,6394722.763383802,19122594.1624466
CFX,0.0026595744680851063,long,989871053.4301515,22589195.6604361
CGPT,0.0026595744680851063,long,149768377.16009048,739955.386849816
CHR,0.0026595744680851063,long,221391829.9463696,5946303.459079204
CHZ,0.0026595744680851063,long,953514441.0517461,20861786.488464173
CITY,0.0026595744680851063,long,17086487.07897452,6154788.211899656
CLOUD,0.0026595744680851063,long,86781635.50713612,4956711.293055459
COMP,0.0026595744680851063,long,636923363.9365674,5015579724.409467
CORE,0.0026595744680851063,long,1814838190.3928416,137841534.2280131
COTI,0.0026595744680851063,long,276887918.2172805,6924877.632591123
CRO,0.0026595744680851063,long,5071337744.596981,19361313.115825683
CRV,0.0026595744680851063,long,853479457.5149524,165304564.53533086
CRVUSD,0.0026595744680851063,long,67937394.96155536,18735688.92321958
CTC,0.0026595744680851063,long,423341622.29592603,36608217.24564157
CTK,0.0026595744680851063,long,125368232.4578624,23885907.50836668
CTSI,0.0026595744680851063,long,178606361.9487389,3850049.199396167
CUSD,0.0026595744680851063,long,35577655.30869283,20118411.86329606
CVC,0.0026595744680851063,long,138715819.48198792,6351886.489220956
CVX,0.0026595744680851063,long,305962533.4809112,134571205.39774823
CYBER,0.0026595744680851063,long,146291132.45539567,158387742.60126823
DAO,0.0026595744680851063,long,116137373.80879791,4657808.435850333
DASH,0.0026595744680851063,long,477276869.2835044,2937959741.342665
DCR,0.0026595744680851063,long,289351890.12360716,45524267.423021324
DEEP,0.0026595744680851063,long,141380425.19421598,906980.7464395139
DEGO,0.0026595744680851063,long,60417265.81966585,16606633.714321326
DESO,0.0026595744680851063,long,76055461.8510747,3170067.1903089527
DEXE,0.0026595744680851063,long,524773340.38305956,28462711.524340264
DIA,0.0026595744680851063,long,106207737.25135471,15947894.857326576
DODO,0.0026595744680851063,long,121011181.51037659,2937490.1463085315
DOLA,0.0026595744680851063,long,71249127.91982973,2479697.6048861067
DOT,0.0026595744680851063,long,13682093690.490286,8777435055.46044
DPI,0.0026595744680851063,long,21942572.29219728,10309495.14303382
DUSK,0.0026595744680851063,long,128931612.69650978,4505848.000266926
DYDX,0.0026595744680851063,long,1213209265.8024645,111209525.15411676
EDU,0.0026595744680851063,long,170757456.66065887,11281024.912088122
EGLD,0.0026595744680851063,long,1180690673.452153,3151676420.6884437
EIGEN,0.0026595744680851063,long,678217257.2555587,595050054.6400363
ELA,0.0026595744680851063,long,61518335.55709007,2010881.848848767
ELF,0.0026595744680851063,long,431787684.51497775,20227642.119277574
EMP,0.0026595744680851063,long,57320313.12450423,99856731.3182933
ENA,0.0026595744680851063,long,2397604890.902419,361404956.19032526
ENJ,0.0026595744680851063,long,588360537.120485,17365383.316887405
ENS,0.0026595744680851063,long,1337134887.2414432,23122256371.14869
ETC,0.0026595744680851063,long,4900888463.269844,19478915254.52353
ETH,0.0026595744680851063,long,446851521665.9131,135714637651046.81
ETH2X-FLI,0.0026595744680851063,long,23695994.377538398,776011.1678770642
ETHDYDX,0.0026595744680851063,long,782773609.8347735,154382360.154158
ETHFI,0.0026595744680851063,long,537587696.2383715,711886576.2777593
ETHW,0.0026595744680851063,long,485626246.5464815,149765309.43270308
ETHX,0.0026595744680851063,long,472992044.046967,1728223880.4192948
EUL,0.0026595744680851063,long,72523664.83590011,3957717.174136232
EURC,0.0026595744680851063,long,92830886.47043343,51128045.95068881
EURS,0.0026595744680851063,long,131444140.30732824,1111297.0546027445
EURT,0.0026595744680851063,long,26972331.232578445,3078957.3982342784
EWT,0.0026595744680851063,long,90865887.02937067,1419708.8198699339
FARM,0.0026595744680851063,long,36646236.29120684,186722317.014602
FB,0.0026595744680851063,long,42360078.99693007,92295896.42722347
FDUSD,0.0026595744680851063,long,1987431469.3508077,8764584609.619455
FET,0.0026595744680851063,long,4951163783.032225,1179294846.5559382
FIDA,0.0026595744680851063,long,175198693.75562206,30882603.632860966
FIL,0.0026595744680851063,long,4304218144.382909,3615798889.3578606
FIRO,0.0026595744680851063,long,23056625.85890633,4953522.265364332
FIS,0.0026595744680851063,long,61343487.5058033,4388769.400178731
FLIP,0.0026595744680851063,long,90241816.78055155,2255939.6016579964
FLOW,0.0026595744680851063,long,1532690538.7370577,100514592.21198922
FLUX,0.0026595744680851063,long,299422251.1854164,18477661.049926933
FORTH,0.0026595744680851063,long,48885658.45704966,16208061.63726061
FRXETH,0.0026595744680851063,long,561442557.5213044,11813679959.328068
FTN,0.0026595744680851063,long,1064097206.1798433,655205466.0903996
FWOG,0.0026595744680851063,long,391632328.31742835,20515109.7098774
G,0.0026595744680851063,long,283932913.2790781,1404027.4238338943
GAFI,0.0026595744680851063,long,47557458.07539464,1572944.06882279
GAL,0.0026595744680851063,long,11144114.583603153,1977144.560065168
GALA,0.0026595744680851063,long,1861532556.1376483,14928028.319134263
GAS,0.0026595744680851063,long,398042696.439577,321771433.52916
GFI,0.0026595744680851063,long,183787715.72577462,4994230.272271106
GHO,0.0026595744680851063,long,165230745.7141806,10257207.905736843
GHST,0.0026595744680851063,long,61489135.1231333,17069749.98734531
GLM,0.0026595744680851063,long,495937292.927792,55348384.67918925
GLMR,0.0026595744680851063,long,290123484.7153247,9503868.08267357
GMT,0.0026595744680851063,long,579764200.1135896,17678832.44736916
GMX,0.0026595744680851063,long,312520807.40243,1087919858.8853214
GNO,0.0026595744680851063,long,722085392.1095545,3126275326.5882015
GNS,0.0026595744680851063,long,10728631.595319021,9412752.786546027
GOMINING,0.0026595744680851063,long,168516937.44393227,4883964.906756384
GRAIL,0.0026595744680851063,long,23449864.47812349,1429457376.4297414
GRASS,0.0026595744680851063,long,797115760.6008377,731793421.035623
GRS,0.0026595744680851063,long,49596325.894754,5071382.321491175
GRT,0.0026595744680851063,long,2755490163.956206,47370038.38463292
GT,0.0026595744680851063,long,1436221511.221712,71632245.390003
GTC,0.0026595744680851063,long,66298389.43827762,10719323.522430824
GUSD,0.0026595744680851063,long,66203440.836763315,2288513.8436509464
HBAR,0.0026595744680851063,long,6458357635.932893,126940707.6875075
HFT,0.0026595744680851063,long,120001951.05123805,3874745.174954031
HIFI,0.0026595744680851063,long,103812856.22234073,19122227.327699892
HNT,0.0026595744680851063,long,1239736742.4201946,174069039.6758673
HOOK,0.0026595744680851063,long,128459791.72405605,13717534.185750809
HUNT,0.0026595744680851063,long,85447945.72380191,3889049.707842935
ICP,0.0026595744680851063,long,5924620705.768289,3314658477.5898614
ID,0.0026595744680851063,long,252076906.8312573,38030243.43250175
ILV,0.0026595744680851063,long,435703557.25783384,3050693361.084727
IMX,0.0026595744680851063,long,3351171454.5704017,263306420.02418336
INDEX,0.0026595744680851063,long,23778922.32754361,1422079.5281093356
INF,0.0026595744680851063,long,65268024.95760351,3203842621.8485055
INJ,0.0026595744680851063,long,3056261716.8454323,9954673945.614614
