ticker,company,n_snapshots,n_listed,base_spread_med_bps,base_spread_min_bps,base_spread_max_bps,size1k_spread_med_bps,size100k_spread_med_bps,breakeven_move_pct_at_100k,verdict
HIMS,Hims & Hers Health,9,9,41.6,27.3,55.0,53.1,233.4,2.33,FAIL_TOO_WIDE
USAR,USA Rare Earth,10,10,12.4,11.1,21.3,22.3,199.5,2.0,MARGINAL
AAOI,Applied Optoelectronics,15,15,9.1,5.2,13.1,13.6,160.7,1.61,MARGINAL
NVO,Novo Nordisk,9,9,14.2,8.5,14.4,25.5,141.7,1.42,MARGINAL
NOK,Nokia,13,13,16.7,16.1,17.6,17.3,136.3,1.36,MARGINAL
LLY,Eli Lilly,9,9,21.2,10.4,39.0,34.0,127.5,1.27,MARGINAL
NFLX,Netflix,7,7,10.2,6.6,18.1,20.9,123.3,1.23,INSUFFICIENT_DATA
NBIS,Nebius Group,21,21,9.2,4.5,14.9,13.0,106.9,1.07,MARGINAL
QCOM,Qualcomm,23,23,6.7,4.9,13.6,11.9,102.1,1.02,MARGINAL
ARM,Arm Holdings,16,16,6.5,4.9,11.2,9.8,90.7,0.91,PASS
LITE,Lumentum Holdings,15,15,6.5,4.1,10.8,8.9,81.9,0.82,PASS
TSM,Taiwan Semiconductor Manufacturing,24,24,6.3,3.3,8.6,8.9,80.6,0.81,PASS
COIN,Coinbase Global,14,14,5.6,5.0,7.6,11.3,70.5,0.7,PASS
AMD,Advanced Micro Devices,20,20,5.2,4.2,7.8,8.4,67.0,0.67,PASS
RKLB,Rocket Lab,22,22,6.9,4.4,9.7,10.5,65.6,0.66,PASS
CBRS,VERIFY - Chain Bridge Bancorp?,21,21,6.1,3.6,9.2,9.7,63.7,0.64,PASS
MSFT,Microsoft,8,8,7.1,4.3,7.7,9.0,49.9,0.5,PASS
HOOD,Robinhood Markets,2,2,5.6,5.6,5.7,7.8,49.3,0.49,INSUFFICIENT_DATA
PLTR,Palantir Technologies,3,3,6.5,4.1,7.7,7.2,47.5,0.47,INSUFFICIENT_DATA
MRVL,Marvell Technology,21,21,4.5,4.4,6.9,7.8,45.3,0.45,PASS
META,Meta Platforms,8,8,6.8,4.2,9.6,9.4,39.7,0.4,PASS
CRCL,Circle Internet Group,14,14,6.2,6.0,6.7,7.6,38.3,0.38,PASS
MSTR,Strategy (MicroStrategy),14,14,5.7,5.4,8.0,7.1,35.2,0.35,PASS
GOOGL,Alphabet,8,8,6.4,4.4,8.5,8.8,31.5,0.32,PASS
SNDK,SanDisk,17,17,4.0,4.0,5.3,5.0,28.1,0.28,PASS
INTC,Intel,27,27,4.1,4.0,5.6,6.1,27.2,0.27,PASS
NVDA,Nvidia,20,20,4.8,4.7,6.6,5.2,24.4,0.24,PASS
TSLA,Tesla,27,27,3.4,3.3,6.0,5.3,23.9,0.24,PASS
MU,Micron Technology,23,23,3.2,3.1,4.2,3.8,19.1,0.19,PASS
