symbol,n_variants,canonical_slug,canonical_mcap_usd,canonical_rank,all_variants,source
ACE,2,endurance,12231765,1086,"['endurance', 'ace-data-cloud-2']",fms_latest
ACT,3,act-i-the-ai-prophecy,13371784,1039,"['act-i-the-ai-prophecy', 'achain', 'acet-token']",fms_latest
ADX,2,adex,11286110,1135,"['adex', 'adrena']",fms_latest
AIN,2,infinity-ground,11242239,1137,"['infinity-ground', 'ai-network']",fms_latest
ALPHA,2,alpha-fi,9897905,1217,"['alpha-fi', 'alpha-finance']",fms_latest
ANT,2,autonomi,28025659,705,"['autonomi', 'aragon']",fms_latest
ANY,2,anyspend,7547647,1383,"['anyspend', 'anyswap']",fms_latest
AURA,2,aura-on-sol,8993988,1280,"['aura-on-sol', 'aura-finance']",fms_latest
AVA,2,concierge-io,18079906,911,"['concierge-io', 'ava-ai']",fms_latest
AVAX,2,avalanche-2,4056445523,26,"['avalanche-2', 'binance-peg-avalanche']",fms_latest
BB,2,bouncebit,11405596,1132,"['bouncebit', 'bitboard']",fms_latest
BEAM,2,beam-2,102838031,281,"['beam-2', 'beam']",fms_latest
BMX,2,bitmart-token,110092752,267,"['bitmart-token', 'bmx']",fms_latest
BOB,3,bob-build-on-bitcoin,16698444,946,"['bob-build-on-bitcoin', 'build-on-bnb', 'bob-3']",fms_latest
BROCCOLI,2,czs-dog,14334843,1004,"['czs-dog', 'broccoli-3']",fms_latest
BTG,2,bitcoin-gold,9849096,1220,"['openverse-network', 'bitcoin-gold']",fms_latest
BTR,2,bitlayer-bitvm,9174346,1267,"['bitrue-token', 'bitlayer-bitvm']",fms_latest
BUSD,2,binance-usd,39977241,551,"['binance-peg-busd', 'binance-usd']",fms_latest
CAT,3,simon-s-cat,12733120,1062,"['simon-s-cat', 'cat-terminal', 'catcoin-cash']",fms_latest
CAW,2,a-hunters-dream,23959360,785,"['a-hunters-dream', 'crow-with-knife']",fms_latest
CULT,2,milady-cult-coin,10576840,1180,"['milady-cult-coin', 'cult-dao']",fms_latest
CUSD,2,cap-usd,119759310,252,"['cap-usd', 'celo-dollar']",fms_latest
D,2,dar-open-network,7344057,1404,"['dar-open-network', 'saga-dollar']",fms_latest
DAI,9,dai,4415450638,23,"['dai', 'polygon-pos-bridged-dai-polygon-pos', 'binance-peg-dai', 'makerdao-arbitrum-bridged-dai-arbitrum-one', 'makerdao-optimism-bridged-dai-optimism', 'avalanche-bridged-dai-avalanche', 'crypto-com-bridged-dai-cronos', 'l2-standard-bridged-dai-base', 'rainbow-bridged-dai-near-protocol']",fms_latest
DIT,2,diamond-token-2,14825596,991,"['diamond-token-2', 'dadi-insight-token']",fms_latest
DOG,2,dog-go-to-the-moon-rune,82183263,327,"['dog-go-to-the-moon-rune', 'the-doge-nft']",fms_latest
DOGE,3,dogecoin,15160084261,10,"['dogecoin', 'binance-peg-dogecoin', 'department-of-government-efficiency']",fms_latest
DORA,2,dora-2,17892841,916,"['dora-2', 'dora-factory-2']",fms_latest
DUSD,2,standx-dusd,100206966,288,"['standx-dusd', 'dialectic-usd-vault']",fms_latest
EBTC,2,ether-fi-staked-btc,88622017,465,"['ether-fi-staked-btc', 'ebtc']",fms_historical
EDGE,2,definitive,25884957,745,"['definitive', 'edge']",fms_latest
EPIC,2,epic-chain,10501862,1182,"['epic-chain', 'epic-cash']",fms_latest
ETH,4,ethereum,279460269416,2,"['ethereum', 'bridged-wrapped-ether-starkgate', 'osmosis-alleth', 'near-intents-bridged-eth']",fms_latest
FARTCOIN,2,fartcoin,199385031,178,"['fartcoin', 'based-fartcoin']",fms_latest
FRAX,3,frax,274005868,149,"['frax', 'frax-share', 'rainbow-bridged-frax-near-protocol']",fms_latest
GAL,2,project-galaxy,22443497,813,"['project-galaxy', 'galatasaray-fan-token']",fms_latest
GAME,2,gamebuild,25841844,747,"['gamebuild', 'game-by-virtuals']",fms_latest
GME,2,game-stop,6099845,1513,"['game-stop', 'gme']",fms_latest
GUSD,2,gusd,149629241,218,"['gusd', 'gemini-dollar']",fms_latest
HOLD,2,everybody,3281907,1928,"['holdstation-2', 'everybody']",fms_latest
HONEY,2,honey-3,24473330,768,"['hivemapper', 'honey-3']",fms_latest
HYPE,2,hyperliquid,9805125869,13,"['hyperliquid', 'wormhole-bridged-hype']",fms_latest
INC,2,incrypt,19355118,882,"['world-assets', 'incrypt']",fms_latest
IUSD,2,infinifi-usd,80932201,330,"['infinifi-usd', 'iusd']",fms_latest
JOE,2,joe,19120771,888,"['joe', 'joe-coin']",fms_latest
LUNA,2,terra-luna-2,44355382,514,"['terra-luna-2', 'luna-by-virtuals']",fms_latest
