asset_uid,coingecko_id,days,first,last
1INCH,1inch,60,2026-01-10,2026-03-27
A,vaulta,6,2026-01-10,2026-01-15
A2Z,arena-z,58,2026-01-11,2026-03-23
ACE,endurance,42,2026-01-10,2026-03-03
ACH,alchemy-pay,52,2026-01-29,2026-03-27
ACT,act-i-the-ai-prophecy,23,2026-02-02,2026-03-03
ACX,across-protocol,67,2026-01-10,2026-03-27
ADA,cardano,2,2026-02-09,2026-03-22
AERO,aerodrome-finance,45,2026-01-11,2026-03-27
AEVO,aevo-exchange,63,2026-01-12,2026-03-27
AGLD,adventure-gold,30,2026-01-11,2026-03-27
AIA,aia,1,2026-01-21,2026-01-21
AIN,infinity-ground,10,2026-02-08,2026-02-23
AIOT,okzoo,53,2026-01-10,2026-03-27
AIXBT,aixbt,65,2026-01-10,2026-03-27
AKT,akash-network,1,2026-01-27,2026-01-27
ALGO,algorand,60,2026-01-10,2026-03-27
ALICE,my-neighbor-alice,47,2026-01-10,2026-03-27
ALPINE,alpine-f1-team-fan-token,69,2026-01-10,2026-03-27
ALT,altlayer,69,2026-01-10,2026-09-14
ANIME,anime,52,2026-01-12,2026-03-27
ANKR,ankr,57,2026-01-10,2026-03-17
APE,apecoin,67,2026-01-10,2026-03-27
API3,api3,66,2026-01-10,2026-03-27
APT,aptos,7,2026-01-14,2026-02-07
AR,arweave,65,2026-01-10,2026-03-27
ARK,ark,33,2026-02-13,2026-03-27
ARKM,arkham,65,2026-01-10,2026-03-27
ARPA,arpa,55,2026-01-10,2026-03-27
ASTR,astar,50,2026-01-10,2026-03-27
ATH,aethir,28,2026-01-11,2026-03-18
ATOM,cosmos,44,2026-01-23,2026-03-27
AUCTION,auction,27,2026-01-20,2026-03-27
AVA,concierge-io,21,2026-02-08,2026-03-03
AXS,axie-infinity,1,2026-01-11,2026-01-11
B,build-on,29,2026-01-28,2026-03-22
B3,b3,66,2026-01-10,2026-03-26
BABY,babylon,48,2026-01-28,2026-03-27
BABYDOGE,baby-doge-coin,37,2026-02-09,2026-03-27
BANANA,banana-gun,65,2026-01-10,2026-03-27
BB,bouncebit,41,2026-01-11,2026-03-03
BEAT,audiera,1,2025-12-15,2025-12-15
BEL,bella-protocol,54,2026-01-10,2026-03-27
BERA,berachain-bera,55,2026-01-10,2026-03-27
BICO,biconomy,56,2026-01-15,2026-03-27
BID,creatorbid,7,2026-01-10,2026-01-16
BIGTIME,big-time,25,2026-02-12,2026-03-27
BLUR,blur,57,2026-01-12,2026-03-27
BMT,bubblemaps,70,2026-01-10,2026-03-27
BNT,bancor,25,2026-02-09,2026-03-27
BOME,book-of-meme,64,2026-01-10,2026-03-27
BONK,bonk,9,2026-01-16,2026-03-17
BULLA,bulla-3,20,2026-01-17,2026-04-28
C,chainbase,46,2026-01-28,2026-03-26
C98,coin98,44,2026-01-10,2026-03-27
CAKE,pancakeswap-token,39,2026-02-09,2026-03-27
CARV,carv,29,2026-02-09,2026-03-26
CAT,simon-s-cat,37,2026-01-24,2026-03-03
CATI,catizen,32,2026-02-02,2026-03-23
CELR,celer-network,69,2026-01-10,2026-03-27
