decision_date,field,AS_DECIDED,PRE_REPAIR_RECOMPUTE,RECOMPUTED_ON_CORRECTED_DATA,as_decided_source,corrected_differs_from_pre_repair
2024-09-23,funding_regime,,,,not recorded (no decision-time record exists),False
2024-09-23,is_mrf_active,,,,not recorded (no decision-time record exists),False
2024-09-23,funding_pct_rank,,,,not recorded (no decision-time record exists),False
2024-09-23,F_tk,,5.495126666666666e-05,5.999675000000001e-05,not recorded (no decision-time record exists),True
2024-09-23,basket_members,,"SOL,XRP,DOGE,TON,TRX,ADA,AVAX,LINK,BCH,DOT,LTC,NEAR,UNI,SUI,KAS,FET,APT,ICP,TAO,XMR,POL,XLM,ETC,IMX,STX,AAVE,RENDER,FIL,ARB,INJ","SOL,XRP,DOGE,TON,TRX,ADA,AVAX,LINK,BCH,DOT,LTC,NEAR,UNI,SUI,KAS,FET,APT,ICP,TAO,XMR,POL,XLM,ETC,IMX,STX,AAVE,RENDER,FIL,ARB,INJ",not recorded (no decision-time record exists),False
2024-09-23,BTCDOM_Trend,,Falling,Falling,not recorded (no decision-time record exists),False
2024-09-23,Environment_APR,,8.707986545896658,8.639716968085109,not recorded (no decision-time record exists),True
2024-09-30,funding_regime,,,,not recorded (no decision-time record exists),False
2024-09-30,is_mrf_active,,,,not recorded (no decision-time record exists),False
2024-09-30,funding_pct_rank,,,,not recorded (no decision-time record exists),False
2024-09-30,F_tk,,7.085542857142857e-05,7.085542857142859e-05,not recorded (no decision-time record exists),True
2024-09-30,basket_members,,"SOL,XRP,DOGE,TON,ADA,TRX,AVAX,LINK,BCH,DOT,NEAR,UNI,LTC,SUI,ICP,FET,TAO,APT,KAS,POL,ETC,XLM,STX,IMX,XMR,RENDER,WIF,AAVE,FIL,OP","SOL,XRP,DOGE,TON,ADA,TRX,AVAX,LINK,BCH,DOT,NEAR,UNI,LTC,SUI,ICP,FET,TAO,APT,KAS,POL,ETC,XLM,STX,IMX,XMR,RENDER,WIF,AAVE,FIL,OP",not recorded (no decision-time record exists),False
2024-09-30,BTCDOM_Trend,,Falling,Falling,not recorded (no decision-time record exists),False
2024-09-30,Environment_APR,,9.212511342249302,9.212511342249302,not recorded (no decision-time record exists),False
2024-10-07,funding_regime,,,,not recorded (no decision-time record exists),False
2024-10-07,is_mrf_active,,,,not recorded (no decision-time record exists),False
2024-10-07,funding_pct_rank,,,,not recorded (no decision-time record exists),False
2024-10-07,F_tk,,8.080380952380952e-06,8.080380952380954e-06,not recorded (no decision-time record exists),True
2024-10-07,basket_members,,"SOL,XRP,DOGE,TON,TRX,ADA,AVAX,LINK,BCH,DOT,NEAR,UNI,SUI,LTC,TAO,APT,ICP,FET,KAS,POL,ETC,XLM,STX,XMR,WIF,IMX,AAVE,FIL,RENDER,OP","SOL,XRP,DOGE,TON,TRX,ADA,AVAX,LINK,BCH,DOT,NEAR,UNI,SUI,LTC,TAO,APT,ICP,FET,KAS,POL,ETC,XLM,STX,XMR,WIF,IMX,AAVE,FIL,RENDER,OP",not recorded (no decision-time record exists),False
2024-10-07,BTCDOM_Trend,,Rising,Rising,not recorded (no decision-time record exists),False
2024-10-07,Environment_APR,,7.368619707820199,7.368619707820199,not recorded (no decision-time record exists),False
2024-10-14,funding_regime,,,,not recorded (no decision-time record exists),False
2024-10-14,is_mrf_active,,,,not recorded (no decision-time record exists),False
2024-10-14,funding_pct_rank,,,,not recorded (no decision-time record exists),False
2024-10-14,F_tk,,5.791566666666667e-05,5.791566666666668e-05,not recorded (no decision-time record exists),True
2024-10-14,basket_members,,"SOL,XRP,DOGE,TRX,TON,ADA,AVAX,LINK,SUI,BCH,DOT,UNI,NEAR,APT,LTC,TAO,ICP,FET,KAS,POL,ETC,XMR,XLM,WIF,STX,IMX,AAVE,OP,RENDER,FIL","SOL,XRP,DOGE,TRX,TON,ADA,AVAX,LINK,SUI,BCH,DOT,UNI,NEAR,APT,LTC,TAO,ICP,FET,KAS,POL,ETC,XMR,XLM,WIF,STX,IMX,AAVE,OP,RENDER,FIL",not recorded (no decision-time record exists),False
2024-10-14,BTCDOM_Trend,,Rising,Rising,not recorded (no decision-time record exists),False
2024-10-14,Environment_APR,,8.659954151785717,8.659954151785717,not recorded (no decision-time record exists),False
2024-10-21,funding_regime,,,,not recorded (no decision-time record exists),False
2024-10-21,is_mrf_active,,,,not recorded (no decision-time record exists),False
2024-10-21,funding_pct_rank,,,,not recorded (no decision-time record exists),False
2024-10-21,F_tk,,7.109000000000001e-05,7.109000000000001e-05,not recorded (no decision-time record exists),False
