asset_uid,coingecko_id,old_coin_from,n_days,pre_gap_vs_coingecko,post_gap_vs_coingecko
ANDY,andy-the-wisguy,2024-03-11,688,2.800652038665028,2.6227189856396116
BERT,bertram-the-pomeranian,2026-01-20,8,2534.7256417127505,2.398089919117088
BLOCK,block-4,2026-01-27,1,6140.797712930416,12.142682000451792
COOK,meth-protocol,2024-03-11,652,106.86782843746926,3.8865770787935014
CSWAP,chainswap-3,2025-05-21,252,2.8401289709552575,2.157251101619868
FRIEND,friend-tech,2026-01-27,1,5.174504751257727,4.2143813213735974
GOCHU,gochujangcoin,2026-01-23,5,16.187716213648322,1.064702079058751
HAROLD,haroldonsol,2025-06-12,230,22.680429520428397,1.0239221244552
ICECREAM,icecream-ai,2025-12-29,30,8.100194918825222,2.7753482823725077
KARAT,karat-galaxy,2024-03-13,194,,1.0258644437548126
LAVA,lava-network,2024-03-11,688,15.16134022663878,1.0274122850212146
MIU,miu-2,2026-01-16,12,656.5158445299866,3.9533694153013927
MUMU,mumu-the-bull-3,2024-03-11,688,1589.7346884243805,2.180877933144585
NOX,nonos-2,2026-01-25,3,14.191434506264166,1.089148932523444
PUP,pup-token,2025-10-07,113,5.451758758390811,1.1160215419345392
SNORT,snorter,2024-07-21,62,,1.0624046607622284
SWOP,swop-2,2024-03-11,196,,1.002996512540546
TROLL,troll-2,2024-03-11,476,19736234.373874247,3.379270658027952
TUNA,defituna,2026-01-06,22,978.0911870184322,2.5095206845061893
VIVI,vivi-coin,2026-01-13,15,1111.23279020676,1.8071618231145001
VLX,velas,2026-01-27,1,5.153702948779874,1.159811858442994
