asset_uid,coingecko_id,overlap_days,med_abs_log_price,share_exact
$1,just-buy-1-worth-of-this-coin,523,0.0026478859812969634,0.0019083969465648854
$BEAR,bearxrpl,405,0.0013389295882542229,0.017241379310344827
$BORGY,borgy,458,0.0015546920726725267,0.017467248908296942
$CPT,empulser-enterprises,176,0.013350624584661455,0.03409090909090909
$FARTBOY,fartboy,468,0.003826468694176505,0.0
$HACHI,hachiko-3,137,0.052153593977655475,0.0
$JIM,naked-jim,552,0.004615243958919032,0.009057971014492754
$MICHI,michicoin,588,0.003203110334231896,0.003401360544217687
$MYRO,myro,588,0.0017162384337260014,0.0
$NAP,snap-kero,588,0.0014255025620557946,0.06292517006802721
0G,zero-gravity,359,0.00718037629818602,0.0
0X0,0x0-ai-ai-smart-contract,589,0.001810844632401438,0.001697792869269949
0XY,0xy,214,0.0018882686198712785,0.1542056074766355
1-COIN-CAN-CHANGE-YOUR-LIFE,1-coin-can-change-your-life,210,0.01045104066440593,0.0
10SET,tenset,588,0.001081390456134114,0.01870748299319728
1GUY,1guy,253,0.0011178283585328015,0.02
1INCH,1inch,723,0.0012634330031547473,0.0
1R0R,r0ar-token,340,0.00148718714910831,0.011764705882352941
1USDC,harmony-horizen-bridged-usdc-harmony,585,0.0005835738541236123,0.059625212947189095
2Z,doublezero,349,0.004996931882399462,0.0
3ULL,playa3ull-games-2,588,0.0013908645492341407,0.003401360544217687
4,4-2,215,5.691680282342576,0.0
401JK,401jk,245,0.0066694388122259035,0.0163265306122449
42,semantic-layer,189,0.020181248604849485,0.0
4CHAN,4chan,588,0.0013040132071157292,0.003401360544217687
67,the-official-67-coin,227,0.024468979922133496,0.0
69420,69420,434,0.00181749586653644,0.242914979757085
9BIT,the9bit,136,0.0006532851954865644,0.007352941176470588
A,vaulta,476,0.0018875273967052868,0.0021008403361344537
A0T,agent-zero-token,385,0.001996237887416301,0.007792207792207792
A1C,sally-a1c,437,0.0011797892569463879,0.14416475972540047
A2Z,arena-z,279,0.0031728083408925282,0.0
A47,agenda-47,460,0.002054700558676602,0.004347826086956522
A7A5,a7a5,136,0.00015136921647408358,0.0
A8,ancient8,589,0.0017740198692652125,0.0
AAPLON,apple-ondo-tokenized-stock,244,0.0005874703598031097,0.00819672131147541
AAPLX,apple-xstock,311,0.0004965358421243748,0.00964630225080386
AAVE,aave,723,0.0013267623753636818,0.0
AB,newton-project,723,0.0009429325963529349,0.0013831258644536654
ABEL,abelian,588,0.001140844151101648,0.03225806451612903
ABEY,abey,136,0.0015638155892360912,0.0
ABSTER,abster,431,0.0030992669529735354,0.002320185614849188
ABT,arcblock,723,0.002143549338236083,0.005532503457814661
ABX,alphbanx,495,0.0018403586568362092,0.05656565656565657
ACA,acala,589,0.0014014169274202256,0.001697792869269949
ACE,endurance,590,0.0010822986098506775,0.0
ACH,alchemy-pay,723,0.0015239905430110728,0.0
ACM,ac-milan-fan-token,589,0.0009266618825334249,0.003395585738539898
ACN,solidus-aitech,135,0.001263908800316709,0.0
ACRED,apollo-diversified-credit-securitize-fund,551,7.91142704702755e-05,0.041742286751361164
ACS,access-protocol,589,0.0014769184466784518,0.0
ACT,act-i-the-ai-prophecy,560,0.0012760863571135142,0.0
ACU,acurast,136,0.006608196187193046,0.0
ACX,across-protocol,723,0.0013624884422846221,0.0
ADA,cardano,722,0.001283133005171369,0.0
ADCO,advertise-coin,617,0.0009328559884209306,0.0372168284789644
ADI,adi-token,281,0.001572750491323438,0.010676156583629894
ADO,ado-network,451,0.0018732500654316472,0.01020408163265306
ADP,adappter-token,588,0.0016662664513797218,0.015306122448979591
ADS,adshares,723,0.0012001791235529875,0.005532503457814661
