date,regime,score,pnl,cost,funding,r_ls_net,alt_turnover,major_turnover,alt_gross,major_gross,total_gross
2024-09-16,BALANCED,0.0,0.0,0.0,-0.0010832857142857135,0.0010832857142857135,0.0,0.0,0.0,0.0,0.0
2024-09-17,BALANCED,0.0,0.0,0.0,-0.002217584210526314,0.002217584210526314,0.0,0.0,0.0,0.0,0.0
2024-09-18,BALANCED,0.0,0.0,0.0,0.005079536842105263,-0.005079536842105263,0.0,0.0,0.0,0.0,0.0
2024-09-19,BALANCED,0.0,0.0,0.0,0.010291515789473685,-0.010291515789473685,0.0,0.0,0.0,0.0,0.0
2024-09-20,BALANCED,0.0,0.0,0.0,0.01914325130890053,-0.01914325130890053,0.0,0.0,0.0,0.0,0.0
2024-09-21,BALANCED,0.0,0.0,0.0,0.008460219895287963,-0.008460219895287963,0.0,0.0,0.0,0.0,0.0
2024-09-22,BALANCED,0.0,0.0,0.0,0.0037602408376963383,-0.0037602408376963383,0.0,0.0,0.0,0.0,0.0
2024-09-23,BALANCED,0.0,0.0,0.0,0.008028219895287958,-0.008028219895287958,0.0,0.0,0.0,0.0,0.0
2024-09-24,BALANCED,0.0,0.0,0.0,0.015416623036649216,-0.015416623036649216,0.0,0.0,0.0,0.0,0.0
2024-09-25,BALANCED,0.0,0.0,0.0,0.01747232984293194,-0.01747232984293194,0.0,0.0,0.0,0.0,0.0
2024-09-26,BALANCED,0.0,0.0,0.0,0.012278324607329846,-0.012278324607329846,0.0,0.0,0.0,0.0,0.0
2024-09-27,BALANCED,0.0,0.0,0.0,0.020221869109947645,-0.020221869109947645,0.0,0.0,0.0,0.0,0.0
2024-09-28,BALANCED,0.0,0.0,0.0,0.02277920418848168,-0.02277920418848168,0.0,0.0,0.0,0.0,0.0
2024-09-29,BALANCED,0.0,0.0,0.0,0.020084623036649218,-0.020084623036649218,0.0,0.0,0.0,0.0,0.0
2024-09-30,BALANCED,0.0,0.0,0.0,0.013905486910994764,-0.013905486910994764,0.0,0.0,0.0,0.0,0.0
2024-10-01,BALANCED,0.0,0.0,0.0,0.012309062827225133,-0.012309062827225133,0.0,0.0,0.0,0.0,0.0
2024-10-02,BALANCED,0.0,0.0,0.0,0.001645812500000001,-0.001645812500000001,0.0,0.0,0.0,0.0,0.0
2024-10-03,BALANCED,0.0,0.0,0.0,0.004877642487046633,-0.004877642487046633,0.0,0.0,0.0,0.0,0.0
2024-10-04,BALANCED,0.0,0.0,0.0,0.0005230569948186539,-0.0005230569948186539,0.0,0.0,0.0,0.0,0.0
2024-10-05,BALANCED,0.0,0.0,0.0,0.0029137616580310875,-0.0029137616580310875,0.0,0.0,0.0,0.0,0.0
2024-10-06,BALANCED,0.0,0.0,0.0,0.012724103626943008,-0.012724103626943008,0.0,0.0,0.0,0.0,0.0
2024-10-07,BALANCED,0.0,0.0,0.0,0.008842647668393783,-0.008842647668393783,0.0,0.0,0.0,0.0,0.0
2024-10-08,BALANCED,0.0,0.0,0.0,0.013066911917098446,-0.013066911917098446,0.0,0.0,0.0,0.0,0.0
2024-10-09,BALANCED,0.0,0.0,0.0,0.006917564766839378,-0.006917564766839378,0.0,0.0,0.0,0.0,0.0
2024-10-10,BALANCED,0.0,0.0,0.0,-0.002474829015544038,0.002474829015544038,0.0,0.0,0.0,0.0,0.0
2024-10-11,BALANCED,0.0,0.0,0.0,0.008344709844559584,-0.008344709844559584,0.0,0.0,0.0,0.0,0.0
2024-10-12,BALANCED,-0.04134981874395405,0.0,0.0,0.017134398963730573,-0.017134398963730573,0.0,0.0,0.0,0.0,0.0
2024-10-13,BALANCED,-0.4230151718277464,0.0,0.0,0.01922252331606218,-0.01922252331606218,0.0,0.0,0.0,0.0,0.0
2024-10-14,WEAK_RISK_ON_ALTS,-0.8254999232540412,0.0,0.0,0.014475715025906737,-0.014475715025906737,0.0,0.0,0.0,0.0,0.0
2024-10-15,WEAK_RISK_ON_ALTS,-0.2799243200193481,0.0,0.0,0.021074689119170986,-0.021074689119170986,0.0,0.0,0.0,0.0,0.0
2024-10-16,WEAK_RISK_ON_ALTS,-0.45581341548306803,0.0,0.0,0.019257450777202072,-0.019257450777202072,0.0,0.0,0.0,0.0,0.0
2024-10-17,WEAK_RISK_ON_ALTS,-0.21326199475813115,0.0,0.0,0.01302439896373057,-0.01302439896373057,0.0,0.0,0.0,0.0,0.0
2024-10-18,WEAK_RISK_ON_ALTS,-0.21116494675401856,0.0,0.0,0.008366968911917096,-0.008366968911917096,0.0,0.0,0.0,0.0,0.0
2024-10-19,BALANCED,-0.08541595471342753,0.0,0.0,0.014614880829015547,-0.014614880829015547,0.0,0.0,0.0,0.0,0.0
2024-10-20,BALANCED,-0.07573147676580075,0.0,0.0,0.015901554404145077,-0.015901554404145077,0.0,0.0,0.0,0.0,0.0
2024-10-21,BALANCED,0.1247767582350067,0.0,0.0,0.021018466321243528,-0.021018466321243528,0.0,0.0,0.0,0.0,0.0
2024-10-22,BALANCED,-0.39273913061800475,0.0,0.0,0.020117797927461146,-0.020117797927461146,0.0,0.0,0.0,0.0,0.0
2024-10-23,BALANCED,0.017660957130917938,0.0,0.0,0.01908334196891192,-0.01908334196891192,0.0,0.0,0.0,0.0,0.0
2024-10-24,BALANCED,-0.08164211211365781,0.0,0.0,0.01162133160621762,-0.01162133160621762,0.0,0.0,0.0,0.0,0.0
2024-10-25,BALANCED,-0.04996476898894198,0.0,0.0,0.01850420103092784,-0.01850420103092784,0.0,0.0,0.0,0.0,0.0
2024-10-26,BALANCED,0.146010526334872,0.0,0.0,0.00202666836734694,-0.00202666836734694,0.0,0.0,0.0,0.0,0.0
2024-10-27,BALANCED,0.1795133538377811,0.0,0.0,0.008912801020408163,-0.008912801020408163,0.0,0.0,0.0,0.0,0.0
2024-10-28,BALANCED,0.18626500442940125,0.0,0.0,0.009439132653061226,-0.009439132653061226,0.0,0.0,0.0,0.0,0.0
2024-10-29,WEAK_RISK_ON_MAJORS,0.5683282624178392,0.0,0.0003,0.012947632653061227,-0.013247632653061227,0.19999999999999998,0.39999999999999997,0.19999999999999998,0.39999999999999997,0.6
2024-10-30,WEAK_RISK_ON_MAJORS,0.5109541049248655,0.015308996616076369,9.799972465287564e-6,0.025008290816326537,-0.009709094172715456,0.01959994493057513,0.0,0.19999999999999998,0.39999999999999997,0.6
2024-10-31,BALANCED,0.022632540361293557,-0.0026632562236210064,0.0003,0.02166336734693878,-0.024626623570559787,0.19999999999999998,0.39999999999999997,0.0,0.0,0.0
2024-11-01,BALANCED,0.08252021025719136,0.0,0.0,0.015995678571428574,-0.015995678571428574,0.0,0.0,0.0,0.0,0.0
2024-11-02,BALANCED,0.2629093561813826,0.0,0.0,0.020007505102040822,-0.020007505102040822,0.0,0.0,0.0,0.0,0.0
2024-11-03,BALANCED,-0.11195828626150359,0.0,0.0,0.010760357142857144,-0.010760357142857144,0.0,0.0,0.0,0.0,0.0
