date,score,regime
2024-01-01,0.0,BALANCED
2024-01-02,0.0,BALANCED
2024-01-03,0.0,BALANCED
2024-01-04,0.0,BALANCED
2024-01-05,0.0,BALANCED
2024-01-06,0.0,BALANCED
2024-01-07,0.0,BALANCED
2024-01-08,0.0,BALANCED
2024-01-09,0.0,BALANCED
2024-01-10,0.0,BALANCED
2024-01-11,0.0,BALANCED
2024-01-12,0.0,BALANCED
2024-01-13,0.0,BALANCED
2024-01-14,0.0,BALANCED
2024-01-15,0.0,BALANCED
2024-01-16,0.0,BALANCED
2024-01-17,0.0,BALANCED
2024-01-18,0.0,BALANCED
2024-01-19,0.0,BALANCED
2024-01-20,0.0,BALANCED
2024-01-21,0.0,BALANCED
2024-01-22,0.0,BALANCED
2024-01-23,0.0,BALANCED
2024-01-24,0.0,BALANCED
2024-01-25,0.0,BALANCED
2024-01-26,0.0,BALANCED
2024-01-27,0.0,BALANCED
2024-01-28,0.0,BALANCED
2024-01-29,0.0,BALANCED
2024-01-30,0.0,BALANCED
2024-01-31,0.0,BALANCED
2024-02-01,0.0,BALANCED
2024-02-02,0.0,BALANCED
2024-02-03,0.0,BALANCED
2024-02-04,0.0,BALANCED
2024-02-05,0.0,BALANCED
2024-02-06,0.0,BALANCED
2024-02-07,0.0,BALANCED
2024-02-08,0.0,BALANCED
2024-02-09,0.0,BALANCED
2024-02-10,0.0,BALANCED
2024-02-11,0.0,BALANCED
2024-02-12,0.0,BALANCED
2024-02-13,0.0,BALANCED
2024-02-14,0.0,BALANCED
2024-02-15,0.0,BALANCED
2024-02-16,0.0,BALANCED
2024-02-17,0.0,BALANCED
2024-02-18,0.0,BALANCED
2024-02-19,0.0,BALANCED
2024-02-20,0.0,BALANCED
2024-02-21,0.0,BALANCED
2024-02-22,0.0,BALANCED
2024-02-23,0.0,BALANCED
2024-02-24,0.0,BALANCED
2024-02-25,0.0,BALANCED
2024-02-26,0.0,BALANCED
2024-02-27,0.0,BALANCED
2024-02-28,0.0,BALANCED
2024-02-29,0.17741381952424076,BALANCED
2024-03-01,0.3523481724274919,BALANCED
2024-03-02,0.24291288535553815,BALANCED
2024-03-03,0.399116902339878,BALANCED
2024-03-04,0.05573056184972353,BALANCED
2024-03-05,0.10962858870266688,BALANCED
2024-03-06,0.31531141329785656,BALANCED
2024-03-07,0.5277045839193697,WEAK_RISK_ON_MAJORS
2024-03-08,0.37341969642477324,WEAK_RISK_ON_MAJORS
2024-03-09,0.1768715194307792,WEAK_RISK_ON_MAJORS
2024-03-10,0.19952550134744357,BALANCED
2024-03-11,-0.25428487368571184,BALANCED
2024-03-12,0.02911463095174139,BALANCED
2024-03-13,0.001654658646807361,BALANCED
2024-03-14,0.10979649405891286,BALANCED
2024-03-15,-0.5292401384414158,WEAK_RISK_ON_ALTS
2024-03-16,-0.1667556896760316,WEAK_RISK_ON_ALTS
2024-03-17,-0.3994681781964702,WEAK_RISK_ON_ALTS
2024-03-18,0.17648390446975631,BALANCED
2024-03-19,-0.42072274027544215,BALANCED
2024-03-20,-0.17257848428510014,BALANCED
2024-03-21,0.1547801627782553,BALANCED
2024-03-22,-0.49242565318863685,BALANCED
2024-03-23,-0.47039368657887387,BALANCED
2024-03-24,-0.23252006246330847,BALANCED
2024-03-25,0.019628574880756602,BALANCED
2024-03-26,0.174245239174885,BALANCED
2024-03-27,-0.1333260223875133,BALANCED
2024-03-28,-0.27147534076630553,BALANCED
2024-03-29,-0.010154746868917,BALANCED
2024-03-30,-0.40045035788549543,BALANCED
2024-03-31,-0.38560272180261534,BALANCED
2024-04-01,-0.052826442707151366,BALANCED
2024-04-02,-0.4055538922537503,BALANCED
2024-04-03,-0.4625554448144005,BALANCED
2024-04-04,-0.08639569939526782,BALANCED
2024-04-05,0.17660060160406568,BALANCED
2024-04-06,-0.19984452386897117,BALANCED
2024-04-07,0.20699958394995657,BALANCED
2024-04-08,0.1611169337922098,BALANCED
2024-04-09,0.15015776403691414,BALANCED
2024-04-10,-0.2746104543930921,BALANCED
2024-04-11,0.035686843367336615,BALANCED
2024-04-12,-0.03635193440277995,BALANCED
2024-04-13,0.18197051618647728,BALANCED
2024-04-14,0.31499887951266076,BALANCED
2024-04-15,0.7239319024925827,WEAK_RISK_ON_MAJORS
2024-04-16,0.21329063581768967,WEAK_RISK_ON_MAJORS
2024-04-17,0.3756982386249527,WEAK_RISK_ON_MAJORS
2024-04-18,0.15323041671126764,BALANCED
2024-04-19,0.6417567272534177,WEAK_RISK_ON_MAJORS
2024-04-20,0.5578788945327021,WEAK_RISK_ON_MAJORS
2024-04-21,0.6949072252501531,WEAK_RISK_ON_MAJORS
2024-04-22,0.2671124457956188,WEAK_RISK_ON_MAJORS
2024-04-23,0.5408594710657677,WEAK_RISK_ON_MAJORS
2024-04-24,0.23071515169381435,WEAK_RISK_ON_MAJORS
2024-04-25,0.038829666190545745,BALANCED
2024-04-26,0.26862219749521843,BALANCED
2024-04-27,0.09176580302729556,BALANCED
