decision_date,next_date,basket_hash,basket_members,n_valid,coverage,F_tk,F_tk_apr,label_v0_0,label_v0_1,p_v0_0,p_v0_1,r_alts,r_maj_weighted,y,r_btc,r_eth,y_hot,y_cold,funding_pct_rank,funding_regime,btcd_index_decision,sma_30,BTCDOM_Trend,btcdom_7d_ret,is_mrf_active,y_filtered,y_gated
2024-03-18,2024-03-25,"ADA,APT,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,RUNE,SOL,STX,THETA,TRX,UNI,VET,WIF,XLM,XMR,XRP","SOL,XRP,ADA,DOGE,DOT,TRX,LINK,UNI,NEAR,BCH,LTC,ICP,APT,FIL,ATOM,ETC,IMX,GRT,STX,HBAR,XLM,INJ,OP,KAS,THETA,VET,WIF,FET,RUNE,XMR",30,100.0,0.0002804253333333,10.235524666666668,Green,,97.9381443298969,,0.0052745739172494,-0.0269655880970111,-0.0327713237421692,-0.0162868194170004,-0.051882715017036,-0.0051591474182584,0.0053018606564092,,,,,Falling,,False,0.0,0.0
2024-03-25,2024-04-01,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LDO,LINK,LTC,NEAR,OP,RUNE,SOL,STX,THETA,TRX,UNI,VET,WIF,XLM,XRP","SOL,XRP,DOGE,ADA,DOT,LINK,TRX,BCH,UNI,NEAR,ICP,LTC,APT,STX,FIL,ETC,ATOM,ARB,IMX,XLM,OP,HBAR,GRT,KAS,INJ,VET,RUNE,THETA,WIF,LDO",30,100.0,0.0001717179523809,6.267705261904761,Green,,94.84536082474226,,0.0816318143194705,0.05747778414969,-0.0244505228204896,0.0584743823578293,0.0551523883306985,0.0732806673928796,0.0698009061760664,,,,,Falling,,False,0.0,0.0
2024-04-01,2024-04-08,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,RUNE,SOL,STX,THETA,TRX,UNI,VET,WIF,XLM,XRP","SOL,XRP,DOGE,ADA,BCH,DOT,LINK,TRX,UNI,ICP,LTC,NEAR,APT,STX,FIL,ETC,ATOM,WIF,ARB,IMX,XLM,HBAR,OP,GRT,VET,INJ,KAS,FET,THETA,RUNE",30,100.0,0.0004528881428571,16.530417214285713,Green,,100.0,,-0.0889731898948306,-0.0338753239934576,0.0536335265132838,-0.0258955336921261,-0.0524948346965644,-0.0821216464278522,-0.1071002666955265,,,,,Falling,,False,0.0,0.0
2024-04-08,2024-04-15,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,RUNE,SOL,STX,THETA,TRX,UNI,VET,WIF,XLM,XRP","SOL,XRP,DOGE,ADA,BCH,DOT,TRX,LINK,UNI,ICP,LTC,NEAR,APT,ETC,STX,FIL,ATOM,ARB,IMX,WIF,XLM,HBAR,KAS,OP,GRT,INJ,VET,FET,THETA,RUNE",30,100.0,0.0001452129523809,5.300272761904763,Green,,92.78350515463916,,-0.202690441218893,-0.0624995993532358,0.1311956535410396,-0.0525822735586044,-0.0856400262073758,-0.2541136154228325,-0.2059098143297245,,,,,Falling,,False,0.0,0.0
2024-04-15,2024-04-22,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,SOL,STX,TAO,TRX,UNI,VET,WIF,XLM,XMR,XRP","SOL,XRP,DOGE,ADA,BCH,TRX,DOT,LINK,NEAR,ICP,LTC,UNI,APT,STX,ETC,TAO,FIL,ATOM,XLM,ARB,VET,IMX,WIF,HBAR,KAS,GRT,INJ,OP,FET,XMR",30,100.0,7.713935714285715e-05,2.815586535714286,Green,,84.5360824742268,,0.0232153644835585,-0.0096915865262292,-0.0334605637628572,-0.0124137835629444,-0.0033397934405604,0.0169632721794268,0.0247512203366252,,,,,Falling,,False,0.0,0.0
2024-04-22,2024-04-29,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,SOL,STX,TAO,THETA,TRX,UNI,VET,WIF,XLM,XRP","SOL,XRP,DOGE,ADA,BCH,TRX,DOT,LINK,ICP,NEAR,LTC,UNI,APT,STX,ETC,FIL,ATOM,XLM,IMX,HBAR,ARB,TAO,VET,WIF,KAS,GRT,OP,INJ,FET,THETA",30,100.0,2.1690904761904764e-05,0.7917180238095239,Yellow,,44.329896907216494,,-0.0375821398118814,-0.0098348891555409,0.0273692716828983,-0.0293515891063832,0.0357040773964245,-0.0310901096526509,-0.0505230579744237,,,,,Falling,,False,0.0,0.0
2024-04-29,2024-05-06,"ADA,APT,AR,ARB,ATOM,BCH,DOGE,DOT,ETC,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,SOL,STX,TAO,TRX,UNI,VET,WIF,XLM,XMR,XRP","SOL,XRP,DOGE,ADA,TRX,BCH,DOT,LINK,NEAR,ICP,LTC,UNI,ETC,APT,HBAR,STX,XLM,FIL,ATOM,IMX,ARB,VET,TAO,OP,KAS,WIF,GRT,AR,INJ,XMR",30,100.0,1.648647619047619e-05,0.601756380952381,Orange,,40.20618556701031,,0.0348497044375362,-0.000435231415407,-0.035922491557944,0.0155413024981603,-0.0377138105470642,0.0310601132332867,0.0330199115519399,,,,,Falling,,False,0.0,0.0
2024-05-06,2024-05-13,"ADA,APT,AR,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,GRT,HBAR,ICP,IMX,KAS,LINK,LTC,NEAR,OP,SOL,STX,SUI,TAO,TRX,UNI,VET,WIF,XLM,XRP","SOL,XRP,DOGE,ADA,TRX,DOT,BCH,LINK,NEAR,LTC,ICP,FET,UNI,ETC,APT,HBAR,ATOM,FIL,STX,IMX,WIF,XLM,TAO,OP,ARB,GRT,VET,AR,SUI,KAS",30,100.0,1.1730333333333335e-05,0.4281571666666667,Orange,,32.98969072164948,,-0.0599441741632932,-0.04700445240401,0.0128567188161942,-0.0391025513149201,-0.0654422216118865,-0.0559866268335134,-0.0717307023127869,,,,,Falling,,False,0.0,0.0
2024-05-13,2024-05-20,"ADA,APT,AR,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,GRT,HBAR,ICP,IMX,KAS,LINK,LTC,NEAR,OP,SOL,STX,TAO,TRX,UNI,VET,WIF,XLM,XMR,XRP","SOL,XRP,DOGE,ADA,TRX,DOT,BCH,LINK,NEAR,LTC,FET,ICP,UNI,ETC,HBAR,APT,ATOM,IMX,FIL,XLM,WIF,STX,KAS,AR,ARB,OP,GRT,VET,TAO,XMR",30,100.0,5.108371428571429e-05,1.8645555714285715,YellowGreen,,62.88659793814433,,0.0339765238574986,0.0683389004144394,0.0337851755759551,0.0771563305808273,0.0477648966928674,0.0224330546390967,0.039375172265665,,,,,Falling,,False,0.0,0.0
2024-05-20,2024-05-27,"ADA,APT,AR,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,GRT,HBAR,ICP,IMX,KAS,LINK,LTC,NEAR,OP,SOL,STX,TAO,TRX,UNI,VET,WIF,XLM,XMR,XRP","SOL,XRP,DOGE,ADA,TRX,LINK,BCH,DOT,NEAR,LTC,ICP,UNI,FET,ETC,HBAR,APT,IMX,ATOM,AR,FIL,XLM,KAS,GRT,STX,OP,ARB,WIF,VET,TAO,XMR",30,100.0,6.069580952380953e-05,2.215397047619048,YellowGreen,,69.0721649484536,,0.0567243856709622,0.0974817282670446,0.0399486621687884,0.0340532247577727,0.2454815697886792,0.0501421227573816,0.049703503594916,,,,,Falling,,False,0.0,0.0
