decision_date,next_date,basket_hash,basket_members,n_valid,coverage,F_tk,F_tk_apr,label_v0_0,label_v0_1,p_v0_0,p_v0_1,r_alts,r_maj_weighted,y,r_btc,r_eth,y_hot,y_cold
2024-03-25,2024-04-01,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LDO,LINK,LTC,NEAR,OP,RUNE,SOL,STX,THETA,TRX,UNI,VET,WIF,XLM,XRP","SOL,XRP,DOGE,ADA,DOT,LINK,TRX,BCH,UNI,NEAR,ICP,LTC,APT,STX,FIL,ETC,ATOM,ARB,IMX,XLM,OP,HBAR,GRT,KAS,INJ,VET,RUNE,THETA,WIF,LDO",30,100.0,0.00018526966666666667,0.202870285,Green,,96.22641509433963,,0.08163181431947053,0.05747778414969009,-0.024450522820489647,0.05847438235782931,0.055152388330698576,0.0740127119371884,0.06906886163175775
2024-04-01,2024-04-08,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,RUNE,SOL,STX,THETA,TRX,UNI,VET,WIF,XLM,XRP","SOL,XRP,DOGE,ADA,BCH,DOT,LINK,TRX,UNI,ICP,LTC,NEAR,APT,STX,FIL,ETC,ATOM,WIF,ARB,IMX,XLM,HBAR,OP,GRT,VET,INJ,KAS,FET,THETA,RUNE",30,100.0,0.00045288814285714287,0.4959125164285714,Green,,99.05660377358491,,-0.08897318989483069,-0.03387532399345765,0.053633526513283854,-0.02589553369212616,-0.05249483469656446,-0.08212164642785229,-0.1071002666955265
2024-04-08,2024-04-15,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,RUNE,SOL,STX,THETA,TRX,UNI,VET,WIF,XLM,XRP","SOL,XRP,DOGE,ADA,BCH,DOT,TRX,LINK,UNI,ICP,LTC,NEAR,APT,ETC,STX,FIL,ATOM,ARB,IMX,WIF,XLM,HBAR,KAS,OP,GRT,INJ,VET,FET,THETA,RUNE",30,100.0,0.0001452129523809524,0.15900818285714288,Green,,93.39622641509435,,-0.202690441218893,-0.062499599353235874,0.13119565354103965,-0.05258227355860445,-0.08564002620737587,-0.25411361542283256,-0.20590981432972452
2024-04-15,2024-04-22,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,SOL,STX,TAO,TRX,UNI,VET,WIF,XLM,XMR,XRP","SOL,XRP,DOGE,ADA,BCH,TRX,DOT,LINK,NEAR,ICP,LTC,UNI,APT,STX,ETC,TAO,FIL,ATOM,XLM,ARB,VET,IMX,WIF,HBAR,KAS,GRT,INJ,OP,FET,XMR",30,100.0,7.713935714285715e-05,0.08446759607142858,Green,,85.84905660377359,,0.023215364483558574,-0.009691586526229234,-0.033460563762857255,-0.012413783562944425,-0.003339793440560457,0.016963272179426857,0.02475122033662521
2024-04-22,2024-04-29,"ADA,APT,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,SOL,STX,TAO,THETA,TRX,UNI,VET,WIF,XLM,XRP","SOL,XRP,DOGE,ADA,BCH,TRX,DOT,LINK,ICP,NEAR,LTC,UNI,APT,STX,ETC,FIL,ATOM,XLM,IMX,HBAR,ARB,TAO,VET,WIF,KAS,GRT,OP,INJ,FET,THETA",30,100.0,2.169090476190476e-05,0.023751540714285712,Yellow,,49.056603773584904,,-0.03758213981188149,-0.009834889155540903,0.027369271682898356,-0.029351589106383247,0.03570407739642456,-0.031090109652650962,-0.05052305797442374
2024-04-29,2024-05-06,"ADA,APT,AR,ARB,ATOM,BCH,DOGE,DOT,ETC,FIL,GRT,HBAR,ICP,IMX,INJ,KAS,LINK,LTC,NEAR,OP,SOL,STX,TAO,TRX,UNI,VET,WIF,XLM,XMR,XRP","SOL,XRP,DOGE,ADA,TRX,BCH,DOT,LINK,NEAR,ICP,LTC,UNI,ETC,APT,HBAR,STX,XLM,FIL,ATOM,IMX,ARB,VET,TAO,OP,KAS,WIF,GRT,AR,INJ,XMR",30,100.0,1.648647619047619e-05,0.01805269142857143,Yellow,,45.28301886792453,,0.03484970443753626,-0.00043523141540704503,-0.03592249155794406,0.015541302498160325,-0.03771381054706424,0.031060113233286713,0.03301991155193995
2024-05-06,2024-05-13,"ADA,APT,AR,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,GRT,HBAR,ICP,IMX,KAS,LINK,LTC,NEAR,OP,SOL,STX,SUI,TAO,TRX,UNI,VET,WIF,XLM,XRP","SOL,XRP,DOGE,ADA,TRX,DOT,BCH,LINK,NEAR,LTC,ICP,FET,UNI,ETC,APT,HBAR,ATOM,FIL,STX,IMX,WIF,XLM,TAO,OP,ARB,GRT,VET,AR,SUI,KAS",30,100.0,1.1730333333333335e-05,0.012844715000000001,Orange,,38.67924528301887,,-0.059944174163293236,-0.047004452404010036,0.012856718816194249,-0.03910255131492013,-0.06544222161188651,-0.05598662683351343,-0.07173070231278697
2024-05-13,2024-05-20,"ADA,APT,AR,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,GRT,HBAR,ICP,IMX,KAS,LINK,LTC,NEAR,OP,SOL,STX,TAO,TRX,UNI,VET,WIF,XLM,XMR,XRP","SOL,XRP,DOGE,ADA,TRX,DOT,BCH,LINK,NEAR,LTC,FET,ICP,UNI,ETC,HBAR,APT,ATOM,IMX,FIL,XLM,WIF,STX,KAS,AR,ARB,OP,GRT,VET,TAO,XMR",30,100.0,5.108371428571429e-05,0.055936667142857145,YellowGreen,,66.0377358490566,,0.03397652385749862,0.0683389004144394,0.033785175575955145,0.07715633058082738,0.04776489669286743,0.022433054639096763,0.03937517226566503
2024-05-20,2024-05-27,"ADA,APT,AR,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,GRT,HBAR,ICP,IMX,KAS,LINK,LTC,NEAR,OP,SOL,STX,TAO,TRX,UNI,VET,WIF,XLM,XMR,XRP","SOL,XRP,DOGE,ADA,TRX,LINK,BCH,DOT,NEAR,LTC,ICP,UNI,FET,ETC,HBAR,APT,IMX,ATOM,AR,FIL,XLM,KAS,GRT,STX,OP,ARB,WIF,VET,TAO,XMR",30,100.0,6.069580952380953e-05,0.06646191142857144,YellowGreen,,71.69811320754717,,0.05672438567096223,0.09748172826704467,0.03994866216878844,0.034053224757772727,0.2454815697886792,0.050142122757381606,0.04970350359491609
2024-05-27,2024-06-03,"ADA,APT,AR,ARB,ATOM,BCH,DOGE,DOT,ETC,FET,FIL,GRT,HBAR,ICP,IMX,KAS,LINK,LTC,NEAR,OP,SOL,STX,TAO,TRX,UNI,VET,WIF,XLM,XMR,XRP","SOL,XRP,DOGE,ADA,DOT,LINK,TRX,BCH,NEAR,UNI,LTC,FET,ICP,ETC,APT,HBAR,IMX,KAS,ATOM,FIL,ARB,XLM,GRT,TAO,WIF,STX,OP,XMR,VET,AR",30,100.0,8.890304761904763e-05,0.09734883714285716,Green,,89.62264150943396,,-0.030844613232730002,-0.01135059923584195,0.019306439506442997,-0.011222118288834126,-0.011650388112193544,-0.037958741478270684,-0.028759474706161824
