decision_date,next_date,basket_hash,basket_members,n_valid,coverage,F_tk,F_tk_apr,label_v0_0,label_v0_1,p_v0_0,p_v0_1,r_alts,r_maj_weighted,y,r_btc,r_eth,funding_pct_rank,funding_regime,btcd_index_decision,sma_30,BTCDOM_Trend,is_mrf_active,y_filtered,y_gated
2023-04-24,2023-05-01,"LINK,NEAR","NEAR,LINK",2,100.0,6.948300000000001e-05,2.5361295000000004,YellowGreen,,65.71428571428571,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-05-01,2023-05-08,"LINK,NEAR","NEAR,LINK",2,100.0,7.099428571428573e-05,2.591291428571429,YellowGreen,,67.14285714285714,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-05-08,2023-05-15,"LINK,NEAR","NEAR,LINK",2,100.0,9.473357142857144e-05,3.4577753571428573,Green,,81.42857142857143,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-05-15,2023-05-22,"LINK,NEAR","NEAR,LINK",2,100.0,3.087499999999999e-05,1.1269374999999997,Orange,,39.285714285714285,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-05-22,2023-05-29,"LINK,NEAR","NEAR,LINK",2,100.0,7.116928571428572e-05,2.597678928571429,YellowGreen,,67.85714285714286,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-05-29,2023-06-05,"LINK,NEAR","NEAR,LINK",2,100.0,8.086785714285715e-05,2.951676785714286,YellowGreen,,73.57142857142858,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-06-05,2023-06-12,"LINK,NEAR","NEAR,LINK",2,100.0,9.340714285714289e-05,3.409360714285715,Green,,80.71428571428572,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-06-12,2023-06-19,"LINK,NEAR","NEAR,LINK",2,100.0,-2.577071428571428e-05,-0.9406310714285712,Red,,9.285714285714286,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-06-19,2023-06-26,"LINK,NEAR","NEAR,LINK",2,100.0,4.621428571428572e-06,0.1686821428571428,Orange,,22.142857142857142,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-06-26,2023-07-03,"LINK,NEAR","NEAR,LINK",2,100.0,4.417285714285714e-05,1.6123092857142856,Yellow,,51.42857142857142,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-07-03,2023-07-10,"LINK,NEAR","NEAR,LINK",2,100.0,3.250357142857144e-05,1.1863803571428573,Yellow,,41.42857142857143,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-07-10,2023-07-17,"LINK,NEAR","NEAR,LINK",2,100.0,2.7253571428571438e-05,0.9947553571428576,Orange,,36.42857142857142,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-07-17,2023-07-24,"LINK,NEAR","NEAR,LINK",2,100.0,6.595714285714287e-05,2.4074357142857146,YellowGreen,,61.42857142857143,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-07-24,2023-07-31,"LINK,NEAR","NEAR,LINK",2,100.0,9.916714285714288e-05,3.6196007142857134,Green,,82.14285714285714,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-07-31,2023-08-07,"LINK,NEAR","NEAR,LINK",2,100.0,5.5497142857142864e-05,2.0256457142857145,Yellow,,57.85714285714286,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-08-07,2023-08-14,"LINK,NEAR","NEAR,LINK",2,100.0,6.8635e-05,2.5051775,YellowGreen,,65.0,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-08-14,2023-08-21,"LINK,NEAR","NEAR,LINK",2,100.0,8.729071428571429e-05,3.186111071428571,YellowGreen,,77.85714285714286,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-08-21,2023-08-28,"LINK,NEAR","NEAR,LINK",2,100.0,-6.105357142857143e-05,-2.228455357142857,Red,,2.857142857142857,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-08-28,2023-09-04,"LINK,NEAR","NEAR,LINK",2,100.0,-6.265857142857142e-05,-2.287037857142857,Red,,2.142857142857143,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-09-04,2023-09-11,"LINK,NEAR","NEAR,LINK",2,100.0,-1.5370714285714286e-05,-0.5610310714285714,Red,,15.0,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-09-11,2023-09-18,"LINK,NEAR","NEAR,LINK",2,100.0,2.4226428571428574e-05,0.8842646428571431,Orange,,35.0,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-09-18,2023-09-25,"LINK,NEAR","NEAR,LINK",2,100.0,1.5790714285714285e-05,0.5763610714285714,Orange,,28.57142857142857,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-09-25,2023-10-02,"LINK,NEAR","NEAR,LINK",2,100.0,2.358214285714286e-05,0.8607482142857145,Orange,,33.57142857142857,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-10-02,2023-10-09,"LINK,NEAR","NEAR,LINK",2,100.0,4.179214285714286e-05,1.5254132142857142,Yellow,,49.28571428571429,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-10-09,2023-10-16,"LINK,NEAR","NEAR,LINK",2,100.0,-2.9074285714285716e-05,-1.0612114285714285,Red,,7.857142857142857,,,,0.0,,,,,,,Falling,False,0.0,0.0
2023-10-16,2023-10-23,"LINK,NEAR","NEAR,LINK",2,100.0,4.8497857142857146e-05,1.7701717857142858,Yellow,,55.71428571428572,,,,0.0,,,0.5769230769230769,Q3: Neutral,,,Falling,False,0.0,0.0
2023-10-23,2023-10-30,"LINK,NEAR","NEAR,LINK",2,100.0,9.086285714285716e-05,3.3164942857142865,YellowGreen,,79.28571428571428,,,,0.0,,,0.8888888888888888,Q4: High,,,Falling,False,0.0,0.0
2023-10-30,2023-11-06,"LINK,NEAR","NEAR,LINK",2,100.0,0.0001,3.65,Green,,83.57142857142857,,,,0.0,,,1.0,Q4: High,,,Falling,False,0.0,0.0
2023-11-06,2023-11-13,"LINK,NEAR","NEAR,LINK",2,100.0,0.0001549471428571,5.655570714285715,Green,,90.0,,,,0.0,,,1.0,Q4: High,,,Falling,False,0.0,0.0
2023-11-13,2023-11-20,"LINK,NEAR","NEAR,LINK",2,100.0,0.0001568335714285,5.724425357142858,Green,,90.71428571428572,,,,0.0,,,1.0,Q4: High,,,Falling,False,0.0,0.0
2023-11-20,2023-11-27,"LINK,NEAR","NEAR,LINK",2,100.0,0.0001191792857142,4.35004392857143,Green,,87.14285714285714,,,,0.0,,,0.9354838709677419,Q4: High,,,Falling,False,0.0,0.0
2023-11-27,2023-12-04,"LINK,NEAR","NEAR,LINK",2,100.0,0.0001,3.65,Green,,83.57142857142857,,,,0.0,,,0.890625,Q4: High,,,Falling,False,0.0,0.0
2023-12-04,2023-12-11,"LINK,NEAR","NEAR,LINK",2,100.0,0.00010469,3.8211850000000007,Green,,84.28571428571429,,,,0.0,,,0.9090909090909091,Q4: High,,,Falling,False,0.0,0.0
2023-12-11,2023-12-18,"LINK,NEAR","NEAR,LINK",2,100.0,0.0002438221428571,8.899508214285715,Green,,94.28571428571428,,,,0.0,,,1.0,Q4: High,,,Falling,False,0.0,0.0
2023-12-18,2023-12-25,"LINK,NEAR","NEAR,LINK",2,100.0,0.0001324171428571,4.833225714285716,Green,,87.85714285714286,,,,0.0,,,0.9142857142857143,Q4: High,,,Falling,False,0.0,0.0
2023-12-25,2024-01-01,"LINK,NEAR","NEAR,LINK",2,100.0,0.0002565285714285,9.36329285714286,Green,,95.0,,,,0.0,,,1.0,Q4: High,,,Falling,False,0.0,0.0
