offset,n,n3,n0,diff,t,p,spearman_rho,spearman_p
0,184,62,21,0.04666780449322305,1.224776144830078,0.22679999708142445,0.10012618473788154,0.17627208282455178
1,184,59,26,0.08703123171899757,2.1715981092638366,0.0339171635723277,0.0972625281877332,0.18902850707697857
2,183,62,19,0.08109915759620014,2.1633313697381054,0.03575392969719089,0.1270270797272107,0.08660878570059813
3,183,60,19,0.06466222817307704,1.5802794572835,0.12255548493116529,0.15836994015021086,0.032254630357884236
4,183,59,19,0.04499837998244184,1.1073688397882564,0.27518680783138727,0.11405138664004555,0.12421808962270162
5,183,62,20,0.07839593507245966,2.143211545004509,0.036090481323286024,0.08653404289347864,0.2441097231404057
6,183,67,21,0.0790970987450875,2.16184162845297,0.03391124969362838,0.10171172025726094,0.17066869867135068
7,183,66,19,0.0839741577531068,2.3987051771798518,0.01927068584515178,0.1389418486806582,0.06068274300333919
8,183,63,17,0.08850499121577945,2.190217668927997,0.034038909594932706,0.11975011488266832,0.10638325552567587
9,183,66,19,0.07403227183694637,1.7907819698347687,0.07905331002383426,0.07623686799621394,0.30501409576883626
10,183,70,16,0.07738001439942795,1.96505058315897,0.05554604241735937,0.10254335789404237,0.1671806876592338
11,183,71,19,0.10423710784033972,2.4388734729389916,0.018692513438004245,0.14092118933926345,0.05706790825004408
12,183,69,19,0.09605805473803822,2.2535589194905756,0.028438988082334516,0.11871627514625419,0.1094599492038096
13,183,69,23,0.08415307473598768,2.219505083781907,0.02945224419734735,0.10538064882386942,0.1556801693401807
14,183,68,22,0.08463040459036963,2.1500552268072517,0.0349500081896635,0.10051861540440417,0.17576676313974224
15,183,63,23,0.08963132918520418,2.144038705679285,0.035345012453846344,0.12013533845100159,0.10525437686975654
16,183,62,23,0.10055397879032862,2.3668235740856125,0.02113957228707036,0.12625939986131068,0.08854477690401052
17,183,59,25,0.10424735495870652,2.5096074825473025,0.014783515816369695,0.17429252394140088,0.018288725208135816
18,183,60,22,0.10737626432074202,2.3908609481411984,0.02109300709100175,0.13542466335914735,0.06756942316996095
19,183,59,23,0.08577445764094875,1.9745432212636245,0.053824719526130056,0.08772433754172582,0.23765862981120253
