year,n_obs,score0_mean,score1_mean,score2_mean,score3_mean,spread_3_0,spearman_rho,n_distinct_scores
2016,166,,0.11285037425999529,0.03343803537587995,0.06086570706598843,,0.006196020436580413,3
2017,365,,,0.23175513571140202,0.17965247999724038,,-0.14613670505022683,2
2018,365,-0.09198448245334871,0.011707358803025772,-0.08900857846988984,-0.16820433033454976,-0.07621984788120105,-0.22352267878156312,4
2019,365,0.05412245237642193,0.03021923169342466,0.06970286359668079,0.07026453556766696,0.01614208319124503,0.013601449863385757,4
2020,366,,0.1380621407533984,0.05217265381048664,0.12460347069744086,,-0.023107316406629247,3
2021,365,,0.02179507129195609,0.011887415839730844,0.03961457372949026,,0.08689368268411858,3
2022,365,-0.012480509929377978,-0.05654879348671954,-0.12281499894550008,,,-0.24162827825207533,3
2023,365,0.3616457304904347,0.07844214416848667,0.033817892518272774,0.04513134680059058,-0.3165143836898441,-0.0950860442454238,4
2024,366,,0.04586791647620837,0.05364433734646721,0.054808646544386934,,-0.04389976983583028,3
2025,365,0.01569832141388286,-0.027675953477204106,0.03848794033721502,-0.014001643575907918,-0.02969996498979078,-0.03265453475668257,4
2026,209,0.00626259599082662,-0.04168555317912394,-0.13853531021168178,,,-0.36067564035872723,3
