strategy,start,end,years,cumulative_return,CAGR,ann_vol,downside_vol,Sharpe,Sortino,max_drawdown,Calmar,worst_year,worst_year_label,best_year,best_year_label,worst_month,worst_5d,worst_20d,pct_time_invested,avg_exposure,turnover_ann,n_position_changes,upside_capture,downside_capture,cost_bps,map
A_linear @ 0bps,2016-07-21,2026-08-17,10.08,200.15117729430023,0.6922884338115971,0.4922540421353254,0.3931713272921457,1.4063641424020654,1.7607805700876875,-0.6508200003329652,1.063717208225648,-0.47638727257081304,2018,10.684475678308907,2017,-0.1766633657232597,-0.31242219654754466,-0.3705056757210061,0.8855978260869565,0.6230072463768116,14.745471014492756,438,0.6639851457165985,0.6143239341048164,0.0,A_linear
A_linear @ 5bps,2016-07-21,2026-08-17,10.08,185.72545381677642,0.6798435174368107,0.4922914453832515,0.39001494967438477,1.3809777192198596,1.7431216880388756,-0.6550544672670422,1.0378427312665939,-0.4818706297898264,2018,10.653563363497375,2017,-0.17735796791260128,-0.31242219654754466,-0.370611420199385,0.8855978260869565,0.6230072463768116,14.745471014492756,438,0.6632146555442685,0.6152951314704453,5.0,A_linear
A_linear @ 10bps,2016-07-21,2026-08-17,10.08,172.3320525939942,0.6674879914593443,0.49233112932499623,0.3896210635297798,1.3557704392458272,1.7131722433387546,-0.6592383352746718,1.0125139206008633,-0.4872975521205052,2018,10.622727725617855,2017,-0.17805210154834683,-0.31242219654754466,-0.3707171646777637,0.8855978260869565,0.6230072463768116,14.745471014492756,438,0.6624441653719385,0.6162663288360742,10.0,A_linear
B_threshold @ 0bps,2016-07-21,2026-08-17,10.08,296.476484169143,0.7592552769750942,0.5604445739671703,0.5187800769166849,1.354737492774031,1.4635397748650034,-0.7745451392010296,0.9802595595116542,-0.648275189542977,2018,13.242405251856974,2017,-0.3387033772156711,-0.45434242144748505,-0.49904390211702976,0.6366847826086957,0.6366847826086957,15.869565217391305,160,0.6877064793645913,0.6228228124156403,0.0,B_threshold
B_threshold @ 5bps,2016-07-21,2026-08-17,10.08,273.597304890797,0.7453460981110223,0.5604704477956183,0.5117973924700174,1.3298579809917488,1.4563303937791883,-0.7785892058302215,0.9573034053512832,-0.6543940142178903,2018,13.242405251856974,2017,-0.3390340255270633,-0.45434242144748505,-0.49904390211702976,0.6366847826086957,0.6366847826086957,15.869565217391305,160,0.6868356462860973,0.6238192356868698,5.0,B_threshold
B_threshold @ 10bps,2016-07-21,2026-08-17,10.08,252.467626799253,0.7315400074486049,0.5605030928284548,0.5112000718081645,1.3051489221175394,1.4310248526786715,-0.7825627143139897,0.9348004882776554,-0.6604093841256702,2018,13.242405251856974,2017,-0.3393646738384555,-0.45434242144748505,-0.49904390211702976,0.6366847826086957,0.6366847826086957,15.869565217391305,160,0.6859648132076033,0.6248156589580995,10.0,B_threshold
C_strong @ 0bps,2016-07-21,2026-08-17,10.08,72.03819825118512,0.5305087143586178,0.4070817121327481,0.48746892163281486,1.3031995752872843,1.0882923829926179,-0.5587707715409242,0.9494210173084607,-0.20671639518759422,2018,6.336747118666635,2017,-0.3148311319283128,-0.2667022378359243,-0.34308678877685683,0.3467391304347826,0.3467391304347826,17.85326086956522,180,0.39936118544397575,0.3392926209835473,0.0,C_strong
C_strong @ 5bps,2016-07-21,2026-08-17,10.08,65.74784326188393,0.5168981119604121,0.40711859351316654,0.4775998724087088,1.2696499747160166,1.0822827681119513,-0.5723191757469444,0.9031640627553652,-0.2142363895449435,2018,6.278603551878026,2017,-0.3151737163623486,-0.2667022378359243,-0.34341524538246837,0.3467391304347826,0.3467391304347826,17.85326086956522,180,0.3985011033911422,0.34055391626358483,5.0,C_strong
C_strong @ 10bps,2016-07-21,2026-08-17,10.08,59.9964889244234,0.5034018216490022,0.4071659002480601,0.4763308251009892,1.2363555527177292,1.0568323424004178,-0.585458072622974,0.8598426517438853,-0.22168881637521753,2018,6.220892179675542,2017,-0.3155163007963845,-0.2667022378359243,-0.34374370198808,0.3467391304347826,0.3467391304347826,17.85326086956522,180,0.3976410213383088,0.34181521154362227,10.0,C_strong
D_long_veto @ 0bps,2016-07-21,2026-08-17,10.08,177.99986301531007,0.6728180469722482,0.45017916707443084,0.4182280814466193,1.4945561593724463,1.6087347474254274,-0.6289452912294451,1.0697560763306486,-0.44886057439391946,2018,9.494526825465163,2017,-0.2032428148852522,-0.2667022378359243,-0.3038503471677485,0.6366847826086957,0.49171195652173916,16.86141304347826,333,0.5435338324042834,0.48105771669959374,0.0,D_long_veto
D_long_veto @ 5bps,2016-07-21,2026-08-17,10.08,163.39718650045944,0.6587578930825884,0.45022576569127476,0.41169700535299786,1.4631723532551146,1.600103679446867,-0.6340328786571223,1.0389964231473823,-0.45627488759420665,2018,9.452902861272666,2017,-0.20342805265025754,-0.2667022378359243,-0.3040121947270916,0.6366847826086957,0.49171195652173916,16.86141304347826,333,0.5426683748386197,0.48218657597522724,5.0,D_long_veto
D_long_veto @ 10bps,2016-07-21,2026-08-17,10.08,149.98243526478282,0.6448122957566416,0.450276801832508,0.4112944489313873,1.4320353461080502,1.5677631862816852,-0.6390520964593132,1.0090136615296983,-0.46359148275279327,2018,9.411433700894037,2017,-0.203613290415263,-0.2667022378359243,-0.30417404228643474,0.6366847826086957,0.49171195652173916,16.86141304347826,333,0.541802917272956,0.48331543525086085,10.0,D_long_veto
