strategy,start,end,years,cumulative_return,CAGR,ann_vol,downside_vol,Sharpe,Sortino,max_drawdown,Calmar,worst_year,worst_year_label,best_year,best_year_label,worst_month,worst_5d,worst_20d,pct_time_invested,avg_exposure,turnover_ann,n_position_changes,upside_capture,downside_capture,sample
BTC buy & hold,2016-07-21,2022-01-01,5.45,70.57294728003345,1.1878713056039847,0.7895408111327582,0.5833132480482558,1.5045090625521178,2.0364209274837446,-0.8380153496105094,1.4174815606373803,-0.7336921748551737,2018,13.242405251856974,2017,-0.3693073484576901,-0.45434242144748505,-0.49904390211702976,1.0,1.0,0.1833249623304872,1,1.0,1.0,train (pre-2022)
A_linear,2016-07-21,2022-01-01,5.45,74.326712858305,1.208470526250283,0.6109858950715857,0.4723111549684135,1.9779024949646236,2.5586321930742906,-0.6550544672670422,1.8448397601075102,-0.4818706297898264,2018,10.653563363497375,2017,-0.17735796791260128,-0.31242219654754466,-0.370611420199385,0.9568056253139126,0.7091913611250628,13.504938891679226,216,0.7393967468204687,0.7022858158940899,train (pre-2022)
B_threshold,2016-07-21,2022-01-01,5.45,76.40952469318361,1.2195409516203908,0.7010443215886907,0.5973224901806258,1.7396060620770664,2.0416792799005625,-0.7785892058302215,1.5663471089609773,-0.6543940142178903,2018,13.242405251856974,2017,-0.3390340255270633,-0.45434242144748505,-0.49904390211702976,0.7513812154696132,0.7513812154696132,16.132596685082873,88,0.7868512710595182,0.7465433428819326,train (pre-2022)
C_strong,2016-07-21,2022-01-01,5.45,26.30767913034303,0.8336095204749174,0.5086212205993658,0.5446948243311445,1.6389593802094637,1.5304157176425248,-0.5723191757469444,1.456546549199506,-0.2142363895449435,2018,6.278603551878026,2017,-0.3151737163623486,-0.2667022378359243,-0.34341524538246837,0.4193872425916625,0.4193872425916625,20.89904570567554,114,0.46532854355753483,0.4157421906733263,train (pre-2022)
D_long_veto,2016-07-21,2022-01-01,5.45,53.30659081796431,1.0798967512807147,0.5626503873027553,0.478000364466786,1.9193033109912985,2.2591965018381313,-0.6340328786571223,1.7032188513124575,-0.45627488759420665,2018,9.452902861272666,2017,-0.20342805265025754,-0.2667022378359243,-0.3040121947270916,0.7513812154696132,0.5853842290306379,18.515821195379207,198,0.6260899073085266,0.5811427667776294,train (pre-2022)
BTC buy & hold,2022-01-01,2026-08-17,4.63,0.36352995504989827,0.06926261884218032,0.508681555849219,0.3599614801595413,0.13616105802489686,0.19241675195768698,-0.6698301379138274,0.10340325841100158,-0.6422872444020116,2022,1.558207176496568,2023,-0.37120599797697296,-0.2823887591616785,-0.35651017231935134,1.0,1.0,0.21597633136094677,1,1.0,1.0,OOS (2022+)
A_linear,2022-01-01,2026-08-17,4.63,1.4859993293675382,0.21735952057587093,0.29537443562132387,0.21715831598236637,0.7358779039853345,1.000926534139825,-0.30116176659726346,0.7217367696827888,-0.29904261579778557,2022,1.0207285101210615,2024,-0.11238610496506973,-0.13253507552346022,-0.1457213529524326,0.8005917159763314,0.5209072978303747,16.270216962524657,223,0.5145318389776093,0.4715094017827591,OOS (2022+)
B_threshold,2022-01-01,2026-08-17,4.63,2.5473322692417537,0.3145157330128958,0.32313693608256333,0.2858956543594896,0.9733202797111848,1.1001067285108814,-0.2612106697846551,1.2040692413988523,-0.15725519013605815,2022,1.0844725238158772,2024,-0.15453945682108416,-0.16376044310429305,-0.17034075099028756,0.5011834319526627,0.5011834319526627,15.550295857988166,72,0.4920192402493348,0.42124062387050487,OOS (2022+)
C_strong,2022-01-01,2026-08-17,4.63,1.4442883975341894,0.2129188384649381,0.23630171255893334,0.28679507306520785,0.9010465313992865,0.7424075880708288,-0.21725053571657704,0.9800612816104166,0.0,2022,0.7280218933018447,2024,-0.0952719241353156,-0.13253507552346022,-0.14345759008520242,0.26094674556213016,0.26094674556213016,14.254437869822485,66,0.26845608031259516,0.216441901086455,OOS (2022+)
D_long_veto,2022-01-01,2026-08-17,4.63,2.0272050597232014,0.2702630109603408,0.2607147535050817,0.23827695221474426,1.036623387540947,1.134238995623754,-0.20710674543008611,1.3049454782320191,-0.0808455738400965,2022,0.9156332262763844,2024,-0.09189835590112128,-0.13253507552346022,-0.1336963169627312,0.5011834319526627,0.3810650887573965,14.902366863905327,135,0.380237660280965,0.31884126247847994,OOS (2022+)
