conditioning,horizon_days,trend_score,n_obs,mean,median,std,win_rate,p05,p25,p75,mean_worst_decile,unconditional_mean,mean_excess_vs_uncond,spread_3_0,hac_t_vs_score0,hac_p_vs_score0,spearman_rho_all_scores,spearman_p_all_scores,sample_start,sample_end
BTC own TrendScore -> BTC,5,0,416,-0.00317757738245544,0.0007128117104288068,0.06859399933712587,0.5072115384615384,-0.12013690700564189,-0.034619882720604594,0.03239188784293473,-0.14097547869119703,0.009296112747127246,-0.012473690129582686,0.022469875701200265,,,0.0946630686096701,8.86271444015937e-09,2016-07-19,2026-08-12
BTC own TrendScore -> BTC,5,1,916,0.00022070230127370282,0.0005513808325567915,0.07209936742842396,0.5043668122270742,-0.12161324924991435,-0.038841228448848714,0.036160509776874794,-0.13018127213146732,0.009296112747127246,-0.009075410445853542,0.022469875701200265,0.5085719827944202,0.6110522715091595,0.0946630686096701,8.86271444015937e-09,2016-07-19,2026-08-12
BTC own TrendScore -> BTC,5,2,1069,0.009994895041724464,0.0047407777126728945,0.08068345921386691,0.5463049579045838,-0.11292422792512231,-0.02691622807674865,0.04887768554674432,-0.1349092347749522,0.009296112747127246,0.0006987822945972184,0.022469875701200265,1.7619816225154952,0.07807240252885449,0.0946630686096701,8.86271444015937e-09,2016-07-19,2026-08-12
BTC own TrendScore -> BTC,5,3,1276,0.01929229831874466,0.010295058644654742,0.08373581396788524,0.5705329153605015,-0.1115669403930862,-0.025169718663006102,0.06240121325004383,-0.12054552400225801,0.009296112747127246,0.009996185571617413,0.022469875701200265,3.055540554959944,0.0022465521828588485,0.0946630686096701,8.86271444015937e-09,2016-07-19,2026-08-12
BTC own TrendScore -> BTC,20,0,415,-0.004387156107807387,0.005221019402260829,0.13478508813470794,0.5301204819277109,-0.2907135505950849,-0.04736377530225433,0.06930137766667988,-0.2947526160330462,0.04021862896805218,-0.044605785075859564,0.08318543268526252,,,0.11662305815233928,1.4505219152699163e-12,2016-07-19,2026-07-28
BTC own TrendScore -> BTC,20,1,902,0.011716873292595248,-0.0016444121853135263,0.14036765619275626,0.4933481152993348,-0.21195781518511292,-0.07411496146726951,0.0880459201417852,-0.21946545044923443,0.04021862896805218,-0.02850175567545693,0.08318543268526252,0.735313487085817,0.4621485961521873,0.11662305815233928,1.4505219152699163e-12,2016-07-19,2026-07-28
BTC own TrendScore -> BTC,20,2,1069,0.0355342080851213,0.027616434603580986,0.17186426185546785,0.5799812909260992,-0.22911317977361742,-0.07716570804935385,0.1241891901998724,-0.24771862294948324,0.04021862896805218,-0.004684420882930883,0.08318543268526252,1.5098320734051147,0.13108627875161105,0.11662305815233928,1.4505219152699163e-12,2016-07-19,2026-07-28
BTC own TrendScore -> BTC,20,3,1276,0.07879827657745422,0.030293906734920717,0.21562167774117286,0.5869905956112853,-0.17385827631997716,-0.05359767403066071,0.17032799569803253,-0.19819178856694097,0.04021862896805218,0.038579647609402044,0.08318543268526252,2.820850593361629,0.004789650441589974,0.11662305815233928,1.4505219152699163e-12,2016-07-19,2026-07-28
BTC own TrendScore -> BTC,60,0,393,-0.01956982038793375,-0.021414626615525068,0.2185636171539517,0.45038167938931295,-0.3472834551742377,-0.1889227646394369,0.10561544286343971,-0.363066431232432,0.13640235190739713,-0.1559721722953309,0.24893561118807014,,,0.19127538134329364,3.4595385238742246e-31,2016-07-19,2026-06-18
BTC own TrendScore -> BTC,60,1,884,0.05193639835267064,0.04063979084224534,0.24950402605323777,0.5475113122171946,-0.3491301961186824,-0.1308721809080418,0.22950803342411114,-0.3487164875426901,0.13640235190739713,-0.0844659535547265,0.24893561118807014,1.451847766243471,0.14654393897955903,0.19127538134329364,3.4595385238742246e-31,2016-07-19,2026-06-18
BTC own TrendScore -> BTC,60,2,1069,0.15262650403771127,0.03724927109545195,0.4110178880912357,0.5434985968194574,-0.34328958843495766,-0.12500792340615507,0.3427613901889457,-0.34766380167988664,0.13640235190739713,0.01622415213031414,0.24893561118807014,2.2621061021565816,0.02369084868457299,0.19127538134329364,3.4595385238742246e-31,2016-07-19,2026-06-18
BTC own TrendScore -> BTC,60,3,1276,0.2293657908001381,0.1473013252297063,0.4589933630245329,0.6559561128526645,-0.33021126469618556,-0.06442098019180323,0.40985036028433525,-0.3497551612564218,0.13640235190739713,0.09296343889274097,0.24893561118807014,2.8969615718945025,0.003767959064206696,0.19127538134329364,3.4595385238742246e-31,2016-07-19,2026-06-18
ETH own TrendScore -> ETH,5,0,575,0.00030460034930900623,0.004115503980569368,0.10152299538717337,0.5269565217391304,-0.18516123117115968,-0.049069009969718747,0.052821005887096595,-0.19672072053009487,0.009378490980130915,-0.00907389063082191,0.02888596574663672,,,0.07283621101952234,2.2872233153315035e-05,2017-05-18,2026-08-12
ETH own TrendScore -> ETH,5,1,849,0.00027017808333520884,-0.00017334777898159182,0.09327234759816402,0.49823321554770317,-0.1620447722733198,-0.045343040562349946,0.047141944065366426,-0.17034942125718816,0.009378490980130915,-0.009108312896795706,0.02888596574663672,-0.0036728520665281366,0.9970694946306816,0.07283621101952234,2.2872233153315035e-05,2017-05-18,2026-08-12
ETH own TrendScore -> ETH,5,2,1032,0.00430383962914658,0.0014689169938650881,0.09203054547761466,0.5087209302325582,-0.1393207627425673,-0.04564341377294931,0.05336776239852692,-0.15714268673113307,0.009378490980130915,-0.005074651350984336,0.02888596574663672,0.42614767123801833,0.6700002452584672,0.07283621101952234,2.2872233153315035e-05,2017-05-18,2026-08-12
ETH own TrendScore -> ETH,5,3,918,0.029190566095945725,0.012585594940878075,0.12621546543998707,0.5566448801742919,-0.14252424600623112,-0.039238731700730584,0.08621848427087409,-0.16876216067518857,0.009378490980130915,0.019812075115814808,0.02888596574663672,2.594159586684936,0.009482246198871896,0.07283621101952234,2.2872233153315035e-05,2017-05-18,2026-08-12
ETH own TrendScore -> ETH,20,0,575,0.016342444285895562,0.0036673674375147236,0.22950460698968844,0.5113043478260869,-0.35302988137568186,-0.12526771117281066,0.14058108058348295,-0.36408889606855876,0.039211903697675084,-0.022869459411779522,0.07688599638910748,,,0.09095897751852969,1.2870130013079794e-07,2017-05-18,2026-07-28
ETH own TrendScore -> ETH,20,1,834,0.015733476043663944,-0.01594676193974659,0.20879394346605507,0.45083932853717024,-0.28095501474418105,-0.1203515857878606,0.1219259506297562,-0.2940347883505923,0.039211903697675084,-0.02347842765401114,0.07688599638910748,-0.01687674821567167,0.9865349423618698,0.09095897751852969,1.2870130013079794e-07,2017-05-18,2026-07-28
ETH own TrendScore -> ETH,20,2,1032,0.02287834447290076,-0.003694087960133152,0.2012383048693959,0.49224806201550386,-0.28529497362374473,-0.09058650407901886,0.11816152874377406,-0.2963628539248498,0.039211903697675084,-0.016333559224774325,0.07688599638910748,0.1750019685762133,0.8610780867564365,0.09095897751852969,1.2870130013079794e-07,2017-05-18,2026-07-28
ETH own TrendScore -> ETH,20,3,918,0.09322844067500151,0.034604871365575995,0.28951001876350196,0.5686274509803921,-0.28300899604586366,-0.08836191855063014,0.22773283531455835,-0.31457212978488414,0.039211903697675084,0.054016536977326425,0.07688599638910748,1.6533945136720247,0.09825059871208619,0.09095897751852969,1.2870130013079794e-07,2017-05-18,2026-07-28
ETH own TrendScore -> ETH,60,0,560,0.06051840110318001,0.05023601010529244,0.3457186867398539,0.55,-0.4647267628918605,-0.22926788794551156,0.3213914433632214,-0.4635277642311605,0.11814327701227152,-0.05762487590909151,0.16264741367836114,,,0.06671504142600221,0.00011989426708898099,2017-05-18,2026-06-18
ETH own TrendScore -> ETH,60,1,809,0.0694985832793192,-0.00042285946970288535,0.3794131899718125,0.49938195302843014,-0.42244599232699676,-0.1920922075351954,0.28507056496587024,-0.4454970031316093,0.11814327701227152,-0.04864469373295233,0.16264741367836114,0.12929358420346138,0.89712534788832,0.06671504142600221,0.00011989426708898099,2017-05-18,2026-06-18
ETH own TrendScore -> ETH,60,2,1032,0.09412467048790946,0.03810970515312695,0.44897691204875767,0.5387596899224806,-0.4405903884708207,-0.25671042442164566,0.38066198214977254,-0.4647490011492535,0.11814327701227152,-0.024018606524362066,0.16264741367836114,0.3850795639039314,0.7001784683762875,0.06671504142600221,0.00011989426708898099,2017-05-18,2026-06-18
ETH own TrendScore -> ETH,60,3,918,0.2231658147815431,0.07816793130878619,0.5867670797923868,0.5849673202614379,-0.42347522473979277,-0.14576345241467498,0.3653564270011639,-0.43091386479290816,0.11814327701227152,0.10502253776927158,0.16264741367836114,1.2650449836783872,0.205855202924774,0.06671504142600221,0.00011989426708898099,2017-05-18,2026-06-18
SOL own TrendScore -> SOL,5,0,424,0.0017934799971213871,0.0003171514362907413,0.10554151057004642,0.5023584905660378,-0.15771513776041152,-0.04704927359104713,0.05568628627235117,-0.19310283349688365,0.00826888294575521,-0.006475402948633823,0.029101903398731397,,,0.053053991121507584,0.023344192202117087,2021-08-11,2026-08-11
SOL own TrendScore -> SOL,5,1,508,-0.008250625066565445,-0.010081694370685068,0.11542683234837045,0.4389763779527559,-0.1853867580176107,-0.07349960947331899,0.05081033405894586,-0.21082010045117314,0.00826888294575521,-0.016519508012320654,0.029101903398731397,-0.8310897724059316,0.4059229170574361,0.053053991121507584,0.023344192202117087,2021-08-11,2026-08-11
SOL own TrendScore -> SOL,5,2,410,0.008667976121809529,-0.003592282345947162,0.10733610074634821,0.48292682926829267,-0.1431861171177166,-0.06422996095159372,0.0683832425883249,-0.1482269029306615,0.00826888294575521,0.00039909317605431836,0.029101903398731397,0.5414392885403797,0.5882048332044612,0.053053991121507584,0.023344192202117087,2021-08-11,2026-08-11
SOL own TrendScore -> SOL,5,3,485,0.03089538339585287,0.011261149035826312,0.13514515051751005,0.5257731958762887,-0.14684513791951967,-0.05635891731553577,0.09225473321858857,-0.15526546285617934,0.00826888294575521,0.02262650045009766,0.029101903398731397,1.9420287678097694,0.05213361777653179,0.053053991121507584,0.023344192202117087,2021-08-11,2026-08-11
SOL own TrendScore -> SOL,20,0,411,0.03812678246186054,0.00834597875569032,0.2772229554371216,0.5279805352798054,-0.29453231101116417,-0.08566370994173261,0.10815002576431154,-0.36423371149827866,0.03383009024581207,0.004296692216048469,0.0626877358571594,,,0.038702980261589214,0.09956361535505828,2021-08-11,2026-07-27
SOL own TrendScore -> SOL,20,1,506,-0.014930236020275494,-0.04104325787254398,0.23058146297452717,0.3794466403162055,-0.35184154642578075,-0.1335213130483213,0.08910404129723998,-0.36944923895756626,0.03383009024581207,-0.04876032626608757,0.0626877358571594,-1.08248803049987,0.2790357311486208,0.038702980261589214,0.09956361535505828,2021-08-11,2026-07-27
SOL own TrendScore -> SOL,20,2,410,0.010462619451515127,-0.021601748616824956,0.2515397847809705,0.47560975609756095,-0.30365768078939426,-0.13946549209705203,0.14711922914226205,-0.3298992503367711,0.03383009024581207,-0.023367470794296945,0.0626877358571594,-0.5062530916920243,0.6126789884513779,0.038702980261589214,0.09956361535505828,2021-08-11,2026-07-27
SOL own TrendScore -> SOL,20,3,485,0.10081451831902058,0.0050890585241729624,0.348826173491102,0.51340206185567,-0.2362959110332048,-0.1320742878654786,0.2173195257391567,-0.25549044091782747,0.03383009024581207,0.06698442807320851,0.0626877358571594,0.8930483577887435,0.37183127663167903,0.038702980261589214,0.09956361535505828,2021-08-11,2026-07-27
SOL own TrendScore -> SOL,60,0,397,0.08569486230629624,0.02279132459257438,0.4233997370242763,0.5491183879093199,-0.5838251420082522,-0.18731695654772584,0.3076802507836993,-0.5818627358341066,0.09016336905758934,-0.004468506751293108,0.12139867874061444,,,0.0397893101583359,0.0940486048631302,2021-08-11,2026-06-17
SOL own TrendScore -> SOL,60,1,483,0.067749256508182,-0.03900087642418937,0.5730512297718824,0.43685300207039335,-0.5632146987996248,-0.1869244412194052,0.1140122466464516,-0.5309402415288841,0.09016336905758934,-0.02241411254940734,0.12139867874061444,-0.12553375766084293,0.900101001660443,0.0397893101583359,0.0940486048631302,2021-08-11,2026-06-17
SOL own TrendScore -> SOL,60,2,407,-0.018217760851974647,-0.11135658303087692,0.53594634551798,0.3488943488943489,-0.6364720119428794,-0.3320470514938649,0.08691871708133547,-0.6255537088157381,0.09016336905758934,-0.10838112990956399,0.12139867874061444,-0.7431203293301413,0.4574088326668321,0.0397893101583359,0.0940486048631302,2021-08-11,2026-06-17
SOL own TrendScore -> SOL,60,3,485,0.20709354104690825,0.05665212272318043,0.5611414530402531,0.5567010309278351,-0.4511424806887595,-0.1250837240455459,0.483631215714033,-0.47063413861382014,0.09016336905758934,0.1169301719893189,0.12139867874061444,0.7624191747545656,0.4458098656449696,0.0397893101583359,0.0940486048631302,2021-08-11,2026-06-17
