conditioning,horizon_days,trend_score,n_obs,mean,median,std,win_rate,p05,p25,p75,mean_worst_decile,unconditional_mean,mean_excess_vs_uncond,spread_3_0,hac_t_vs_score0,hac_p_vs_score0,spearman_rho_all_scores,spearman_p_all_scores,sample_start,sample_end
BTC TrendScore -> ETH,5,0,416,0.004121285650731356,0.0016710883625669082,0.10308471154258146,0.5072115384615384,-0.17636222408989838,-0.049678873841129234,0.058102639909177745,-0.1860897890270078,0.012686254546217655,-0.008564968895486299,0.03073693274915399,,,0.0976821088066234,2.9302458096586594e-09,2016-07-19,2026-08-12
BTC TrendScore -> ETH,5,1,916,-0.008259951152016503,-0.006510004465278663,0.09371255370160154,0.46397379912663755,-0.17302970397235715,-0.05855394225376642,0.042369622542918706,-0.18487992172557047,0.012686254546217655,-0.02094620569823416,0.03073693274915399,-1.2039317285091726,0.2286159671958642,0.0976821088066234,2.9302458096586594e-09,2016-07-19,2026-08-12
BTC TrendScore -> ETH,5,2,1069,0.007502274754660157,0.005852842809364489,0.09536946208389456,0.5406922357343311,-0.14581389586954369,-0.03865655672884594,0.05476895434760598,-0.16769060471649042,0.012686254546217655,-0.005183979791557498,0.03073693274915399,0.31429833433387006,0.7532944631848902,0.0976821088066234,2.9302458096586594e-09,2016-07-19,2026-08-12
BTC TrendScore -> ETH,5,3,1276,0.034858218399885184,0.01223616944645911,0.13482288202262815,0.5626959247648903,-0.12545272692254278,-0.03937136933305457,0.08620398630283133,-0.14362112475738664,0.012686254546217655,0.02217196385366753,0.03073693274915399,2.57994921819799,0.009881484489146088,0.0976821088066234,2.9302458096586594e-09,2016-07-19,2026-08-12
BTC TrendScore -> ETH,20,0,415,0.026739269876935284,0.01244918699186992,0.22825623915388035,0.5325301204819277,-0.35733153594045,-0.09506213049221485,0.13467421946533709,-0.3693554738025341,0.05908085829029185,-0.03234158841335657,0.12109143837605055,,,0.16821920535990537,1.1915835065077903e-24,2016-07-19,2026-07-28
BTC TrendScore -> ETH,20,1,902,-0.009489644767946035,-0.0284247244882328,0.20195787034682178,0.4157427937915743,-0.29974003406687905,-0.13167326387172834,0.06827670544706388,-0.3104029264600878,0.05908085829029185,-0.06857050305823789,0.12109143837605055,-0.9068052346086932,0.36450980126682286,0.16821920535990537,1.1915835065077903e-24,2016-07-19,2026-07-28
BTC TrendScore -> ETH,20,2,1069,0.02355938438727703,-0.0070367474589523304,0.21551343156158634,0.47427502338634236,-0.30115751271682695,-0.10569886386608984,0.12950265572187347,-0.3109262628112514,0.05908085829029185,-0.03552147390301483,0.12109143837605055,-0.07620145764373756,0.9392588230312218,0.16821920535990537,1.1915835065077903e-24,2016-07-19,2026-07-28
BTC TrendScore -> ETH,20,3,1276,0.14783070825298492,0.06465643204904681,0.3619884495244601,0.6128526645768025,-0.2440678787878787,-0.06738299057123498,0.2778626803445868,-0.26956907544984093,0.05908085829029185,0.08874984996269306,0.12109143837605055,2.287804451342614,0.02214891150417212,0.16821920535990537,1.1915835065077903e-24,2016-07-19,2026-07-28
BTC TrendScore -> ETH,60,0,393,0.037191490414047644,0.039111795781496816,0.2837533101378,0.5470737913486005,-0.3844256705192623,-0.17274689067850257,0.23832425264032464,-0.44072760020054336,0.2270930878901958,-0.18990159747614815,0.4450381549743064,,,0.206279704628003,4.21219404096616e-36,2016-07-19,2026-06-18
BTC TrendScore -> ETH,60,1,884,0.017890485157342366,-0.04625721295682644,0.3623171390979983,0.4411764705882353,-0.46500300604474587,-0.2590908503991416,0.24593750478955512,-0.47704127380203903,0.2270930878901958,-0.20920260273285343,0.4450381549743064,-0.26543101710185546,0.7906774446145057,0.206279704628003,4.21219404096616e-36,2016-07-19,2026-06-18
