strategy,start,end,years,cumulative_return,CAGR,ann_vol,downside_vol,Sharpe,Sortino,max_drawdown,Calmar,worst_year,worst_year_label,best_year,best_year_label,worst_month,worst_5d,worst_20d,pct_time_invested,avg_exposure,turnover_ann,n_position_changes,upside_capture,downside_capture,map,overlay,dvol_threshold
BTC buy & hold (DVOL sample),2021-03-24,2026-08-17,5.41,0.1594403146974026,0.027745989264755133,0.551788830237881,0.3937602222359234,0.0502837095357541,0.07046417514497182,-0.7667059828725815,0.03618856495784803,-0.6422872444020116,2022,1.558207176496568,2023,-0.37120599797697296,-0.2823887591616785,-0.40616885861830476,1.0,1.0,0.1849974657881399,1,1.0,1.0,buy_hold,none,
A_linear trend-only,2021-03-24,2026-08-17,5.41,1.616416816088147,0.19474363037966946,0.3336053991323614,0.25238741952202143,0.5837544322908362,0.771605933245328,-0.47690233373072277,0.4083511792786259,-0.29349367844984564,2022,1.0207285101210615,2024,-0.17735796791260128,-0.13325648256412526,-0.22097205284050425,0.8291941206284845,0.5462071295826997,16.033113701638793,256,0.5465446169032002,0.5083553043254353,A_linear,trend only,
A_linear +DVOL60,2021-03-24,2026-08-17,5.41,1.5749944858367164,0.19122164225465554,0.29188008650315395,0.21291514438500028,0.6551376784403867,0.8981119816863857,-0.41762510436279765,0.4578787057028502,-0.2821723213826475,2022,1.0064816143622033,2024,-0.1121412096543114,-0.13024000856063822,-0.1438412058115759,0.8291941206284845,0.502933838370673,16.408784412038788,541,0.4856700329466049,0.4489205516187863,A_linear,trend + DVOL,60.0
A_linear +DVOL70,2021-03-24,2026-08-17,5.41,1.6009357811395146,0.19343268921505818,0.30923612232016673,0.22857799128563602,0.6255177686350245,0.8462437180723165,-0.4482400710164256,0.43153814601276447,-0.29446756230314064,2022,1.0349309360354666,2024,-0.13060541808910964,-0.13024000856063822,-0.16463814371506824,0.8291941206284845,0.5223677608618476,16.558329168775305,451,0.5116000551218907,0.4741715046548446,A_linear,trend + DVOL,70.0
A_linear +DVOL80,2021-03-24,2026-08-17,5.41,1.5727476326091692,0.19102928382117357,0.3220837861227169,0.24160444497420544,0.5931043164910812,0.7906695749805784,-0.4677113900794784,0.4084341067441438,-0.2939978094901603,2022,1.0190142154563975,2024,-0.14795242162157185,-0.13253507552346022,-0.18648920866481566,0.8291941206284845,0.535646712229525,16.59350581348773,400,0.5296208196657853,0.4925253778158811,A_linear,trend + DVOL,80.0
A_linear +DVOL90,2021-03-24,2026-08-17,5.41,1.6078057955224243,0.19401522789005865,0.3303589972144227,0.24985490009860756,0.5872860419301104,0.7765115985857741,-0.4768872756262351,0.4068366630988072,-0.29349367844984564,2022,1.0207285101210615,2024,-0.16495453733002707,-0.13253507552346022,-0.2047904163625971,0.8291941206284845,0.5435313780699238,16.347642134469584,328,0.5413546451742373,0.5033783580486301,A_linear,trend + DVOL,90.0
A_linear +DVOL100,2021-03-24,2026-08-17,5.41,1.626216823728046,0.19557023552236785,0.33266364618434974,0.2516109478232049,0.587891817352324,0.7772723612161175,-0.4769023337307231,0.4100844589969948,-0.29349367844984564,2022,1.0207285101210615,2024,-0.1715495888308064,-0.13325648256412526,-0.2118860660305215,0.8291941206284845,0.5454997014420881,16.1658198103318,280,0.5449119930281577,0.5065328927627039,A_linear,trend + DVOL,100.0
A_linear +DVOL110,2021-03-24,2026-08-17,5.41,1.6257276963328833,0.1955290385551507,0.33311088306514947,0.25193770210613786,0.5869788364642212,0.7761007460200499,-0.47690233373072266,0.4099980745020927,-0.29349367844984564,2022,1.0207285101210615,2024,-0.17494200238600854,-0.13325648256412526,-0.21612773045182432,0.8291941206284845,0.545904608102959,16.10276288496439,269,0.5457966663558504,0.507430220897253,A_linear,trend + DVOL,110.0
A_linear +DVOL120,2021-03-24,2026-08-17,5.41,1.617116152511362,0.19480270112095766,0.3333863651967786,0.25224485304433814,0.5843151414005097,0.7722762180075736,-0.47690233373072244,0.40847504267184154,-0.29349367844984564,2022,1.0207285101210615,2024,-0.1772565910461813,-0.13325648256412526,-0.21987420977241467,0.8291941206284845,0.5460695535533443,16.082022180059013,264,0.5461794885673672,0.5079781581553743,A_linear,trend + DVOL,120.0
B_threshold trend-only,2021-03-24,2026-08-17,5.41,2.9098619622323385,0.28691055513902297,0.3747666845514713,0.3394323362866138,0.7655711325631936,0.8452658290539476,-0.45296818013134166,0.6334011255621333,-0.15767656254098994,2022,1.0844725238158772,2024,-0.2192285632882861,-0.1815298840470464,-0.24828478794449638,0.5347187024835276,0.5347187024835276,16.27977698935631,88,0.536884283333492,0.47310057183352155,B_threshold,trend only,
