strategy,start,end,years,cumulative_return,CAGR,ann_vol,downside_vol,Sharpe,Sortino,max_drawdown,Calmar,worst_year,worst_year_label,best_year,best_year_label,worst_month,worst_5d,worst_20d,pct_time_invested,avg_exposure,turnover_ann,n_position_changes,upside_capture,downside_capture
1. BTC buy & hold,2021-03-24,2026-08-17,5.41,0.1594403146974026,0.027745989264755133,0.551788830237881,0.3937602222359234,0.0502837095357541,0.07046417514497182,-0.7667059828725815,0.03618856495784803,-0.6422872444020116,2022,1.558207176496568,2023,-0.37120599797697296,-0.2823887591616785,-0.40616885861830476,1.0,1.0,0.1849974657881399,1,1.0,1.0
2. A_linear trend,2021-03-24,2026-08-17,5.41,1.616416816088147,0.19474363037966946,0.3336053991323614,0.25238741952202143,0.5837544322908362,0.771605933245328,-0.47690233373072277,0.4083511792786259,-0.29349367844984564,2022,1.0207285101210615,2024,-0.17735796791260128,-0.13325648256412526,-0.22097205284050425,0.8291941206284845,0.5462071295826997,16.033113701638793,256,0.5465446169032002,0.5083553043254353
3. A_linear trend+DVOL,2021-03-24,2026-08-17,5.41,1.6078057955224243,0.19401522789005865,0.3303589972144227,0.24985490009860756,0.5872860419301104,0.7765115985857741,-0.4768872756262351,0.4068366630988072,-0.29349367844984564,2022,1.0207285101210615,2024,-0.16495453733002707,-0.13253507552346022,-0.2047904163625971,0.8291941206284845,0.5435313780699238,16.347642134469584,328,0.5413546451742373,0.5033783580486301
4. A_linear trend+DVOL+DD,2021-03-24,2026-08-17,5.41,1.2227242437049148,0.15923892216618563,0.30667542559955374,0.24271866890993338,0.5192425244209634,0.6560637584300327,-0.3864761263346397,0.41202783643175095,-0.16916430915317637,2022,1.0133249642210052,2024,-0.16447042069154671,-0.13253507552346022,-0.20269927252264408,0.8291941206284845,0.4700461208090128,13.838493379885648,462,0.47298042803022994,0.4420036913768771
2. B_threshold trend,2021-03-24,2026-08-17,5.41,2.9098619622323385,0.28691055513902297,0.3747666845514713,0.3394323362866138,0.7655711325631936,0.8452658290539476,-0.45296818013134166,0.6334011255621333,-0.15767656254098994,2022,1.0844725238158772,2024,-0.2192285632882861,-0.1815298840470464,-0.24828478794449638,0.5347187024835276,0.5347187024835276,16.27977698935631,88,0.536884283333492,0.47310057183352155
3. B_threshold trend+DVOL,2021-03-24,2026-08-17,5.41,2.8429632587245774,0.282808329792527,0.3724462921058169,0.3376934467732592,0.7593264741434919,0.8374705890648088,-0.45291670440940757,0.6244157635150646,-0.15767656254098994,2022,1.0844725238158772,2024,-0.21947447341977722,-0.17917158514520404,-0.2479771959824657,0.5347187024835276,0.5331857224889808,16.508507062470265,143,0.534052562693715,0.4712682330979157
4. B_threshold trend+DVOL+DD,2021-03-24,2026-08-17,5.41,1.8076396702843622,0.21043651719887602,0.33430085126377057,0.31843953218058435,0.6294824449395047,0.6608366610698927,-0.3910735077401635,0.5380996488739247,-0.07413565865739935,2022,0.9097990437486643,2024,-0.2019061365355601,-0.17351969943735812,-0.24670901416105007,0.5347187024835276,0.45041748534805115,13.57008640350316,376,0.4573616774439529,0.41086112765990945
2. C_strong trend,2021-03-24,2026-08-17,5.41,1.4976165720290875,0.18451689502807866,0.2578273241815384,0.32147127374923956,0.7156607454769175,0.5739763086017111,-0.2290544048876182,0.8055592518232028,0.0,2022,0.7280218933018447,2024,-0.1376404258495233,-0.13253507552346022,-0.22905440488761852,0.2747085656360872,0.2747085656360872,15.539787126203752,84,0.2723515342564968,0.22897324704848523
3. C_strong trend+DVOL,2021-03-24,2026-08-17,5.41,1.5010264016496393,0.18481589591034564,0.25663514352445127,0.31922378210314545,0.7201503791421967,0.5789540324744012,-0.22549608646851838,0.8195969109918362,0.0,2022,0.7280218933018447,2024,-0.13521132172372463,-0.13253507552346022,-0.22549608646851838,0.2747085656360872,0.27400022577436195,15.61339925992931,107,0.27147496982717567,0.22806886393895512
4. C_strong trend+DVOL+DD,2021-03-24,2026-08-17,5.41,1.4823573731793265,0.18317475788043414,0.2564371362706336,0.3192420953241456,0.7143066739254129,0.573780089040093,-0.22549608646851838,0.8123190107159898,0.0,2022,0.7226016958705608,2024,-0.13521132172372463,-0.13253507552346022,-0.22549608646851838,0.2747085656360872,0.27373315518672814,15.660833217513972,115,0.27106675543762815,0.22804571970032028
2. D_long_veto trend,2021-03-24,2026-08-17,5.41,2.2838922303527127,0.24603613534601054,0.29148885475078856,0.27007487134105934,0.8440670417960292,0.9109923264031036,-0.29552257559981154,0.8325459902568859,-0.08107536244663649,2022,0.9156332262763844,2024,-0.11269729706382192,-0.13253507552346022,-0.20373755048979958,0.5347187024835276,0.4047136340598074,15.909782057780031,169,0.4046179087949945,0.35103690944100335
3. D_long_veto trend+DVOL,2021-03-24,2026-08-17,5.41,2.2556740405326914,0.24404838116514482,0.2899539079164953,0.26841411458414577,0.8416799170557449,0.909223352666268,-0.29550626068726293,0.8258653491724953,-0.08107536244663649,2022,0.9156332262763844,2024,-0.1128487770923875,-0.13253507552346022,-0.20175056466527663,0.5347187024835276,0.4035929741316714,16.0490002636125,214,0.4027641373295546,0.3496672491388207
4. D_long_veto trend+DVOL+DD,2021-03-24,2026-08-17,5.41,2.087094764090914,0.23187176800817455,0.2868156616240973,0.26800502165156104,0.8084348208016179,0.8651769529514112,-0.2855431621815876,0.8120375435946129,-0.06656733716470176,2022,0.913661087368064,2024,-0.11608242516192036,-0.13253507552346022,-0.20403728607064342,0.5347187024835276,0.39493174321538504,15.87716520689716,301,0.39426832081157137,0.3437739812057312
