target,btc_signal,era,n,n_on,n_off,mean_on,mean_off,spread,hac_t,hac_p
ETH,sma200,full sample,3724,2245,1479,0.09368956229384372,0.0037578747718434113,0.0899316875220003,2.812408673105754,0.004917198480593332
ETH,sma200,train (pre-2022),2054,1391,663,0.13538124910615368,0.02512800022425394,0.11025324888189975,2.122594312257705,0.03378786199179379
ETH,sma200,OOS (2022+),1670,854,816,0.025781908481287353,-0.013605352158240143,0.039387260639527494,1.3910975670819503,0.16419584255164899
ETH,trendscore_ge2,full sample,3662,2345,1317,0.09117994270396927,0.001926452101929247,0.08925349060204002,2.893825282572721,0.00380579864855132
ETH,trendscore_ge2,train (pre-2022),1992,1498,494,0.12498430014944686,0.03686607075563138,0.08811822939381549,1.6706662933363994,0.09478761016701234
ETH,trendscore_ge2,OOS (2022+),1670,847,823,0.031393723750810544,-0.019045809884618566,0.05043953363542911,1.8282531232991748,0.06751157155876239
ETH,trendscore_eq3,full sample,3662,1276,2386,0.14783070825298492,0.011618658561709957,0.13621204969127496,3.384019949917979,0.0007143281260318584
ETH,trendscore_eq3,train (pre-2022),1992,835,1157,0.20423172197251008,0.03016839475376612,0.17406332721874396,2.9566362388662877,0.003110147979213265
ETH,trendscore_eq3,OOS (2022+),1670,441,1229,0.04103967320581153,-0.00584435590062444,0.04688402910643597,1.635133832383369,0.10202099520297522
SOL,sma200,full sample,2177,1255,922,0.11713770799703305,0.019143580792555428,0.09799412720447762,1.9156612352695443,0.05540822966795127
SOL,sma200,train (pre-2022),508,401,107,0.2690133834676129,0.22384080004305662,0.04517258342455627,0.2561445485140736,0.7978392243372087
SOL,sma200,OOS (2022+),1669,854,815,0.045823719866233854,-0.007730778053829385,0.05355449792006324,1.2532106943774193,0.2101290389752758
SOL,trendscore_ge2,full sample,2177,1272,905,0.145958395532147,-0.023205385734672273,0.16916378126681927,3.2931129523838543,0.0009908465997090937
SOL,trendscore_ge2,train (pre-2022),508,425,83,0.3076915508593035,0.012727991083323129,0.2949635597759804,2.5589155724339556,0.010499923826067455
SOL,trendscore_ge2,OOS (2022+),1669,847,822,0.06480539551556905,-0.026833695072742365,0.0916390905883114,2.1523454663643387,0.0313701553641579
SOL,trendscore_eq3,full sample,2177,731,1446,0.20025543261956338,0.01263588090049224,0.18761955171907113,3.1108666967226637,0.0018653912733134937
SOL,trendscore_eq3,train (pre-2022),508,290,218,0.38108033504939975,0.0977616294073115,0.2833187056420883,2.0800708842686917,0.03751903169145149
SOL,trendscore_eq3,OOS (2022+),1669,441,1228,0.08134563283577072,-0.0024760190787313724,0.0838216519145021,1.7240887843173651,0.08469181649394045
