beta_bucket,approx_beta,signal,era,n,n_on,n_off,mean_on,mean_off,spread,hac_t,hac_p
Q1,0.81,BTC TrendScore >= 2,full sample,2553,1513,1040,0.05762081179161294,-0.027393945861605824,0.08501475765321877,2.925668432243516,0.0034371705617724413
Q1,0.81,BTC > SMA200,full sample,2553,1464,1089,0.04324483003234546,-0.004242283400104142,0.0474871134324496,1.5160856104213685,0.12949770636096172
Q1,0.81,BTC TrendScore >= 2,train (pre-2022),884,666,218,0.12297590702727368,0.051332931136771995,0.07164297589050168,1.1631831993296302,0.2447551815073986
Q1,0.81,BTC > SMA200,train (pre-2022),884,610,274,0.10549877990363275,0.10488422382030864,0.0006145560833241137,0.009052794864062701,0.992777013403668
Q1,0.81,BTC TrendScore >= 2,OOS (2022+),1669,847,822,0.006231799481164264,-0.04827284998039701,0.05450464946156128,2.335699998717891,0.01950688256854884
Q1,0.81,BTC > SMA200,OOS (2022+),1669,854,815,-0.0012222770185740508,-0.0409302134349423,0.039707936416368245,1.6157673388249265,0.10614462560948815
Q2,1.05,BTC TrendScore >= 2,full sample,2553,1513,1040,0.06392614261226105,-0.001772533701157105,0.06569867631341816,1.9476676535819808,0.05145474291033444
Q2,1.05,BTC > SMA200,full sample,2553,1464,1089,0.057099260873755296,0.010361341417786806,0.04673791945596849,1.3138288710240682,0.18890379950778846
Q2,1.05,BTC TrendScore >= 2,train (pre-2022),884,666,218,0.13288825442643956,0.07751181177324927,0.05537644265319029,0.7645320469053394,0.4445502466423249
Q2,1.05,BTC > SMA200,train (pre-2022),884,610,274,0.13669878428347607,0.08034632847319965,0.05635245581027641,0.7858818770039722,0.4319366928559003
Q2,1.05,BTC TrendScore >= 2,OOS (2022+),1669,847,822,0.009700916557664937,-0.02279928225762985,0.032500198815294784,1.0629140222883142,0.2878209433935438
Q2,1.05,BTC > SMA200,OOS (2022+),1669,854,815,0.00024245843824043786,-0.013167353616793706,0.013409812055034144,0.42471395881556434,0.6710452067848357
Q3,1.17,BTC TrendScore >= 2,full sample,2553,1513,1040,0.040410346235349684,-0.02144816644537248,0.061858512680722164,2.0955900430378485,0.03611857324750852
Q3,1.17,BTC > SMA200,full sample,2553,1464,1089,0.02709640573762214,-0.00076618663818377,0.027862592375805913,0.865265225930039,0.38689323241371687
Q3,1.17,BTC TrendScore >= 2,train (pre-2022),884,666,218,0.09751646544153646,0.04908906321700129,0.04842740222453517,0.8142175186822695,0.4155203511832778
Q3,1.17,BTC > SMA200,train (pre-2022),884,610,274,0.08693948775516659,0.08253392056466405,0.004405567190502543,0.06700649784629518,0.946576530295374
Q3,1.17,BTC TrendScore >= 2,OOS (2022+),1669,847,822,-0.004492458240825513,-0.04015512029743754,0.03566266205661203,1.187400685078721,0.2350696099100713
Q3,1.17,BTC > SMA200,OOS (2022+),1669,854,815,-0.015648652846338165,-0.028771376053619725,0.01312272320728156,0.41784075030576284,0.6760635545685949
Q4,1.28,BTC TrendScore >= 2,full sample,2553,1513,1040,0.04118094240677843,-0.020118051069792503,0.06129899347657093,2.1164123855621995,0.034309749597591706
Q4,1.28,BTC > SMA200,full sample,2553,1464,1089,0.023235017166841086,0.006765773752631986,0.0164692434142091,0.5176339915726182,0.6047136608612432
Q4,1.28,BTC TrendScore >= 2,train (pre-2022),884,666,218,0.09135896372074792,0.06512713342814117,0.026231830292606756,0.4758393523830606,0.6341888318038807
Q4,1.28,BTC > SMA200,train (pre-2022),884,610,274,0.07966420706523085,0.0965241555312484,-0.016859948466017557,-0.27454413690661383,0.7836664897572361
Q4,1.28,BTC TrendScore >= 2,OOS (2022+),1669,847,822,0.0017257332035863781,-0.04272565474442699,0.044451387948013364,1.4242927243210246,0.15436175276377828
Q4,1.28,BTC > SMA200,OOS (2022+),1669,854,815,-0.017071547046294478,-0.02341066380238753,0.0063391167560930516,0.19297127953879992,0.846981460921903
Q5,1.51,BTC TrendScore >= 2,full sample,2553,1513,1040,0.05666107859620074,-0.010565914877616964,0.0672269934738177,1.978780245422753,0.04784075357819999
Q5,1.51,BTC > SMA200,full sample,2553,1464,1089,0.04118950673734896,0.013258239283609917,0.027931267453739042,0.7576431256059841,0.44866465551037527
Q5,1.51,BTC TrendScore >= 2,train (pre-2022),884,666,218,0.10757758783335884,0.08040519426961135,0.027172393563747496,0.4084364461508651,0.6829532805511118
Q5,1.51,BTC > SMA200,train (pre-2022),884,610,274,0.09647147987628285,0.11068395300459753,-0.014212473128314682,-0.2012089099249123,0.8405352248541151
Q5,1.51,BTC TrendScore >= 2,OOS (2022+),1669,847,822,0.016625192938647854,-0.03469207277797678,0.051317265716624635,1.3222492120799672,0.1860851786701384
Q5,1.51,BTC > SMA200,OOS (2022+),1669,854,815,0.0017023830666818953,-0.019495927047127024,0.02119831011380892,0.5243001996409773,0.6000697580597028
