system,feature,outcome,n_pos,n_neg,AUC,p,fdr_reject_q10,p_bh
GERHARD_SMA120,ret_z20,confirmed,119,73,0.6592609646598365,0.00021561746239928225,True,0.007438802452775238
GERHARD_SMA120,ret_z20,valid_10d,125,67,0.5832835820895522,0.05754873952559277,False,0.3008256514690758
GERHARD_SMA120,ret_z20,up_10d,104,88,0.5504807692307693,0.22901915463347788,False,0.6584300695712489
GERHARD_SMA120,ret2_z20,confirmed,119,73,0.5935305629100955,0.029828033480568082,False,0.19601279144373313
GERHARD_SMA120,ret2_z20,valid_10d,125,67,0.5672835820895522,0.12502739705442126,False,0.4424046357310291
GERHARD_SMA120,ret2_z20,up_10d,104,88,0.5327797202797203,0.4350142706643766,False,0.8893792154640678
GERHARD_SMA120,move_atr,confirmed,119,73,0.6697363877057673,8.032321148778644e-05,True,0.0036948677284381766
GERHARD_SMA120,move_atr,valid_10d,125,67,0.5983283582089552,0.024933427699242255,False,0.19115627902752397
GERHARD_SMA120,move_atr,up_10d,104,88,0.5519012237762237,0.21617117397299623,False,0.6347153618781591
GERHARD_SMA120,tr_atr,confirmed,119,73,0.6444111891331875,0.000794047321885346,True,0.021915706084035553
GERHARD_SMA120,tr_atr,valid_10d,125,67,0.5849552238805971,0.052712887927911796,False,0.29097514136207314
GERHARD_SMA120,tr_atr,up_10d,104,88,0.541083916083916,0.32771228701742716,False,0.7797292346276715
GERHARD_SMA120,brk_atr,confirmed,119,73,0.7012777713825256,2.9185016621849738e-06,True,0.00040275322938152636
GERHARD_SMA120,brk_atr,valid_10d,125,67,0.6345074626865672,0.0021548339400486605,True,0.03752164334834982
GERHARD_SMA120,brk_atr,up_10d,104,88,0.5690559440559441,0.09976572008184276,False,0.39336198203698
GERHARD_SMA120,brk_vol,confirmed,119,73,0.6916081501093588,8.517487081670357e-06,True,0.0005877066086352546
GERHARD_SMA120,brk_vol,valid_10d,125,67,0.6253134328358209,0.004260302546671651,True,0.06532463904896531
GERHARD_SMA120,brk_vol,up_10d,104,88,0.5691652097902098,0.09923023353091823,False,0.39336198203698
GERHARD_SMA120,range_breakout_20,confirmed,119,73,0.5752273512144583,0.08063919834210985,False,0.36949587071835877
GERHARD_SMA120,range_breakout_20,valid_10d,125,67,0.5203582089552239,0.6432210687387457,False,0.9501187819841299
GERHARD_SMA120,range_breakout_20,up_10d,104,88,0.4894012237762238,0.8014081830783556,False,0.9665678925776454
GERHARD_SMA120,range_breakout_60,confirmed,119,73,0.6142511799240244,0.007956138686807605,True,0.08589861920487298
GERHARD_SMA120,range_breakout_60,valid_10d,125,67,0.5681194029850746,0.12040352013269785,False,0.4372548889029554
GERHARD_SMA120,range_breakout_60,up_10d,104,88,0.4891826923076923,0.7973810166866819,False,0.9665678925776454
GERHARD_SMA120,range_breakout_120,confirmed,119,73,0.49510763209393344,0.9105349712687963,False,0.9665678925776454
GERHARD_SMA120,range_breakout_120,valid_10d,125,67,0.5293134328358209,0.504419072569257,False,0.8965523911715747
GERHARD_SMA120,range_breakout_120,up_10d,104,88,0.5423951048951049,0.31249050357838404,False,0.7797292346276715
GERHARD_SMA120,trend_agree_count,confirmed,119,73,0.5989409462415103,0.017078895021492783,False,0.1623827421642823
GERHARD_SMA120,trend_agree_count,valid_10d,125,67,0.596776119402985,0.021994384655155345,False,0.17854265190655516
GERHARD_SMA120,trend_agree_count,up_10d,104,88,0.5641936188811189,0.1123189056979518,False,0.4189191617923608
GERHARD_SMA120,spot_vol_z,confirmed,96,56,0.6493675595238095,0.00217516773033912,True,0.03752164334834982
GERHARD_SMA120,spot_vol_z,valid_10d,104,48,0.6350160256410257,0.007594301021057402,True,0.08589861920487298
GERHARD_SMA120,spot_vol_z,up_10d,90,62,0.5548387096774193,0.252063325147064,False,0.6820537033391143
GERHARD_SMA120,perp_vol_z,confirmed,95,55,0.6514832535885168,0.0020364786030654847,True,0.03752164334834982
GERHARD_SMA120,perp_vol_z,valid_10d,103,47,0.6056599876058666,0.03841434463067872,False,0.24096270722880286
GERHARD_SMA120,perp_vol_z,up_10d,90,60,0.5568518518518518,0.2396723256470652,False,0.6618372033561202
