asset,system,rule,event_kind,n_events,p_confirm,cost_of_waiting_per_confirmed,loss_avoided_per_failed,expected_value_per_signal,ev_ci_lo,ev_ci_hi,breakeven_p_confirm,total_cost_of_waiting,total_loss_avoided,net_per_year,left_tail_p05,worst,best
BTC,GERHARD_SMA120,M1_1close,all,68,0.7058823529411765,0.03711987629828407,0.02509647842582171,0.01882094843825296,0.00313305973987468,0.03837291582246944,0.4033742982389494,1.7817540623176353,0.5019295685164342,0.1274068946200296,-0.04995952150738804,-0.13167120433374113,0.24233577151254437
BTC,GERHARD_SMA120,M1_1close,to_long,32,0.75,0.03549026473147349,0.03640675121032953,0.01751601074602274,-0.003805340774663643,0.04177666374892812,0.5063736058225135,0.8517663535553638,0.29125400968263626,0.056074262831967606,-0.05383447743040805,-0.13167120433374113,0.23107782470816596
BTC,GERHARD_SMA120,M1_1close,to_short,36,0.6666666666666666,0.03874948786509465,0.017556296569483164,0.019980893053568708,0.0038389432701400714,0.041361239757848514,0.31180271699938716,0.9299877087622715,0.21067555883379796,0.07318349937642757,-0.04865085785428988,-0.06628339184043286,0.24233577151254437
BTC,GERHARD_SMA120,M2_2close,all,68,0.7058823529411765,0.016955494309101076,0.02026768521213957,0.006007500332265593,-0.005918421922895624,0.019322047292225294,0.5444909723677482,0.8138637268368516,0.4053537042427914,0.04066728965725824,-0.04726408874028476,-0.13125243902226802,0.14289995897090246
BTC,GERHARD_SMA120,M2_2close,to_long,32,0.75,0.01218120298782347,0.033719818128945894,0.0007059477086311279,-0.018906943574627445,0.018137193936919704,0.7346202177760873,0.29234887170776325,0.26975854503156715,0.0022599607829308747,-0.07761482227732844,-0.13125243902226802,0.12448234574210648
BTC,GERHARD_SMA120,M2_2close,to_short,36,0.6666666666666666,0.02172978563037868,0.011299596600935352,0.010719991553274003,-0.0013439341149857182,0.024858565096755093,0.3421074158093877,0.5215148551290884,0.13559515921122423,0.03926383535766013,-0.04439507344905913,-0.0828041064719367,0.14289995897090246
BTC,GERHARD_SMA120,M3_linear,all,68,0.7058823529411765,0.018370364229520025,0.011388166991520381,0.009617855046861083,0.0011476533928954681,0.019846677484567185,0.3826857887216059,0.8817774830169612,0.22776333983040764,0.06510729512098357,-0.021040251476526925,-0.06775045848976624,0.1284083271263258
BTC,GERHARD_SMA120,M3_linear,to_long,32,0.75,0.016104225148607324,0.018830921130289426,0.007370438578883138,-0.004213865173485122,0.020162715691952597,0.5390251118445898,0.3865014035665758,0.1506473690423154,0.02359509342919368,-0.030639052012332496,-0.06775045848976624,0.11851647378193442
BTC,GERHARD_SMA120,M3_linear,to_short,36,0.6666666666666666,0.020636503310432725,0.006426330899007684,0.011615558573952588,0.003236909800275357,0.022827091821445867,0.23745964111792725,0.49527607945038543,0.07711597078809221,0.04254400548437398,-0.01983543722477384,-0.024454301740156757,0.1284083271263258
BTC,LL3_k0.30,M1_1close,all,85,0.9647058823529412,0.004833555722703825,-0.0,0.004662959638373102,-0.0008846184312957413,0.010657558669939464,-0.0,0.39635156926171367,-0.0,0.039456912148498474,-0.024412490734454395,-0.08078537769806138,0.12797560457132917
BTC,LL3_k0.30,M1_1close,to_long,19,1.0,0.013551363192302043,,,-0.004797507616402761,0.0343069980211767,,0.2574759006537388,-0.0,0.02612307575382725,-0.04090586996077701,-0.05948263384256802,0.12797560457132917
BTC,LL3_k0.30,M1_1close,to_neutral,44,0.9318181818181818,0.003387211429462801,-0.0,0.0031562651956357915,-0.003938965042660528,0.010227636585371097,-0.0,0.13887566860797484,-0.0,0.013840201353086716,-0.02180526278372921,-0.08078537769806138,0.07694359357322789
BTC,LL3_k0.30,M1_1close,to_short,22,1.0,0.0,,,0.0,0.0,,0.0,-0.0,0.0,0.0,0.0,0.0
BTC,LL3_k0.30,M2_2close,all,85,0.9647058823529412,0.0016908767803848499,-0.0,0.001631198776371267,-0.0018376648308166073,0.005589487888256743,-0.0,0.1386518959915577,-0.0,0.013802835925570031,-0.019334609177310867,-0.06342686517582963,0.09229460539846157
BTC,LL3_k0.30,M2_2close,to_long,19,1.0,0.003293394572332213,,,-0.0102032599786847,0.017533132800469302,,0.06257449687431205,-0.0,0.006348704162039576,-0.0349388153188603,-0.06342686517582963,0.09229460539846157
BTC,LL3_k0.30,M2_2close,to_neutral,44,0.9318181818181818,0.0018555463199328207,-0.0,0.0017290317981192192,-0.0012091825089571473,0.004725007037435287,-0.0,0.07607739911724565,-0.0,0.007581792640538602,-0.013463228553092843,-0.033056730196906914,0.026937574938413533
BTC,LL3_k0.30,M2_2close,to_short,22,1.0,0.0,,,0.0,0.0,,0.0,-0.0,0.0,0.0,0.0,0.0
BTC,LL3_k0.30,M3_linear,all,85,0.9647058823529412,0.002232032787205437,-0.0,0.0021532551594217156,-0.0005815167907651934,0.005104579657431599,-0.0,0.18302668855084583,-0.0,0.018220359224092788,-0.013729245169370597,-0.04096939928678965,0.06621881637235016
BTC,LL3_k0.30,M3_linear,to_long,19,1.0,0.005614981679339751,,,-0.004671591224837186,0.01640622188271819,,0.10668465190745527,-0.0,0.010824046974777232,-0.02528151838794475,-0.04096939928678965,0.06621881637235016
