system,outcome,features,n_train,n_test,base_rate_train,base_rate_test,AUC_test,Brier_test,Brier_base_rate
GERHARD_SMA120,confirmed,ret_z20,59,128,0.576271186440678,0.6484375,0.6880856760374833,0.21907977803582462,0.23317428540649232
GERHARD_SMA120,confirmed,brk_vol,59,128,0.576271186440678,0.6484375,0.7049531459170013,0.21053279829954152,0.23317428540649232
GERHARD_SMA120,confirmed,range_breakout_20,59,128,0.576271186440678,0.6484375,0.5911646586345382,0.22838831755597908,0.23317428540649232
GERHARD_SMA120,confirmed,strength3,59,128,0.576271186440678,0.6484375,0.6829986613119142,0.21015699109329367,0.23317428540649232
GERHARD_SMA120,valid_10d,ret_z20,59,128,0.6101694915254238,0.671875,0.599390919158361,0.21887435857661017,0.22426655415110602
GERHARD_SMA120,valid_10d,brk_vol,59,128,0.6101694915254238,0.671875,0.5944075304540422,0.21794163928579446,0.22426655415110602
GERHARD_SMA120,valid_10d,range_breakout_20,59,128,0.6101694915254238,0.671875,0.4437984496124031,0.2262580762342919,0.22426655415110602
GERHARD_SMA120,valid_10d,strength3,59,128,0.6101694915254238,0.671875,0.5877630121816169,0.21711007991358347,0.22426655415110602
LL3_k0.30,confirmed,ret_z20,79,119,0.9493670886075949,0.9915966386554622,0.9152542372881356,0.00990803795084788,0.010116079759896276
LL3_k0.30,confirmed,brk_vol,79,119,0.9493670886075949,0.9915966386554622,0.940677966101695,0.009229037066874028,0.010116079759896276
LL3_k0.30,confirmed,range_breakout_20,79,119,0.9493670886075949,0.9915966386554622,0.9661016949152542,0.008633503405241468,0.010116079759896276
LL3_k0.30,confirmed,strength3,79,119,0.9493670886075949,0.9915966386554622,0.9661016949152542,0.008614854622081284,0.010116079759896276
LL3_k0.30,valid_10d,ret_z20,79,119,0.810126582278481,0.8235294117647058,0.5529640427599611,0.14545343488252405,0.14550835556142028
LL3_k0.30,valid_10d,brk_vol,79,119,0.810126582278481,0.8235294117647058,0.4159378036929058,0.15023795683098495,0.14550835556142028
LL3_k0.30,valid_10d,range_breakout_20,79,119,0.810126582278481,0.8235294117647058,0.5349854227405246,0.145306720856581,0.14550835556142028
LL3_k0.30,valid_10d,strength3,79,119,0.810126582278481,0.8235294117647058,0.4412050534499514,0.14999403912749426,0.14550835556142028
