definition,system,asset,n,per_year,years,confirm_rate,valid_10d_rate,fwd_10d_mean,fwd_20d_median,mae_10d_median
ret_z20>=3,GERHARD_SMA120,BTC,16,1.5646586345381526,"{2016: np.int64(3), 2018: np.int64(1), 2020: np.int64(3), 2021: np.int64(1), 2023: np.int64(4), 2025: np.int64(3), 2026: np.int64(1)}",0.8125,0.875,0.06273237176211584,0.0690513471406421,-0.027909768841017812
ret_z20>=3,GERHARD_SMA120,ETH,12,1.1734939759036145,"{2016: np.int64(1), 2017: np.int64(2), 2019: np.int64(1), 2020: np.int64(2), 2022: np.int64(2), 2023: np.int64(1), 2024: np.int64(2), 2026: np.int64(1)}",0.75,0.6666666666666666,-0.020838538784447348,-0.002307923771753928,-0.06925954722620214
ret_z20>=3,GERHARD_SMA120,SOL,3,0.2933734939759036,"{2023: np.int64(1), 2025: np.int64(1), 2026: np.int64(1)}",1.0,1.0,0.07684322697325685,0.04767696424227674,-0.02079785940160539
ret_z20>=3,LL2_k0.30,ETH,2,0.19558232931726907,"{2019: np.int64(1), 2025: np.int64(1)}",1.0,1.0,0.026066104106301113,0.07214923021972836,-0.09922356668422105
ret_z20>=3,LL3_k0.30,BTC,6,0.5867469879518072,"{2018: np.int64(1), 2020: np.int64(2), 2021: np.int64(1), 2023: np.int64(1), 2026: np.int64(1)}",1.0,0.3333333333333333,0.2067103253392738,0.20038401105606835,-0.01463891042545673
ret_z20>=3,LL3_k0.30,ETH,2,0.19558232931726907,"{2019: np.int64(1), 2025: np.int64(1)}",1.0,1.0,0.026066104106301113,0.07214923021972836,-0.09922356668422105
ret_z20>=3,LL3_k0.30,SOL,3,0.2933734939759036,"{2022: np.int64(1), 2023: np.int64(1), 2026: np.int64(1)}",1.0,1.0,0.03390354000512071,0.043010752688172005,-0.09505862646566166
ret_z20>=3 & brk_vol>=1,GERHARD_SMA120,BTC,13,1.271285140562249,"{2016: np.int64(3), 2018: np.int64(1), 2020: np.int64(3), 2023: np.int64(3), 2025: np.int64(2), 2026: np.int64(1)}",0.8461538461538461,0.8461538461538461,0.04169002885980752,0.053095688209355174,-0.028366806788105103
ret_z20>=3 & brk_vol>=1,GERHARD_SMA120,ETH,9,0.8801204819277109,"{2016: np.int64(1), 2017: np.int64(2), 2020: np.int64(1), 2022: np.int64(2), 2023: np.int64(1), 2024: np.int64(1), 2026: np.int64(1)}",0.7777777777777778,0.6666666666666666,-0.03778105325191303,-0.016840312313507022,-0.07058136065247655
ret_z20>=3 & brk_vol>=1,GERHARD_SMA120,SOL,2,0.19558232931726907,"{2023: np.int64(1), 2026: np.int64(1)}",1.0,1.0,0.08805126712006528,0.11449860323025818,-0.09146711732189622
ret_z20>=2 & range_breakout_20>=1,GERHARD_SMA120,BTC,9,0.8801204819277109,"{2016: np.int64(3), 2020: np.int64(2), 2023: np.int64(2), 2025: np.int64(1), 2026: np.int64(1)}",0.8888888888888888,0.8888888888888888,0.037316306252619676,0.08500700607192901,-0.01926897093347224
ret_z20>=2 & range_breakout_20>=1,GERHARD_SMA120,ETH,9,0.8801204819277109,"{2017: np.int64(2), 2018: np.int64(1), 2019: np.int64(1), 2020: np.int64(2), 2023: np.int64(1), 2024: np.int64(1), 2026: np.int64(1)}",0.8888888888888888,0.6666666666666666,-0.05608420841940038,-0.05031446540880502,-0.1305851431733297
ret_z20>=2 & range_breakout_20>=1,GERHARD_SMA120,SOL,4,0.39116465863453814,"{2022: np.int64(1), 2023: np.int64(1), 2025: np.int64(1), 2026: np.int64(1)}",0.75,0.75,-0.0955518616128758,0.03270080693564781,-0.09366356284177552
ret_z20>=2 & range_breakout_20>=1,LL2_k0.30,ETH,2,0.19558232931726907,"{2019: np.int64(1), 2025: np.int64(1)}",1.0,1.0,0.026066104106301113,0.07214923021972836,-0.09922356668422105
ret_z20>=2 & range_breakout_20>=1,LL2_k0.30,SOL,1,0.09779116465863454,{2023: np.int64(1)},1.0,1.0,-0.06589891234804868,-0.20601407549584128,-0.06781829814459384
ret_z20>=2 & range_breakout_20>=1,LL3_k0.30,BTC,5,0.48895582329317266,"{2018: np.int64(2), 2020: np.int64(1), 2023: np.int64(1), 2026: np.int64(1)}",1.0,0.6,0.11091868513332917,0.1319927659462099,-0.010702924704862227
ret_z20>=2 & range_breakout_20>=1,LL3_k0.30,ETH,3,0.2933734939759036,"{2019: np.int64(1), 2024: np.int64(1), 2025: np.int64(1)}",1.0,1.0,0.020689186537939275,0.04272257672439994,-0.08526283804314794
ret_z20>=2 & range_breakout_20>=1,LL3_k0.30,SOL,5,0.48895582329317266,"{2022: np.int64(2), 2023: np.int64(2), 2026: np.int64(1)}",1.0,0.8,-0.11538508394079205,0.030352084176446747,-0.09505862646566166
