asset,window,rule,dCAGR_vs_M0_both,dCAGR_vs_M0_down,dCAGR_vs_M0_up,dSharpe_vs_M0_both,dSharpe_vs_M0_down,dSharpe_vs_M0_up,dCAGR_interaction
BTC,2019+ (walk-forward span),FAST,0.15788542419713925,0.08993949694103298,0.06408181547466119,0.23225363156284162,0.1450827065399014,0.0869253797872076,0.0038641117814450787
BTC,2019+ (walk-forward span),M5_brk0.5,0.14398901404355025,0.09018606870542034,0.05073524031181731,0.21361914829161677,0.14299371469239563,0.07032537273482409,0.003067705026312595
BTC,2019-2021,FAST,-0.06967800584027728,-0.03929582775125162,-0.030877408852989063,-0.04926539290505638,-0.025190407816880978,-0.024075655613922553,0.0004952307639634057
BTC,2019-2021,M5_brk0.5,0.010791830207671271,0.01679184697046132,-0.00595917495759446,0.007890647799661865,0.01276444960283496,-0.004860707808242548,-4.084180519559055e-05
BTC,2019-2025 (no 2026),FAST,0.13888045992504439,0.0825273284481749,0.053583395028765635,0.18804970941241717,0.12242639556209944,0.06534027203757953,0.0027697364481038544
BTC,2019-2025 (no 2026),M5_brk0.5,0.11567132858480478,0.08059975298009592,0.033386146688295204,0.15928456778033295,0.1172659201835573,0.04178873824980878,0.001685428916413656
BTC,2019-2026-07 (no Aug-2026 episode),FAST,0.1350486718795363,0.0920768407436745,0.04048946031845224,0.20090412769620514,0.14668316091323108,0.05421364608704193,0.0024823708174095405
BTC,2019-2026-07 (no Aug-2026 episode),M5_brk0.5,0.12103468530270578,0.0923293913647274,0.02704277901912855,0.18202253894119202,0.14455599667227048,0.037320633180907725,0.0016625149188498334
BTC,2022+,FAST,0.21851223107784823,0.12178735697800347,0.08697765126101387,0.5686340170141188,0.34099162727783083,0.22414130410047206,0.009747222838830893
BTC,2022+,M5_brk0.5,0.1735329757227566,0.10448915364236866,0.06298765732961398,0.46054546776679217,0.2925095321658303,0.16521501260061122,0.0060561647507739735
BTC,2024+,FAST,0.18244854027960744,0.11278020414526058,0.06318284758550341,0.4518766850679286,0.2948829169753033,0.15755885370631512,0.006485488548843454
BTC,2024+,M5_brk0.5,0.16879061686535968,0.08839639657082188,0.0744078453362309,0.4163028991364292,0.23082430087318556,0.1853803914313879,0.005986374958306895
ETH,2019+ (walk-forward span),FAST,-0.1067214178314464,-0.13810006775780437,0.03459336379521738,-0.10975918531268414,-0.14543534092943378,0.03314783609490435,-0.003214713868859409
ETH,2019+ (walk-forward span),M5_brk0.5,0.010185022040645864,-0.03789965893220826,0.049343076493267635,0.018559546890867806,-0.03314898562292179,0.05039610661075167,-0.0012583955204135133
ETH,2019-2021,FAST,-0.5702576777011465,-0.504351967358855,-0.08146818414085111,-0.2652779113709125,-0.22632334585824232,-0.037970195344936286,0.015562473798559573
ETH,2019-2021,M5_brk0.5,-0.20350349201981022,-0.1815944108263019,-0.023527276797994823,-0.08270878922494229,-0.07107618057687914,-0.01151153830553131,0.0016181956044865053
ETH,2019-2025 (no 2026),FAST,-0.1505801688871813,-0.16365443256996004,0.014596670769997377,-0.14398924948727798,-0.1564043007455448,0.010890420024348035,-0.0015224070872186246
ETH,2019-2025 (no 2026),M5_brk0.5,-0.01866804116098142,-0.049537690104998644,0.031875998266062355,-0.009780865809650985,-0.0399834799004265,0.029417106887962063,-0.0010063493220451303
ETH,2019-2026-07 (no Aug-2026 episode),FAST,-0.1292395774128754,-0.14116193808207034,0.013164645820850973,-0.134335434814978,-0.146772223593716,0.010973753738678593,-0.0012422851516560307
ETH,2019-2026-07 (no Aug-2026 episode),M5_brk0.5,-0.011447821820161241,-0.03876205597524929,0.02804082873145841,-0.004365253626189114,-0.033415272697231324,0.028302665311398467,-0.0007265945763703652
ETH,2022+,FAST,0.03473383841028177,-0.024945569541381163,0.061160744124526545,0.07721528204265826,-0.07008402013491932,0.13742771043692248,-0.001481336172863612
ETH,2022+,M5_brk0.5,0.06626956480210566,0.0032446604605675944,0.06282697833021,0.1484582868541769,0.0011597867874745815,0.14073156755994337,0.00019792601132806453
ETH,2024+,FAST,0.09224145638222381,-0.02576616414929367,0.12073675746964763,0.18180611824818704,-0.05190578179632044,0.22614636734314342,-0.00272913693813015
ETH,2024+,M5_brk0.5,0.09844029651473618,0.015837200521727546,0.08147116900795037,0.19218816778462977,0.03339447513359861,0.1577432637070465,0.0011319269850582625
SOL,2019+ (walk-forward span),FAST,-0.04128733216703373,-0.05434769414019991,0.013686843611974808,-0.0604242334965962,-0.0817346713320738,0.019447988126360616,-0.0006264816388086292
SOL,2019+ (walk-forward span),M5_brk0.5,-0.09358851307944871,-0.06980753032739195,-0.02526647667100468,-0.1404374434968534,-0.10526181181587152,-0.03610731005974899,0.0014854939189479222
SOL,2019-2021,FAST,-0.3099641546034546,-0.3099641546034546,0.0,-0.4461691505050324,-0.4461691505050324,0.0,0.0
SOL,2019-2021,M5_brk0.5,-0.24628989536819113,-0.24628989536819113,0.0,-0.3423503103343904,-0.3423503103343904,0.0,0.0
SOL,2019-2025 (no 2026),FAST,-0.06497692415523248,-0.06923219396279068,0.0045132969782175625,-0.08847548525653459,-0.09642586570880929,0.00620684425326401,-0.00025802717065936953
SOL,2019-2025 (no 2026),M5_brk0.5,-0.13176410027982577,-0.08720578053388839,-0.04801608456141948,-0.18501321036983964,-0.12180279319240517,-0.06378504652964334,0.0034577648154821006
SOL,2019-2026-07 (no Aug-2026 episode),FAST,-0.062201508686596796,-0.05489640024097153,-0.007664152840187732,-0.09291390719031284,-0.08383703316735586,-0.010275465315144339,0.00035904439456246884
SOL,2019-2026-07 (no Aug-2026 episode),M5_brk0.5,-0.11402876095909797,-0.07050088420037315,-0.046314318508710706,-0.17452283179543143,-0.10765552184887178,-0.06719998011496353,0.0027864417499858796
SOL,2022+,FAST,-0.009109576457491775,-0.02393191313768761,0.015130204575144468,-0.013167376085504556,-0.03630376245112288,0.022113910069608833,-0.0003078678949486324
SOL,2022+,M5_brk0.5,-0.07636174715466049,-0.049660803819291166,-0.02787805708341473,-0.11542071521436748,-0.0756943895772913,-0.04038259532525468,0.0011771137480454108
SOL,2024+,FAST,0.06336320962397946,-0.021703083204128948,0.08717779686121296,0.117434481761824,-0.056076081314208714,0.16833967367182326,-0.002111504033104561
SOL,2024+,M5_brk0.5,-0.013669560889548849,-0.03880941150119466,0.02627798544513371,-0.03207608285929759,-0.08733781718198716,0.053687483474094355,-0.0011381348334879027
