asset,model,window,dSharpe,block60_lo,block60_hi,segment_lo,segment_hi,segment_p_le0,n_segments,n_segments_differing,segments_rule_better_share,incremental_return_sum,incremental_sum_lo,incremental_sum_hi,largest_segment_share_of_gain
BTC,M1_1close,2019+,0.23225363156284162,0.04829689412171879,0.48358911803863347,0.03773575585871891,0.598712033150847,0.0045,51,50,0.52,0.7585524139843594,0.0993180496364908,1.4988631000271806,0.3207263186575364
BTC,FAST_both,2019+,0.23225363156284162,0.04931921472548086,0.4828583522368269,0.036370468071656385,0.5959366558248305,0.0065,51,50,0.52,0.7585524139843594,0.10851072363345851,1.4832109761305632,0.3207263186575364
BTC,M5_brk0.5_both,2019+,0.21361914829161677,0.04554737929380329,0.4470311549613982,0.03722812803318082,0.5197780711191448,0.0045,51,26,0.6153846153846154,0.6927984556438754,0.12486488751465358,1.3558271767838885,0.35116666508715516
BTC,FAST_up,2019+,0.0869253797872076,-0.016689513200065113,0.21702525182527863,-0.008644232158366696,0.2542867985882617,0.047,51,26,0.5769230769230769,0.33785424927712715,-0.024747441582245778,0.7935871479671649,0.3739492753880838
BTC,M5_brk0.5_up,2019+,0.07032537273482409,-0.004311716680554564,0.17669104169617553,-0.005585013561187474,0.20294334897484057,0.0445,51,11,0.6363636363636364,0.2663341681949378,-0.018317920092451128,0.6598466742875492,0.474367793513803
BTC,FAST_down,2019+,0.1450827065399014,-0.014902241195307375,0.3754995085622113,-0.010013373708903484,0.42349169599799785,0.0385,51,27,0.5185185185185185,0.4206981647072322,-0.09926307904850327,1.0670339684171806,0.5760323952950641
BTC,M5_brk0.5_down,2019+,0.14299371469239563,-0.008560742812695987,0.3545969144877336,-0.0068160096486765505,0.3836668022601235,0.0335,51,16,0.625,0.4264642874489376,-0.06014814540759763,1.0839489542058809,0.568243997550581
ETH,M1_1close,2019+,-0.10975918531268414,-0.28425825513627395,0.05087185606204088,-0.4174092167548538,0.054881925091283666,0.894,62,61,0.4262295081967213,-0.6633915212623944,-1.606462539917772,0.1976790384133323,
ETH,FAST_both,2019+,-0.10975918531268414,-0.29176112412972594,0.053041963627067965,-0.4111302906928517,0.054080410519163964,0.8945,62,61,0.4262295081967213,-0.6633915212623944,-1.6001200651258842,0.1964639430312015,
ETH,M5_brk0.5_both,2019+,0.018559546890867806,-0.09809384768503607,0.130105130352328,-0.13112751291581778,0.13476403438671003,0.3915,62,29,0.5517241379310345,-0.007627871288510946,-0.582818087096226,0.5974105490393216,
ETH,FAST_up,2019+,0.03314783609490435,-0.05665218853738114,0.1314200263422286,-0.0828800275703709,0.1609512044362172,0.262,62,28,0.5714285714285714,0.207719801494764,-0.29439877227096695,0.7101753303343167,0.5514764015540359
ETH,M5_brk0.5_up,2019+,0.05039610661075167,-0.015380748745349735,0.1308057864062652,-0.022996224601752775,0.1517028755446026,0.0835,62,13,0.7692307692307693,0.26463914162462576,-0.09522067902083943,0.6777771712060158,0.4328632868010765
ETH,FAST_down,2019+,-0.14543534092943378,-0.29253245943792505,-0.026521357751278514,-0.4332573970278783,-0.016799858788738888,0.99,62,35,0.34285714285714286,-0.8711113227571584,-1.6610712562451448,-0.23373651746510324,
ETH,M5_brk0.5_down,2019+,-0.03314898562292179,-0.13001809888945545,0.03999127381053392,-0.1762332007400179,0.04260840440581225,0.8,62,16,0.375,-0.2722670129131367,-0.7438037700505783,0.10735137416256482,
SOL,M1_1close,2019+,-0.0604242334965962,-0.26281703584583327,0.14115162465928016,-0.4169537815212844,0.1948243437032873,0.677,51,50,0.46,-0.1862084238101186,-0.9613866331606693,0.5683339282557137,
SOL,FAST_both,2019+,-0.0604242334965962,-0.2754502667439743,0.1516521026066056,-0.4271261568878427,0.17134968933013567,0.685,51,50,0.46,-0.1862084238101186,-0.9525217358223136,0.5785892125745454,
SOL,M5_brk0.5_both,2019+,-0.1404374434968534,-0.34907547595575766,0.05226877905205529,-0.5069962690188676,0.05614924174941622,0.9065,51,32,0.4375,-0.4312607958226772,-1.1228603689678294,0.20528649021568388,
SOL,FAST_up,2019+,0.019447988126360616,-0.15109754969155345,0.17474141395974732,-0.18229177004890662,0.1892664747730209,0.398,51,26,0.5,0.09733016340398082,-0.4478573293708179,0.6541501693829117,1.0011337056610197
SOL,M5_brk0.5_up,2019+,-0.03610731005974899,-0.18233876954249348,0.09920428992972821,-0.23719950629311773,0.09466413072823816,0.6745,51,16,0.5,-0.08485701980979565,-0.5270746196054588,0.3575551689324064,
SOL,FAST_down,2019+,-0.0817346713320738,-0.26520530828255223,0.09295801761962988,-0.37521028187890293,0.09856015605655473,0.815,51,26,0.46153846153846156,-0.2835385872140994,-0.8544663119807373,0.2589000637452988,
SOL,M5_brk0.5_down,2019+,-0.10526181181587152,-0.24854576395453162,0.02482737448121395,-0.36894411469381866,0.036038884609940536,0.912,51,18,0.4444444444444444,-0.3464037760128815,-0.8768062759911871,0.09942893127875681,
