asset,model,left_out,kind,dSharpe
BTC,M1_1close,2019,year,0.2803458867284112
BTC,M1_1close,2020,year,0.2964028907770738
BTC,M1_1close,2021,year,0.3009067406204997
BTC,M1_1close,2022,year,0.1613855703407696
BTC,M1_1close,2023,year,0.2037504223304174
BTC,M1_1close,2024,year,0.23279586925909812
BTC,M1_1close,2025,year,0.21552752902032668
BTC,M1_1close,2026,year,0.18804970941241717
BTC,M1_1close,2019-2020,cycle,0.3717720310759467
BTC,M1_1close,2021 bull,cycle,0.3009067406204997
BTC,M1_1close,2022 bear,cycle,0.1613855703407696
BTC,M1_1close,2023-2024Q1,cycle,0.2132024872279733
BTC,M1_1close,2024Q2+,cycle,0.14599925791686164
BTC,FAST_both,2019,year,0.2803458867284112
BTC,FAST_both,2020,year,0.2964028907770738
BTC,FAST_both,2021,year,0.3009067406204997
BTC,FAST_both,2022,year,0.1613855703407696
BTC,FAST_both,2023,year,0.2037504223304174
BTC,FAST_both,2024,year,0.23279586925909812
BTC,FAST_both,2025,year,0.21552752902032668
BTC,FAST_both,2026,year,0.18804970941241717
BTC,FAST_both,2019-2020,cycle,0.3717720310759467
BTC,FAST_both,2021 bull,cycle,0.3009067406204997
BTC,FAST_both,2022 bear,cycle,0.1613855703407696
BTC,FAST_both,2023-2024Q1,cycle,0.2132024872279733
BTC,FAST_both,2024Q2+,cycle,0.14599925791686164
BTC,M5_brk0.5_both,2019,year,0.2475800911074657
BTC,M5_brk0.5_both,2020,year,0.24555549595774695
BTC,M5_brk0.5_both,2021,year,0.2816913697856529
BTC,M5_brk0.5_both,2022,year,0.14500770636808413
BTC,M5_brk0.5_both,2023,year,0.22192819237767392
BTC,M5_brk0.5_both,2024,year,0.23145189218255569
BTC,M5_brk0.5_both,2025,year,0.196168249833778
BTC,M5_brk0.5_both,2026,year,0.15928456778033295
BTC,M5_brk0.5_both,2019-2020,cycle,0.29493658442205994
BTC,M5_brk0.5_both,2021 bull,cycle,0.2816913697856529
BTC,M5_brk0.5_both,2022 bear,cycle,0.14500770636808413
BTC,M5_brk0.5_both,2023-2024Q1,cycle,0.23256142275754665
BTC,M5_brk0.5_both,2024Q2+,cycle,0.13491177987550262
BTC,FAST_up,2019,year,0.11195046106108042
BTC,FAST_up,2020,year,0.11866171882277776
BTC,FAST_up,2021,year,0.10144152636584769
BTC,FAST_up,2022,year,0.09340566970565556
BTC,FAST_up,2023,year,0.03344024669925627
BTC,FAST_up,2024,year,0.09274661206214652
BTC,FAST_up,2025,year,0.08497910365659789
BTC,FAST_up,2026,year,0.06534027203757953
BTC,FAST_up,2019-2020,cycle,0.15852456622480382
BTC,FAST_up,2021 bull,cycle,0.10144152636584769
BTC,FAST_up,2022 bear,cycle,0.09340566970565556
BTC,FAST_up,2023-2024Q1,cycle,0.03593526673163083
BTC,FAST_up,2024Q2+,cycle,0.05890939070461387
BTC,M5_brk0.5_up,2019,year,0.08557315301760027
BTC,M5_brk0.5_up,2020,year,0.08644473798221664
BTC,M5_brk0.5_up,2021,year,0.08822027917728215
BTC,M5_brk0.5_up,2022,year,0.07943287505342655
BTC,M5_brk0.5_up,2023,year,0.04899013967331434
BTC,M5_brk0.5_up,2024,year,0.07433620385631667
BTC,M5_brk0.5_up,2025,year,0.06397276674233332
BTC,M5_brk0.5_up,2026,year,0.04178873824980878
BTC,M5_brk0.5_up,2019-2020,cycle,0.11003690469145144
BTC,M5_brk0.5_up,2021 bull,cycle,0.08822027917728215
BTC,M5_brk0.5_up,2022 bear,cycle,0.07943287505342655
BTC,M5_brk0.5_up,2023-2024Q1,cycle,0.052144064600869844
BTC,M5_brk0.5_up,2024Q2+,cycle,0.02767402101530969
BTC,FAST_down,2019,year,0.16780648687172794
BTC,FAST_down,2020,year,0.17702032482062846
BTC,FAST_down,2021,year,0.19931870779135297
BTC,FAST_down,2022,year,0.06778776641457651
BTC,FAST_down,2023,year,0.1706977538322232
BTC,FAST_down,2024,year,0.13978489113690307
BTC,FAST_down,2025,year,0.1302929311273444
BTC,FAST_down,2026,year,0.12242639556209944
BTC,FAST_down,2019-2020,cycle,0.21168354252350952
BTC,FAST_down,2021 bull,cycle,0.19931870779135297
BTC,FAST_down,2022 bear,cycle,0.06778776641457651
BTC,FAST_down,2023-2024Q1,cycle,0.1776713493917227
BTC,FAST_down,2024Q2+,cycle,0.08685015876323265
BTC,M5_brk0.5_down,2019,year,0.1615078467362301
BTC,M5_brk0.5_down,2020,year,0.15847693640201788
BTC,M5_brk0.5_down,2021,year,0.1930971700482751
BTC,M5_brk0.5_down,2022,year,0.06545177394976176
BTC,M5_brk0.5_down,2023,year,0.17285850015507043
BTC,M5_brk0.5_down,2024,year,0.15687130665183258
BTC,M5_brk0.5_down,2025,year,0.13193307695919065
BTC,M5_brk0.5_down,2026,year,0.1172659201835573
BTC,M5_brk0.5_down,2019-2020,cycle,0.18373910079955602
BTC,M5_brk0.5_down,2021 bull,cycle,0.1930971700482751
BTC,M5_brk0.5_down,2022 bear,cycle,0.06545177394976176
BTC,M5_brk0.5_down,2023-2024Q1,cycle,0.18031308876660368
BTC,M5_brk0.5_down,2024Q2+,cycle,0.10718052315131144
