asset,model,kind,min,max,share_positive
BTC,FAST_both,cycle,0.14599925791686164,0.3717720310759467,1.0
BTC,FAST_both,year,0.1613855703407696,0.3009067406204997,1.0
BTC,FAST_down,cycle,0.06778776641457651,0.21168354252350952,1.0
BTC,FAST_down,year,0.06778776641457651,0.19931870779135297,1.0
BTC,FAST_up,cycle,0.03593526673163083,0.15852456622480382,1.0
BTC,FAST_up,year,0.03344024669925627,0.11866171882277776,1.0
BTC,M1_1close,cycle,0.14599925791686164,0.3717720310759467,1.0
BTC,M1_1close,year,0.1613855703407696,0.3009067406204997,1.0
BTC,M5_brk0.5_both,cycle,0.13491177987550262,0.29493658442205994,1.0
BTC,M5_brk0.5_both,year,0.14500770636808413,0.2816913697856529,1.0
BTC,M5_brk0.5_down,cycle,0.06545177394976176,0.1930971700482751,1.0
BTC,M5_brk0.5_down,year,0.06545177394976176,0.1930971700482751,1.0
BTC,M5_brk0.5_up,cycle,0.02767402101530969,0.11003690469145144,1.0
BTC,M5_brk0.5_up,year,0.04178873824980878,0.08822027917728215,1.0
ETH,FAST_both,cycle,-0.1967465825695378,-0.008728210869047515,0.0
ETH,FAST_both,year,-0.14398924948727798,-0.06830571460982282,0.0
ETH,FAST_down,cycle,-0.16962643426183166,-0.1010054915927806,0.0
ETH,FAST_down,year,-0.15917479737985318,-0.11245892226464782,0.0
ETH,FAST_up,cycle,-0.028297942328258108,0.08732336670657248,0.8
ETH,FAST_up,year,0.00923055724291244,0.06991403103421834,1.0
ETH,M1_1close,cycle,-0.1967465825695378,-0.008728210869047515,0.0
ETH,M1_1close,year,-0.14398924948727798,-0.06830571460982282,0.0
ETH,M5_brk0.5_both,cycle,-0.033589192853931804,0.10817889377972656,0.8
ETH,M5_brk0.5_both,year,-0.009780865809650985,0.06282349286862221,0.875
ETH,M5_brk0.5_down,cycle,-0.05413248843370866,0.014564326332947242,0.2
ETH,M5_brk0.5_down,year,-0.05413248843370866,-0.006959841217832774,0.0
ETH,M5_brk0.5_up,cycle,0.016289912361086678,0.0917939118775487,1.0
ETH,M5_brk0.5_up,year,0.029417106887962063,0.08225206550400743,1.0
SOL,FAST_both,cycle,-0.21332551729367077,-0.013167376085504556,0.0
SOL,FAST_both,year,-0.12382956048356641,-0.013167376085504556,0.0
SOL,FAST_down,cycle,-0.13304649094704984,-0.03630376245112288,0.0
SOL,FAST_down,year,-0.1401046092726842,-0.028884464161285095,0.0
SOL,FAST_up,cycle,-0.12074267667425165,0.0925535234859639,0.8
SOL,FAST_up,year,-0.05291225144192102,0.07310513253961008,0.8333333333333334
SOL,M1_1close,cycle,-0.21332551729367077,-0.013167376085504556,0.0
SOL,M1_1close,year,-0.12382956048356641,-0.013167376085504556,0.0
SOL,M5_brk0.5_both,cycle,-0.22515591040480598,-0.11542071521436748,0.0
SOL,M5_brk0.5_both,year,-0.18501321036983964,-0.11529942693646716,0.0
SOL,M5_brk0.5_down,cycle,-0.13595020101841748,-0.0756943895772913,0.0
SOL,M5_brk0.5_down,year,-0.12842639126319688,-0.0756943895772913,0.0
SOL,M5_brk0.5_up,cycle,-0.12074267667425165,-0.002588843155170384,0.0
SOL,M5_brk0.5_up,year,-0.08376493958826026,-0.002588843155170384,0.0
