asset,system,exposure,model,oos_start,oos_end,n,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,WorstDay,Skew
BTC,GERHARD_SMA120,long_flat,M0_3close,2019-01-01,2026-09-14,2814,0.49154231886758115,0.45089726063078345,1.1108681624321495,1.2464210220833671,-0.4834073664778906,1.0168283583449749,-0.14330211183137698,0.5957810991640788
BTC,GERHARD_SMA120,long_flat,M1_1close,2019-01-01,2026-09-14,2814,0.6494277430647204,0.4461830532261837,1.343121793994991,1.5506453147991133,-0.34805486480220493,1.865877505932238,-0.1367749531229694,0.7408064932078811
BTC,GERHARD_SMA120,long_flat,M2_2close,2019-01-01,2026-09-14,2814,0.5801923329801244,0.4483062580076695,1.243250451150337,1.4214171777330435,-0.3878759998948076,1.4958191100699019,-0.1367749531229694,0.696044099851696
BTC,GERHARD_SMA120,long_flat,M3_linear,2019-01-01,2026-09-14,2814,0.5752691807591059,0.4457184858286711,1.2408309544547445,1.4318237000454963,-0.39180415861443896,1.4682569546823228,-0.1367749531229694,0.7168707118132887
BTC,GERHARD_SMA120,long_flat,M4_strength,2019-01-01,2026-09-14,2814,0.5957316128120869,0.4499499551558357,1.2624118937743374,1.4221608060102073,-0.46432762769399627,1.282998420254866,-0.14330211183137698,0.613479123609243
BTC,GERHARD_SMA120,long_flat,M5_override,2019-01-01,2026-09-14,2814,0.6355313329111314,0.4460211315312969,1.3244873107237662,1.5206598744359183,-0.32992365254775535,1.9262981844538725,-0.1367749531229694,0.733028409053843
BTC,GERHARD_SMA120,long_flat,M6_probability,2019-01-01,2026-09-14,2814,0.5414826171911713,0.4499510996485193,1.1854814121970676,1.335676536279374,-0.4834073664778906,1.1201372894592347,-0.14330211183137698,0.609186151702431
BTC,GERHARD_SMA120,long_short,M0_3close,2019-01-01,2026-09-14,2814,0.15469570555265766,0.6195540460039742,0.5393492754819972,0.7576650254129269,-0.6906745237446252,0.22397772066927418,-0.16643230640130977,0.6172993858239221
BTC,GERHARD_SMA120,long_short,M1_1close,2019-01-01,2026-09-14,2814,0.40611327687604426,0.6192483702479467,0.8570127577803042,1.2268622347968121,-0.6321038217411828,0.6424787557166974,-0.16643230640130977,0.685456931401846
BTC,GERHARD_SMA120,long_short,M2_2close,2019-01-01,2026-09-14,2814,0.2928522180500486,0.6192979198349138,0.7214487685169481,1.0264740133175867,-0.599920035635858,0.4881520880356215,-0.16643230640130977,0.670731259800413
BTC,GERHARD_SMA120,long_short,M3_linear,2019-01-01,2026-09-14,2814,0.2881583033577415,0.611382223952422,0.7169649770553502,1.0135850804071294,-0.6135590082544728,0.4696505136116072,-0.16643230640130977,0.6812932418048038
BTC,GERHARD_SMA120,long_short,M4_strength,2019-01-01,2026-09-14,2814,0.32218451253779734,0.6177423652565334,0.7584426953540241,1.0646293283927437,-0.6111320541633836,0.5271929533770825,-0.16643230640130977,0.6151441999704685
BTC,GERHARD_SMA120,long_short,M5_override,2019-01-01,2026-09-14,2814,0.38250258841199614,0.6191752241336654,0.8297058744902354,1.1843265812281332,-0.6045861342590657,0.6326684763962738,-0.16643230640130977,0.681975876128762
BTC,GERHARD_SMA120,long_short,M6_probability,2019-01-01,2026-09-14,2814,0.23363119194111004,0.6178996004230218,0.6461654767962317,0.9074203500055985,-0.6371844396454098,0.3666617974398821,-0.16643230640130977,0.6197417170900649
BTC,LL3_k0.30,long_flat,M0_3close,2019-01-01,2026-09-14,2814,0.45185761760822696,0.4188443881329596,1.098160676449769,1.1196465707892054,-0.42127018027633545,1.0726076488770875,-0.1367749531229694,0.7341999637969935
BTC,LL3_k0.30,long_flat,M1_1close,2019-01-01,2026-09-14,2814,0.5272443196119228,0.4212366291939101,1.2143852988263113,1.2492425521905721,-0.3509456496195815,1.502353199657684,-0.1367749531229694,0.7883218020087477
BTC,LL3_k0.30,long_flat,M2_2close,2019-01-01,2026-09-14,2814,0.4743788721743112,0.4207061197152774,1.1317259773962616,1.1550252664468015,-0.4318990848322828,1.098355816981007,-0.1367749531229694,0.74195136702815
BTC,LL3_k0.30,long_flat,M3_linear,2019-01-01,2026-09-14,2814,0.485327851308778,0.4183432029826127,1.1534599570222597,1.185397908847073,-0.3968790908792721,1.222860721217514,-0.1367749531229694,0.7495632943650659
BTC,LL3_k0.30,long_flat,M4_strength,2019-01-01,2026-09-14,2814,0.48491697462744976,0.41961268968193804,1.150513259952682,1.1810325937471107,-0.42127018027633545,1.151083075259124,-0.1367749531229694,0.764756312875458
BTC,LL3_k0.30,long_flat,M5_override,2019-01-01,2026-09-14,2814,0.48674888369078495,0.4174192453382518,1.1573741644149218,1.1796662961276574,-0.3804282049172878,1.2794763306170036,-0.1367749531229694,0.7568172678548988
BTC,LL3_k0.30,long_flat,M6_probability,2019-01-01,2026-09-14,2814,0.463932686989897,0.42040061644279825,1.1153196118731423,1.141926808212753,-0.4446130764053158,1.043452636932723,-0.1367749531229694,0.7421108125583261
BTC,LL3_k0.30,long_short,M0_3close,2019-01-01,2026-09-14,2814,0.08496909693937393,0.55177130251954,0.42398001435711485,0.5283531162088968,-0.8073596798185821,0.10524317607545985,-0.16643230640130977,0.06842120676718112
BTC,LL3_k0.30,long_short,M1_1close,2019-01-01,2026-09-14,2814,0.2041890881927324,0.5519817583357715,0.6124644696051911,0.7778508411713779,-0.6897889829578975,0.29601674314533877,-0.16643230640130977,0.14665884461615922
BTC,LL3_k0.30,long_short,M2_2close,2019-01-01,2026-09-14,2814,0.14039130089098695,0.5506516663605114,0.5139067583300316,0.6480775573235846,-0.7197541953069602,0.19505450861750515,-0.16643230640130977,0.11814975618980311
BTC,LL3_k0.30,long_short,M3_linear,2019-01-01,2026-09-14,2814,0.1442695398876246,0.5481332965229598,0.5199420102195489,0.6601288581411416,-0.7426535818263353,0.19426222860574727,-0.16643230640130977,0.11810414925207914
BTC,LL3_k0.30,long_short,M4_strength,2019-01-01,2026-09-14,2814,0.131738713071065,0.5527966675831049,0.5004153819398793,0.6280809044282869,-0.8073596798185821,0.16317227174469173,-0.16643230640130977,0.09435908530652772
BTC,LL3_k0.30,long_short,M5_override,2019-01-01,2026-09-14,2814,0.10840913642568828,0.5505976911377856,0.4624671429706955,0.5782319305508095,-0.8038145299663848,0.13486834634629197,-0.16643230640130977,0.07884829303660258
BTC,LL3_k0.30,long_short,M6_probability,2019-01-01,2026-09-14,2814,0.11061837478595238,0.5521707662903561,0.46633126163933764,0.5842562680069274,-0.8073596798185821,0.13701250824268174,-0.16643230640130977,0.077999305524886
BTC,LL2_k0.30,long_flat,M0_3close,2019-01-01,2026-09-14,2814,0.3450828310598686,0.48244001630303684,0.8617875371942764,0.8551562086661241,-0.6608193441553727,0.5222044937273087,-0.3881242874509483,-0.791450306178138
BTC,LL2_k0.30,long_flat,M1_1close,2019-01-01,2026-09-14,2814,0.3827531706877274,0.4837526776032377,0.9176531775781956,0.9199823306341821,-0.6477343881209379,0.5909106845447643,-0.3881242874509483,-0.7261566590151196
BTC,LL2_k0.30,long_flat,M2_2close,2019-01-01,2026-09-14,2814,0.34043876249727445,0.4835912798926327,0.8536808946017862,0.8489097634238203,-0.6467136917497469,0.5264134142207261,-0.3881242874509483,-0.7727784444751049
BTC,LL2_k0.30,long_flat,M3_linear,2019-01-01,2026-09-14,2814,0.3570165187931602,0.48162590124516746,0.8807060357275904,0.879914045094435,-0.6438830378944798,0.5544741789760712,-0.3881242874509483,-0.7779849133218261
BTC,LL2_k0.30,long_flat,M4_strength,2019-01-01,2026-09-14,2814,0.3450828310598686,0.48244001630303684,0.8617875371942764,0.8551562086661241,-0.6608193441553727,0.5222044937273087,-0.3881242874509483,-0.791450306178138
BTC,LL2_k0.30,long_flat,M5_override,2019-01-01,2026-09-14,2814,0.32133621455820593,0.4817421440570572,0.8253332056290135,0.8169155948335588,-0.6608193441553727,0.48626938269932507,-0.3881242874509483,-0.7915449477797559
BTC,LL2_k0.30,long_flat,M6_probability,2019-01-01,2026-09-14,2814,0.3450828310598686,0.48244001630303684,0.8617875371942764,0.8551562086661241,-0.6608193441553727,0.5222044937273087,-0.3881242874509483,-0.791450306178138
BTC,LL2_k0.30,long_short,M0_3close,2019-01-01,2026-09-14,2814,-0.02884635100364019,0.6196636070546437,0.2687040228340059,0.34606484698575585,-0.8689169347979309,-0.03319805363253565,-0.3881785174509483,-0.5456135010562101
BTC,LL2_k0.30,long_short,M1_1close,2019-01-01,2026-09-14,2814,0.02607390638389795,0.619680450046117,0.35710644338187947,0.46542225012903543,-0.830567184817067,0.031392892544437265,-0.3881785174509483,-0.49591519513759924
BTC,LL2_k0.30,long_short,M2_2close,2019-01-01,2026-09-14,2814,-0.0353658348150141,0.61990015438581,0.2578894648918858,0.33294799669764846,-0.857301616330677,-0.041252499868579325,-0.3881785174509483,-0.5314363982768755
BTC,LL2_k0.30,long_short,M3_linear,2019-01-01,2026-09-14,2814,-0.009938950655598577,0.6146501072793811,0.29700979991760007,0.3839739119437336,-0.8519241730349135,-0.011666473343738845,-0.3881785174509483,-0.5290258791654305
BTC,LL2_k0.30,long_short,M4_strength,2019-01-01,2026-09-14,2814,-0.02884635100364019,0.6196636070546437,0.2687040228340059,0.34606484698575585,-0.8689169347979309,-0.03319805363253565,-0.3881785174509483,-0.5456135010562101
BTC,LL2_k0.30,long_short,M5_override,2019-01-01,2026-09-14,2814,-0.045387516014890994,0.6197176563739958,0.2410103700845316,0.31061718563818946,-0.8689169347979309,-0.05223458560563789,-0.3881785174509483,-0.5424284118552942
BTC,LL2_k0.30,long_short,M6_probability,2019-01-01,2026-09-14,2814,-0.02884635100364019,0.6196636070546437,0.2687040228340059,0.34606484698575585,-0.8689169347979309,-0.03319805363253565,-0.3881785174509483,-0.5456135010562101
ETH,GERHARD_SMA120,long_flat,M0_3close,2019-01-01,2026-09-14,2814,0.4860874338985892,0.629478504327714,0.952118769552238,0.9531821652255195,-0.6608036765873619,0.7356003774206086,-0.4332254252093932,-0.5077590324580379
ETH,GERHARD_SMA120,long_flat,M1_1close,2019-01-01,2026-09-14,2814,0.3793660160671428,0.6093486952878282,0.8423595842395538,0.8315541291434221,-0.7073173206942802,0.5363448695060502,-0.4332254252093932,-0.8666457885463825
ETH,GERHARD_SMA120,long_flat,M2_2close,2019-01-01,2026-09-14,2814,0.47875091957422455,0.6287961189621538,0.9444571182386329,0.9471391478407196,-0.6612271380234993,0.724033984759425,-0.4332254252093932,-0.48778439491286896
ETH,GERHARD_SMA120,long_flat,M3_linear,2019-01-01,2026-09-14,2814,0.4357798516350715,0.6140681363523212,0.9055090632839826,0.9043077511290486,-0.6749009854415133,0.645694495985939,-0.4332254252093932,-0.7808315561551655
ETH,GERHARD_SMA120,long_flat,M4_strength,2019-01-01,2026-09-14,2814,0.5115750241767614,0.6303555232679731,0.9786541635856171,0.9816544818665154,-0.6608036765873619,0.7741709713522278,-0.4332254252093932,-0.5043653273916895
ETH,GERHARD_SMA120,long_flat,M5_override,2019-01-01,2026-09-14,2814,0.489716317395005,0.6240290247195736,0.9594642263500468,0.9555167580431478,-0.6608036765873617,0.7410919986463815,-0.4332254252093932,-0.6242352309463989
ETH,GERHARD_SMA120,long_flat,M6_probability,2019-01-01,2026-09-14,2814,0.5181216645434057,0.6304487531187578,0.9854673555336853,0.9891953152815294,-0.6608036765873619,0.7840780596427374,-0.4332254252093932,-0.5049927160228005
ETH,GERHARD_SMA120,long_short,M0_3close,2019-01-01,2026-09-14,2814,0.051526768933894296,0.8116846955816273,0.47692791959111713,0.6264860917668387,-0.851276285803984,0.06052884332990678,-0.4342345952093932,-0.44754673506415904
ETH,GERHARD_SMA120,long_short,M1_1close,2019-01-01,2026-09-14,2814,-0.11960960753628924,0.8121118208270274,0.26176899958468197,0.3333524005654384,-0.9012876595443748,-0.1327096918166561,-0.4342345952093932,-0.7112646172284217
ETH,GERHARD_SMA120,long_short,M2_2close,2019-01-01,2026-09-14,2814,0.0394893604863511,0.8119451898179142,0.46265133747849796,0.6104390757293913,-0.8659944499110134,0.045600015670318544,-0.4342345952093932,-0.4286676489944172
ETH,GERHARD_SMA120,long_short,M3_linear,2019-01-01,2026-09-14,2814,-0.02015165831080412,0.7891027166356595,0.3794273345803777,0.4904698085630166,-0.8703786602689723,-0.023152748603207568,-0.4342345952093932,-0.6206461771703861
ETH,GERHARD_SMA120,long_short,M4_strength,2019-01-01,2026-09-14,2814,0.08881566318471035,0.811608016320236,0.5198151727256601,0.6828945268910526,-0.8451740714451685,0.10508564588694004,-0.4342345952093932,-0.4487707760885304
ETH,GERHARD_SMA120,long_short,M5_override,2019-01-01,2026-09-14,2814,0.04763703832707922,0.8117445139132727,0.47360469689624823,0.6144777925682778,-0.8451740714451694,0.05636358229213574,-0.4342345952093932,-0.5490299544931837
ETH,GERHARD_SMA120,long_short,M6_probability,2019-01-01,2026-09-14,2814,0.09864894985463746,0.8112198558120736,0.5307562496561332,0.6969354963380995,-0.8340617226573184,0.11827535921483386,-0.4342345952093932,-0.4497792440344193
ETH,LL3_k0.30,long_flat,M0_3close,2019-01-01,2026-09-14,2814,0.5622384227310402,0.5847737611458942,1.0637143141400418,0.9348804607554615,-0.6146994096482344,0.9146558690413981,-0.4332254252093932,-0.6076624313557424
ETH,LL3_k0.30,long_flat,M1_1close,2019-01-01,2026-09-14,2814,0.4961335849142585,0.5829853512236116,0.9909437110655418,0.8741731973776273,-0.6146994096482346,0.807115766059014,-0.4332254252093932,-0.609319405403689
ETH,LL3_k0.30,long_flat,M2_2close,2019-01-01,2026-09-14,2814,0.507263143438883,0.5828987684716068,1.0038061488080479,0.8815881421704994,-0.6176686094430373,0.8212545298299864,-0.4332254252093932,-0.6224719636253538
ETH,LL3_k0.30,long_flat,M3_linear,2019-01-01,2026-09-14,2814,0.5230046963287331,0.5819680354020577,1.0223089530059335,0.9030279070292168,-0.6146994096482346,0.8508299961244891,-0.4332254252093932,-0.6197880672454066
ETH,LL3_k0.30,long_flat,M4_strength,2019-01-01,2026-09-14,2814,0.5441995071953674,0.5851177074099044,1.0435489046658921,0.9195627990365638,-0.6146994096482344,0.8853099558152966,-0.4332254252093932,-0.6032196380838928
ETH,LL3_k0.30,long_flat,M5_override,2019-01-01,2026-09-14,2814,0.5536190745894609,0.5849091197478816,1.0541295255387213,0.9281912772599279,-0.6146994096482343,0.9006338153249129,-0.4332254252093932,-0.6059694421535881
ETH,LL3_k0.30,long_flat,M6_probability,2019-01-01,2026-09-14,2814,0.5469569303362831,0.5849507801339603,1.0467506873416903,0.9223078269907231,-0.6146994096482344,0.8897957631833137,-0.4332254252093932,-0.606985641747466
ETH,LL3_k0.30,long_short,M0_3close,2019-01-01,2026-09-14,2814,0.004080294958061392,0.7453292225613125,0.3877980049683551,0.4476583127434645,-0.870036169143305,0.004689799232230909,-0.4342345952093932,-0.5575795239990277
ETH,LL3_k0.30,long_short,M1_1close,2019-01-01,2026-09-14,2814,0.03715700869961269,0.7453480816697082,0.43087064809097814,0.5012004716098517,-0.8316410829128561,0.0446791403924741,-0.4342345952093932,-0.5210186056978411
ETH,LL3_k0.30,long_short,M2_2close,2019-01-01,2026-09-14,2814,-0.009898083039094008,0.7430445030701038,0.36785330416242135,0.42417950935197507,-0.8748815125406639,-0.011313626928005239,-0.4342345952093932,-0.5634833525150131
ETH,LL3_k0.30,long_short,M3_linear,2019-01-01,2026-09-14,2814,0.013423368867420349,0.74057654606371,0.3976694673239788,0.4640177563860157,-0.8578044421582257,0.01564851871557964,-0.4342345952093932,-0.5380918930659983
ETH,LL3_k0.30,long_short,M4_strength,2019-01-01,2026-09-14,2814,0.0233130561103716,0.7476842874526411,0.4141664298574852,0.48125993850719756,-0.8503020739179985,0.02741738121718361,-0.4342345952093932,-0.5396063545784995
ETH,LL3_k0.30,long_short,M5_override,2019-01-01,2026-09-14,2814,-0.006312257560702639,0.7466177978853425,0.37442766503068864,0.4340457094605511,-0.8734629143394435,-0.0072267035692938205,-0.4342345952093932,-0.5480610587447154
ETH,LL3_k0.30,long_short,M6_probability,2019-01-01,2026-09-14,2814,0.03909277395568611,0.743236752087357,0.43240380733178807,0.5044671631266654,-0.8312626459689962,0.04702818555032745,-0.4342345952093932,-0.5191811007437152
ETH,LL2_k0.30,long_flat,M0_3close,2019-01-01,2026-09-14,2814,0.2821763976938976,0.6249467841453449,0.7185164479695599,0.7089088370033764,-0.7955098978602243,0.3547113599125546,-0.4332254252093932,-0.5768186019482793
ETH,LL2_k0.30,long_flat,M1_1close,2019-01-01,2026-09-14,2814,0.28298180033115927,0.6210186439887108,0.7201912176769071,0.7103914269923693,-0.7743266146019848,0.3654553453217103,-0.4332254252093932,-0.6004879154136391
ETH,LL2_k0.30,long_flat,M2_2close,2019-01-01,2026-09-14,2814,0.2870346843790541,0.6247114634352523,0.724616547382869,0.7143731442655249,-0.8031522353114942,0.3573851528505436,-0.4332254252093932,-0.5788702749054977
ETH,LL2_k0.30,long_flat,M3_linear,2019-01-01,2026-09-14,2814,0.2855395983508897,0.6216964449096681,0.7232696763868046,0.7166201738088048,-0.7904417352173272,0.3612405388391876,-0.4332254252093932,-0.5955253583914815
