test_year,M5_feature,M5_threshold,M5_train_sharpe,M4_feature,M4_p_star,M4_p2,M6_cutoff,M6_features,n_train_events,asset,system,exposure
2019,brk_vol,0.5,1.6829061279798552,,,,,,18,BTC,GERHARD_SMA120,long_flat
2020,brk_vol,0.5,1.7339202922038515,,,,,,21,BTC,GERHARD_SMA120,long_flat
2021,brk_vol,0.5,1.8350748108290198,,,,,,27,BTC,GERHARD_SMA120,long_flat
2022,brk_vol,0.5,1.7459935404078986,,,,,,29,BTC,GERHARD_SMA120,long_flat
2023,brk_vol,0.5,1.6020422702132924,brk_vol,0.5840334351573442,0.9259259259259259,,,34,BTC,GERHARD_SMA120,long_flat
2024,brk_vol,0.5,1.587232699525855,brk_vol,0.5347417994326343,0.9375,,,41,BTC,GERHARD_SMA120,long_flat
2025,brk_vol,0.5,1.5732952031893157,brk_vol,0.4798841755655406,0.926829268292683,0.4,"ret_z20,brk_vol,trend_agree_share,vol_pct",52,BTC,GERHARD_SMA120,long_flat
2026,brk_vol,0.5,1.4905050838495981,brk_vol,0.4310974853146812,0.9,0.4,"ret_z20,brk_vol,trend_agree_share,vol_pct",63,BTC,GERHARD_SMA120,long_flat
2019,brk_vol,0.5,1.517655020050133,,,,,,18,BTC,GERHARD_SMA120,long_short
2020,brk_vol,0.5,1.5998760155962,,,,,,21,BTC,GERHARD_SMA120,long_short
2021,brk_vol,0.5,1.4345518632817935,,,,,,27,BTC,GERHARD_SMA120,long_short
2022,brk_vol,0.5,1.3344145904556908,,,,,,29,BTC,GERHARD_SMA120,long_short
2023,brk_vol,0.5,1.3042404867914075,brk_vol,0.5840334351573442,0.9259259259259259,,,34,BTC,GERHARD_SMA120,long_short
2024,brk_vol,0.5,1.215423941771543,brk_vol,0.5347417994326343,0.9375,,,41,BTC,GERHARD_SMA120,long_short
2025,brk_vol,0.5,1.1622947129417782,brk_vol,0.4798841755655406,0.926829268292683,0.4,"ret_z20,brk_vol,trend_agree_share,vol_pct",52,BTC,GERHARD_SMA120,long_short
2026,brk_vol,0.5,1.101743120804847,brk_vol,0.4310974853146812,0.9,0.4,"ret_z20,brk_vol,trend_agree_share,vol_pct",63,BTC,GERHARD_SMA120,long_short
2019,ret_z20,0.5,1.6628771123835748,,,,,,22,BTC,LL3_k0.30,long_flat
2020,ret_z20,0.5,1.7053757850526974,,,,,,28,BTC,LL3_k0.30,long_flat
2021,ret_z20,0.5,1.7205386744687197,ret_z20,0.05,0.972972972972973,,,38,BTC,LL3_k0.30,long_flat
2022,ret_z20,0.5,1.5772705708233337,brk_vol,0.05,0.9767441860465116,0.4,"ret_z20,brk_vol,trend_agree_share,vol_pct",44,BTC,LL3_k0.30,long_flat
2023,ret_z20,0.5,1.4640755854279504,brk_vol,0.05,0.9803921568627451,0.4,"ret_z20,brk_vol,trend_agree_share,vol_pct",52,BTC,LL3_k0.30,long_flat
2024,ret_z20,0.5,1.4494304164509149,brk_vol,0.05,0.9830508474576272,0.4,"ret_z20,brk_vol,trend_agree_share,vol_pct",60,BTC,LL3_k0.30,long_flat
2025,ret_z20,0.5,1.4725227659421636,brk_vol,0.05,0.9855072463768116,0.4,"ret_z20,brk_vol,trend_agree_share,vol_pct",70,BTC,LL3_k0.30,long_flat
2026,ret_z20,0.5,1.397929409389315,brk_vol,0.05,0.987012987012987,0.4,"ret_z20,brk_vol,trend_agree_share,vol_pct",78,BTC,LL3_k0.30,long_flat
2019,ret_z20,3.0,1.2839590495147732,,,,,,22,BTC,LL3_k0.30,long_short
2020,ret_z20,3.0,1.2733395576779425,,,,,,28,BTC,LL3_k0.30,long_short
2021,ret_z20,0.5,1.058016394521206,brk_vol,0.05,0.972972972972973,,,38,BTC,LL3_k0.30,long_short
2022,ret_z20,0.5,0.9241060906935261,brk_vol,0.05,0.9767441860465116,0.4,"ret_z20,brk_vol,trend_agree_share,vol_pct",44,BTC,LL3_k0.30,long_short
2023,ret_z20,0.5,0.9302727184543393,brk_vol,0.05,0.9803921568627451,0.4,"ret_z20,brk_vol,trend_agree_share,vol_pct",52,BTC,LL3_k0.30,long_short
2024,ret_z20,0.5,0.8883620162217967,brk_vol,0.05,0.9830508474576272,0.4,"ret_z20,brk_vol,trend_agree_share,vol_pct",60,BTC,LL3_k0.30,long_short
2025,ret_z20,0.5,0.8672503489186332,brk_vol,0.05,0.9855072463768116,0.4,"ret_z20,brk_vol,trend_agree_share,vol_pct",70,BTC,LL3_k0.30,long_short
2026,ret_z20,0.5,0.8226656413927407,brk_vol,0.05,0.987012987012987,0.4,"ret_z20,brk_vol,trend_agree_share,vol_pct",78,BTC,LL3_k0.30,long_short
2019,ret_z20,0.5,1.6209774798571597,,,,,,3,BTC,LL2_k0.30,long_flat
2020,ret_z20,0.5,1.5751640783393133,,,,,,5,BTC,LL2_k0.30,long_flat
2021,ret_z20,0.5,1.519269435326075,,,,,,8,BTC,LL2_k0.30,long_flat
2022,ret_z20,0.5,1.3769423431534453,,,,,,10,BTC,LL2_k0.30,long_flat
2023,ret_z20,1.0,1.2522368500747814,,,,,,13,BTC,LL2_k0.30,long_flat
2024,ret_z20,1.0,1.2479797348022033,,,,,,16,BTC,LL2_k0.30,long_flat
2025,ret_z20,1.0,1.2721589403910718,,,,,,18,BTC,LL2_k0.30,long_flat
2026,ret_z20,3.0,1.1969417513103615,,,,,,21,BTC,LL2_k0.30,long_flat
2019,ret_z20,0.5,1.5181935176657002,,,,,,3,BTC,LL2_k0.30,long_short
2020,ret_z20,0.5,1.4272009334566327,,,,,,5,BTC,LL2_k0.30,long_short
2021,ret_z20,0.5,1.1143151462722511,,,,,,8,BTC,LL2_k0.30,long_short
2022,ret_z20,2.0,0.9067102099439367,,,,,,10,BTC,LL2_k0.30,long_short
2023,ret_z20,2.0,0.9173813123253993,,,,,,13,BTC,LL2_k0.30,long_short
2024,ret_z20,2.0,0.8277710807058247,,,,,,16,BTC,LL2_k0.30,long_short
2025,ret_z20,3.0,0.8242340111706009,,,,,,18,BTC,LL2_k0.30,long_short
2026,ret_z20,3.0,0.7802372354966818,,,,,,21,BTC,LL2_k0.30,long_short
