ts,asset,funding_received,premium_gain,cost,net,cluster
2024-12-07,1000000MOGUSDT,0.00850475,-0.00065234,0.012,-0.00414759,2024-12
2025-09-12,1000000MOGUSDT,0.00254605,0.0006458799999999999,0.02,-0.01680807,2025-09
2024-02-29,1000BONKUSDT,0.02109241,0.00155106,0.012,0.010643469999999999,2024-02
2024-03-05,1000BONKUSDT,0.011632700000000001,-0.00090655,0.012,-0.00127385,2024-03
2024-11-12,1000BONKUSDT,0.00375085,0.0006649500000000001,0.008,-0.0035842,2024-11
2024-11-17,1000BONKUSDT,0.0031145500000000002,0.00048823,0.008,-0.00439722,2024-11
2024-12-05,1000BONKUSDT,0.0052432,0.0009429,0.008,-0.0018139000000000002,2024-12
2024-12-03,1000CATUSDT,0.01144845,-0.0005976099999999999,0.012,-0.0011491599999999998,2024-12
2025-05-14,1000CHEEMSUSDT,0.0022322500000000003,-0.00040488000000000015,0.02,-0.018172630000000002,2025-05
2025-05-20,1000CHEEMSUSDT,0.0017947099999999997,0.00067242,0.02,-0.01753287,2025-05
2024-03-09,1000FLOKIUSDT,0.011464990000000001,0.00043647999999999994,0.02,-0.00809853,2024-03
2023-01-14,1000LUNCUSDT,0.00156582,0.00109639,0.012,-0.00933779,2023-01
2023-12-09,1000LUNCUSDT,0.0045822,-0.00031952999999999994,0.008,-0.0037373300000000005,2023-12
2023-12-15,1000LUNCUSDT,0.00411022,-0.00037020999999999994,0.008,-0.00425999,2023-12
2023-12-28,1000LUNCUSDT,0.009640609999999999,0.00019912,0.008,0.0018397299999999995,2023-12
2024-01-02,1000LUNCUSDT,0.0012863599999999998,0.00104484,0.008,-0.0056688,2024-01
2024-03-09,1000LUNCUSDT,0.014265749999999999,-0.00053729,0.012,0.0017284599999999994,2024-03
2024-03-14,1000LUNCUSDT,0.005733449999999999,0.00200308,0.012,-0.004263470000000001,2024-03
2023-11-02,1000PEPEUSDT,0.00438281,0.00022619,0.008,-0.003391,2023-11
2023-11-07,1000PEPEUSDT,0.0057468,-0.00056195,0.008,-0.0028151500000000006,2023-11
2023-11-25,1000PEPEUSDT,0.00209659,-0.00021119,0.008,-0.0061145999999999995,2023-11
2023-12-03,1000PEPEUSDT,0.006686019999999999,0.0006160299999999999,0.008,-0.000697950000000001,2023-12
2023-12-09,1000PEPEUSDT,0.00256415,-0.00127243,0.008,-0.0067082800000000005,2023-12
2023-12-24,1000PEPEUSDT,0.00878931,-0.0006184300000000001,0.008,0.00017088,2023-12
