signal,n,control_coverage,n_matched,raw_gross_mean,matched_signal_gross_mean,matched_control_gross_mean,excess_mean,excess_lo,excess_hi,excess_p,excess_lo_fixed_control,excess_hi_fixed_control,smd_log_adv,smd_beta,smd_year,smd_bull,smd_high_vol,top5_share,mean_ex_top5,mean_winsor5,window
C1_funding_interval_shortened,114,0.6929824561403509,79,0.16593106458089776,0.1652900229665853,0.012810041479184206,0.1524799814874011,-0.0022594061580985363,0.33888150537132955,0.057,-0.0006131307927116077,0.34167910881564245,-1.407566719321282,-0.28561410333639614,0.7592611494624734,-0.4688304720943201,0.2486182830540627,0.8132485409758925,0.030413307106942455,0.09030766381835276,OOS
CB1_coinbase_premium_high_long_BTC,9,0.4444444444444444,4,-0.0009873668914368212,-0.008475079686144221,0.005060284484378705,,,,,,,,,,,,,,,OOS
CB2_coinbase_premium_low_short_BTC,27,0.4074074074074074,11,0.013972935904813324,0.01573160575804302,-0.0006508101419461028,,,,,,,,,,,,1.3737677219217068,-0.005492164472824115,0.01104642911203466,OOS
F1_extreme_pos_funding_short,649,0.35285053929121724,229,0.01768336600738749,0.0061667242066290205,-0.012223961844692545,0.01839068605132157,-0.027955540748006352,0.058966763959677475,0.431,-0.02752301307893287,0.061890929011076956,-1.4649429585884286,0.10080292923795212,0.07589570288569332,0.24148398836511784,-0.07638686833465733,0.8659577264998977,0.0009209230128114393,0.021970406402532717,OOS
F2_extreme_neg_funding_long,1479,0.4827586206896552,714,0.0151056512525139,0.03057600545256535,0.012145932601418866,0.018430072851146482,-0.005750047974602187,0.04317439544189149,0.134,-0.007567952784233429,0.043051561737384725,-1.5791112236952396,-0.02498234332579466,-0.19927688249489375,6.335653616029259e-05,0.08164474234803672,2.3890101177978966,-0.006177949886853895,-0.012776771608641144,OOS
F3_funding_despite_reversal_short,1747,0.5827132226674299,1018,-0.0011081273263639174,-0.0034831756814231872,-0.00013491989011148964,-0.0033482557913116972,-0.027945107840469226,0.018143505664293277,0.816,-0.027654581492512015,0.0187203385742335,-1.4316034235015778,-0.07300679973973102,-0.301058693407462,0.1685651231968314,0.09579351003309405,,-0.013729775476934094,0.0017347107299090477,OOS
F4_high_funding_ann_100pct_short,303,0.33003300330033003,100,-0.03916682876548356,0.019497971420299288,-0.00783288212684708,0.027330853547146372,-0.03198316048438918,0.15999838172346814,0.415,-0.03168476374244108,0.161238422343421,-1.422531607168554,-0.576457757210504,-0.3674982180739236,0.3235215024726627,0.23222144117709007,,-0.06030699681540378,-0.006097815549202415,OOS
L1_new_perp_listing_short,414,0.0,0,0.0030299161088522034,,,,,,,,,,,,,,,-0.01650297695576936,0.023277286658903464,OOS
O1_price_up_OI_up,2307,0.9930645860424794,2291,0.017793172702981745,0.01779317270298174,0.014137423732690118,0.0036557489702916256,-0.001527546330147172,0.008390384663043664,0.169,-0.008681764455892966,0.015366065247181477,0.05290534640353561,0.044953120909643714,-0.015289169191141627,0.05324196706292749,0.08855326232326094,0.33529485049443214,0.006828758389870862,0.0003090572940240563,OOS
O2_price_up_OI_down,52,1.0,52,0.0030581196513363744,0.0030581196513363744,0.010114517123666518,-0.0070563974723301445,-0.023497721297690025,0.009403594152482169,0.425,-0.02290011474225592,0.010495645172454075,-0.8341415959841582,-0.5184382272795304,0.5663345064713186,-0.19042414555794174,-0.4251642190632615,,-0.02313502273677408,-0.00858817722697732,OOS
O3_price_down_OI_up,104,1.0,104,-0.011235860662043348,-0.011235860662043348,-8.519705345396863e-05,-0.011150663608589377,-0.030323512011983682,0.006487879062527759,0.224,-0.025962430753124995,0.0036331521548386273,-0.6339502286839697,-0.6008123843124784,0.3654557974078838,-0.2930265699142034,-0.07860662152382991,,-0.028127653740736874,-0.01698280849965901,OOS
O4_price_down_OI_down,2036,0.9941060903732809,2024,0.002317450638089937,0.002317450638089937,4.305740484719211e-05,0.002274393233242746,-0.002485115959669651,0.0068896147834710784,0.364,-0.010886041193267143,0.017828065097512374,0.03937695055251749,0.08134843720255348,-0.041799237387517556,0.1365429293570064,0.05062283997619369,,-0.008444740728123144,-0.011934852400045444,OOS
P1_premium_z_high_short,3441,0.3650101714617844,1256,-0.0010116033316259802,0.004191790920945163,-0.010635035092826088,0.014826826013771253,0.0017581532009714835,0.03677879544443033,0.024,-0.002861423791704674,0.04124070990594327,-1.0134079617016387,-0.009111484440206727,-0.40259171588570347,0.5863388999350526,0.24141569543938285,,-0.012330092912368282,-0.002835823977352609,OOS
P2_premium_z_low_long,6664,0.40081032412965184,2671,0.00604280281146496,0.007656289328301418,0.005483256660746945,0.0021730326675544727,-0.012642491867916161,0.01917431620323465,0.882,-0.01448227522289684,0.02110094340742996,-1.36653356600497,0.17810921771578905,-0.19434528284296881,0.04569124805955125,0.0052343135186414215,,-0.007196459405572265,-0.01302578072252802,OOS
Q1_long_liq_flush_OI_reset_long,846,0.8652482269503546,732,0.016523277389796,0.017364924368511465,6.391377099522769e-05,0.017301010597516236,-0.0034211214769681295,0.03581868978436955,0.104,-0.003833871128939144,0.039468496286430885,0.11174352923660888,0.057806585926088484,-0.18393182134147257,0.266722435833718,-0.043437362121299145,0.6114623256410846,0.0035513605366576874,0.003588485728663746,OOS
Q2_long_liq_OI_rebuild_short,342,0.6461988304093568,221,-0.040494192775651354,-0.04593688863229859,-0.014838472376438129,-0.03109841625586047,-0.0832879624819378,0.01722381439198621,0.227,-0.0839241768832443,0.018332166172555144,-0.29018309495121103,-0.2537928815823306,0.10089887714181697,0.18031059664054513,0.011849223049424314,,-0.05542637226080259,-0.03807387958732053,OOS
