,CB1_coinbase_premium_high_long_BTC,CB2_coinbase_premium_low_short_BTC,F1_extreme_pos_funding_short,F2_extreme_neg_funding_long,F3_funding_despite_reversal_short,F4_high_funding_ann_100pct_short,P1_premium_z_high_short,P2_premium_z_low_long,L1_new_perp_listing_short,C1_funding_interval_shortened,Q1_long_liq_flush_OI_reset_long,Q2_long_liq_OI_rebuild_short,Q3_short_liq_squeeze_OI_reset_short,Q4_short_liq_OI_rebuild_long,U1_control_price_up_1sd_long,U2_control_price_down_1sd_long,O1_price_up_OI_up,O2_price_up_OI_down,O3_price_down_OI_up,O4_price_down_OI_down,X1_crowded_long_reversal,X2_short_squeeze_continuation,X3_capitulation_rebound,X4_funding_despite_reversal_OI,BTC,Gerhard_3close,majors_alts_LS
CB1_coinbase_premium_high_long_BTC,1.0,-0.03893373640719085,-0.028957041454175037,-0.028780781014906234,0.0034773080505318263,-0.01678106030647672,0.011097003429910601,-0.016919152693156952,-0.029414117041499956,0.02059516580859738,0.05658534583926275,0.014552978730637137,-0.06294041717546599,0.0028929286137147825,-0.014960971859043052,0.02186627213768721,-0.001888697204268462,0.03418698417279992,0.0017860261032428782,0.03685775879274311,0.005387849021558972,0.00294728457003043,0.06615551377362845,-0.05295061354102467,0.2601249080505944,0.2905752258675463,0.031503482639344015
CB2_coinbase_premium_low_short_BTC,-0.03893373640719085,1.0,-0.062170162737859205,-0.005507167633799263,0.016256510435228026,-0.04320237090645325,0.02389408643744032,0.009608312632411117,0.025185701572126656,0.042450557503398885,0.0004697511819220362,0.02731836577011113,0.05650080957904901,-0.027643189512016733,-0.014166730106300103,-0.01963265496628938,-0.00974850412678204,0.005372257589106056,-0.015128998444310876,-0.0070762505699369805,-0.013718393588111088,0.0301175502966346,0.051254221777040705,0.08276031865539155,-0.35537652494232747,-0.21839882509007924,-0.023138409358945417
F1_extreme_pos_funding_short,-0.028957041454175037,-0.062170162737859205,1.0,-0.11708300635482705,0.25799518422834516,0.39536033896168554,0.39559036238399686,-0.18983760051832108,0.08819089254098411,-0.02565613844750474,-0.1484678219361953,0.15186785877722978,0.07331891557740274,-0.2163857480164917,-0.2446812311976712,-0.2390256916897859,-0.23687458046883536,-0.018458261678617638,-0.042524779585072066,-0.21539089714271964,0.11813625164559627,-0.0797532471447915,-0.09295004786725224,0.02892496460600415,-0.0006567560261179503,-0.017183173671490217,-0.059223053695584726
F2_extreme_neg_funding_long,-0.028780781014906234,-0.005507167633799263,-0.11708300635482705,1.0,-0.3688464190030148,-0.05107404460853675,-0.42331759659538504,0.631415474398384,-0.14771138426071917,0.24270865763994592,0.3069194068792995,-0.24689290776387637,-0.1246424550934513,0.2917660273827879,0.38918035526779754,0.4361963339971724,0.33210796055130765,0.05856308602372704,0.22173980238361074,0.3897068323067335,0.004969972900743568,0.26303925542154744,0.22955901938760687,-0.12223403108539406,-0.014437769853018105,0.03137915685836644,0.024741178353206487
F3_funding_despite_reversal_short,0.0034773080505318263,0.016256510435228026,0.25799518422834516,-0.3688464190030148,1.0,0.1873970669382293,0.4989990771308458,-0.534765631059503,0.22128737029396883,-0.006586603910666176,-0.4296970975532763,0.21410420316562634,0.17364787898617984,-0.2696054600480883,-0.44296151805677586,-0.5535534540703296,-0.3650112369568978,-0.09746704494894566,-0.20326938645976608,-0.5130940238054014,-0.004475327604812743,-0.2517821357888304,-0.303021508242649,0.2557239597141887,-0.09346411787043739,-0.07952755885068095,-0.08197718924062142
F4_high_funding_ann_100pct_short,-0.01678106030647672,-0.04320237090645325,0.39536033896168554,-0.05107404460853675,0.1873970669382293,1.0,0.22516934915454642,-0.1302615635370458,0.09840703244410394,-0.0092083520927682,-0.11162284362685891,0.13043450768554826,0.04583153520133851,-0.1969764727025393,-0.21614781285280288,-0.17933477563143974,-0.21005780410882177,-0.022252441781513494,-0.021342911871831193,-0.16252183366654147,0.09777485241094373,-0.04393492701120574,-0.017849432523718466,0.00842646810467356,-0.02877261714620653,-0.06939437870455345,-0.012312682289725846
P1_premium_z_high_short,0.011097003429910601,0.02389408643744032,0.39559036238399686,-0.42331759659538504,0.4989990771308458,0.22516934915454642,1.0,-0.594722254905839,0.20098653410449438,-0.0033571289053926294,-0.411215980937492,0.3102588801437958,0.1955347128701932,-0.4276356542383037,-0.595708229156906,-0.6330414184712068,-0.5446849036886001,-0.1400527253844343,-0.21480899050047034,-0.5456204525175146,0.0648606502245024,-0.24105474170819877,-0.26625018714266036,0.13352752218045133,-0.03315772625494084,-0.06277446925447432,-0.09867229159708991
P2_premium_z_low_long,-0.016919152693156952,0.009608312632411117,-0.18983760051832108,0.631415474398384,-0.534765631059503,-0.1302615635370458,-0.594722254905839,1.0,-0.19731640174853227,0.08356301514698498,0.4153276080466421,-0.274653725838288,-0.1666422728470815,0.42899848666984347,0.6050089477796273,0.6544910138321576,0.5255187048914757,0.12217011706792172,0.24939148816055756,0.5621397118093878,-0.04514818272196525,0.2976597218919106,0.31519639223663687,-0.18328254951950232,-0.0024152470433652425,0.04796110120210378,0.10188413253042244
L1_new_perp_listing_short,-0.029414117041499956,0.025185701572126656,0.08819089254098411,-0.14771138426071917,0.22128737029396883,0.09840703244410394,0.20098653410449438,-0.19731640174853227,1.0,-0.009835587557956528,-0.11461213382321798,0.060222244365563775,0.028745704876254427,-0.11296189080933292,-0.15737185147633773,-0.19015766767223666,-0.13107317782480465,-0.030667453750560132,-0.04146865161472904,-0.16652652625151995,0.05043346791486373,-0.05777743357630689,-0.12711561704728175,0.04808862332268559,-0.06440244642344616,-0.05966904617385929,-0.06597112095325988
C1_funding_interval_shortened,0.02059516580859738,0.042450557503398885,-0.02565613844750474,0.24270865763994592,-0.006586603910666176,-0.0092083520927682,-0.0033571289053926294,0.08356301514698498,-0.009835587557956528,1.0,0.012774313167713805,-0.04358012494287243,0.000661908356837133,0.042243182390078814,0.0361735680763145,0.020185949129215966,0.047616270399443196,0.02722469681471345,0.01525489963403243,0.018306481837006054,0.007674318959052366,-0.0012807915028654583,0.008725691711754814,0.014197181682922583,-0.02267942886607189,-0.002913906787284757,0.053374751504321576
