asset,reason
AAOIUSDT,non-crypto underlying (TradFi perp)
AAPLUSDT,non-crypto underlying (TradFi perp)
ADBEUSDT,non-crypto underlying (TradFi perp)
ALABUSDT,non-crypto underlying (TradFi perp)
ALLUSDT,non-crypto underlying (TradFi perp)
AMATUSDT,non-crypto underlying (TradFi perp)
AMDUSDT,non-crypto underlying (TradFi perp)
AMZNUSDT,non-crypto underlying (TradFi perp)
ANTHROPICUSDT,non-crypto underlying (TradFi perp)
APPUSDT,non-crypto underlying (TradFi perp)
ARMUSDT,non-crypto underlying (TradFi perp)
ASMLUSDT,non-crypto underlying (TradFi perp)
ASTSUSDT,non-crypto underlying (TradFi perp)
AVGOUSDT,non-crypto underlying (TradFi perp)
AXTIUSDT,non-crypto underlying (TradFi perp)
BABAUSDT,non-crypto underlying (TradFi perp)
BBXUSDT,non-crypto underlying (TradFi perp)
BEUSDT,non-crypto underlying (TradFi perp)
BITOUSDT,non-crypto underlying (TradFi perp)
BLUEBIRDUSDT,stable/index base
BMNRUSDT,non-crypto underlying (TradFi perp)
BNCUSDT,non-crypto underlying (TradFi perp)
BOTUSDT,non-crypto underlying (TradFi perp)
BRKBUSDT,non-crypto underlying (TradFi perp)
BSPUSDT,non-crypto underlying (TradFi perp)
BTCDOMUSDT,stable/index base
BXUSDT,non-crypto underlying (TradFi perp)
BZUSDT,non-crypto underlying (TradFi perp)
CATUSDT,non-crypto underlying (TradFi perp)
CBRSUSDT,non-crypto underlying (TradFi perp)
CIENUSDT,non-crypto underlying (TradFi perp)
CLUSDT,non-crypto underlying (TradFi perp)
COHRUSDT,non-crypto underlying (TradFi perp)
COINUSDT,non-crypto underlying (TradFi perp)
COPPERUSDT,non-crypto underlying (TradFi perp)
COSTUSDT,non-crypto underlying (TradFi perp)
CRCLUSDT,non-crypto underlying (TradFi perp)
CRDOUSDT,non-crypto underlying (TradFi perp)
CRMUSDT,non-crypto underlying (TradFi perp)
CRWDUSDT,non-crypto underlying (TradFi perp)
CRWVUSDT,non-crypto underlying (TradFi perp)
CSCOUSDT,non-crypto underlying (TradFi perp)
CSOPSAMSUNG2LUSDT,non-crypto underlying (TradFi perp)
CSOPSKHYNIX2LUSDT,non-crypto underlying (TradFi perp)
CXMTUSDT,non-crypto underlying (TradFi perp)
DEFIUSDT,stable/index base
DELLUSDT,non-crypto underlying (TradFi perp)
DISUSDT,non-crypto underlying (TradFi perp)
DKNGUSDT,non-crypto underlying (TradFi perp)
DRAMUSDT,non-crypto underlying (TradFi perp)
EBAYUSDT,non-crypto underlying (TradFi perp)
EWJUSDT,non-crypto underlying (TradFi perp)
EWTUSDT,non-crypto underlying (TradFi perp)
EWYUSDT,non-crypto underlying (TradFi perp)
EWZUSDT,non-crypto underlying (TradFi perp)
FLEXUSDT,non-crypto underlying (TradFi perp)
FLNCUSDT,non-crypto underlying (TradFi perp)
FOOTBALLUSDT,stable/index base
FWDIUSDT,non-crypto underlying (TradFi perp)
GDXUSDT,non-crypto underlying (TradFi perp)
GEVUSDT,non-crypto underlying (TradFi perp)
GIGADEVUSDT,non-crypto underlying (TradFi perp)
GLWUSDT,non-crypto underlying (TradFi perp)
GMEUSDT,non-crypto underlying (TradFi perp)
GOOGLUSDT,non-crypto underlying (TradFi perp)
GSUSDT,non-crypto underlying (TradFi perp)
HANMIUSDT,non-crypto underlying (TradFi perp)
HDUSDT,non-crypto underlying (TradFi perp)
HIMSUSDT,non-crypto underlying (TradFi perp)
HK0700USDT,non-crypto underlying (TradFi perp)
HK1810USDT,non-crypto underlying (TradFi perp)
HOODUSDT,non-crypto underlying (TradFi perp)
HPEUSDT,non-crypto underlying (TradFi perp)
HYUNDAIUSDT,non-crypto underlying (TradFi perp)
IBMUSDT,non-crypto underlying (TradFi perp)
INTCUSDT,non-crypto underlying (TradFi perp)
INTWUSDT,non-crypto underlying (TradFi perp)
IRENUSDT,non-crypto underlying (TradFi perp)
IWMUSDT,non-crypto underlying (TradFi perp)
JPMUSDT,non-crypto underlying (TradFi perp)
KSTRUSDT,non-crypto underlying (TradFi perp)
KUAISHOUUSDT,non-crypto underlying (TradFi perp)
LGELECTRONICSUSDT,non-crypto underlying (TradFi perp)
LITEUSDT,non-crypto underlying (TradFi perp)
LLYUSDT,non-crypto underlying (TradFi perp)
LRCXUSDT,non-crypto underlying (TradFi perp)
LYTEUSDT,non-crypto underlying (TradFi perp)
