signal,n_events,events_skipped_missing_entry,positions_truncated_missing_price
CB1_coinbase_premium_high_long_BTC,26,0,0
CB2_coinbase_premium_low_short_BTC,50,0,0
F1_extreme_pos_funding_short,998,8,11
F2_extreme_neg_funding_long,2406,4,14
F3_funding_despite_reversal_short,3021,5,7
F4_high_funding_ann_100pct_short,1058,2,7
P1_premium_z_high_short,6767,5,19
P2_premium_z_low_long,10643,4,12
L1_new_perp_listing_short,589,0,0
C1_funding_interval_shortened,136,0,2
Q1_long_liq_flush_OI_reset_long,1475,0,0
Q2_long_liq_OI_rebuild_short,567,0,0
Q3_short_liq_squeeze_OI_reset_short,248,0,0
Q4_short_liq_OI_rebuild_long,1811,0,0
U1_control_price_up_1sd_long,6238,0,0
U2_control_price_down_1sd_long,6247,1,0
O1_price_up_OI_up,3579,0,0
O2_price_up_OI_down,86,0,0
O3_price_down_OI_up,177,0,0
O4_price_down_OI_down,3367,1,0
X1_crowded_long_reversal,46,0,0
X2_short_squeeze_continuation,427,0,0
X3_capitulation_rebound,483,0,0
X4_funding_despite_reversal_OI,85,0,0
