signal,period,active_share,n,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,WorstDay,Skew
CB1_coinbase_premium_high_long_BTC,ALL,0.0578806767586821,2246,0.010186342935416759,0.021960746667242955,0.4724226844033912,0.23726051403681062,-0.036620580183360785,0.27815897193363165,-0.008047978040479273,6.71646476497233
CB1_coinbase_premium_high_long_BTC,IS,0.06756756756756757,1258,0.020720449588744527,0.027013514342936286,0.7726391962011026,0.4602822140744804,-0.036620580183360785,0.5658143449665834,-0.008047978040479273,6.306281984107981
CB1_coinbase_premium_high_long_BTC,OOS,0.04554655870445344,988,-0.003069327213974349,0.012912775318414334,-0.23161470036019557,-0.073777745792828,-0.018565466437955425,-0.16532454082055195,-0.006507552273386845,1.1203084199513498
CB2_coinbase_premium_low_short_BTC,ALL,0.1179245283018868,2120,0.006102950345292291,0.032268093697214485,0.20466529371575107,0.10709910591591379,-0.0725118934000023,0.08416481847503511,-0.02023122685560161,1.1825328818332057
CB2_coinbase_premium_low_short_BTC,IS,0.10159010600706714,1132,-0.008349068967735795,0.02899897074486658,-0.274635597311739,-0.13039310692019426,-0.060236937578283634,-0.1386038086163558,-0.014209995333456118,0.6074744731079931
CB2_coinbase_premium_low_short_BTC,OOS,0.13663967611336034,988,0.02292042232938374,0.03564217978206127,0.6536015407922466,0.37143500900070997,-0.04342949009930164,0.5277617185229699,-0.02023122685560161,1.4860108216769976
F1_extreme_pos_funding_short,ALL,0.41726332537788385,2514,-0.0981353238767626,0.14613867486818138,-0.6319912906027846,-0.43444731000161174,-0.6058962093594809,-0.16196721874280368,-0.1260468831558458,-4.010034403441711
F1_extreme_pos_funding_short,IS,0.2595019659239843,1526,-0.10499986846717568,0.09917348884032536,-1.0684616947648253,-0.6659984513614964,-0.37807697141129415,-0.2777208780403362,-0.06112383251088168,-1.9743590886849416
F1_extreme_pos_funding_short,OOS,0.6609311740890689,988,-0.08742919371020441,0.19793255256132034,-0.3604532703684094,-0.2953802137461258,-0.4101765751457288,-0.21315013827677093,-0.1260468831558458,-3.742869139527034
F2_extreme_neg_funding_long,ALL,0.8632730332351704,2377,-0.12219461131770903,0.21654499544238348,-0.4939363695162603,-0.6980612368108349,-0.8073285460186126,-0.15135673316683626,-0.10134911537045525,0.6695108523758043
F2_extreme_neg_funding_long,IS,0.7897768178545717,1389,-0.10888206100475939,0.20324121027907965,-0.4654989504883411,-0.5802999932721464,-0.5739185775835078,-0.18971691326530815,-0.10134911537045525,0.13382568743710913
