rebalance_date,snapshot_date,symbol,weight,marketcap
2024-04-01,2024-04-01,ETH,0.1,437709753307.89496
2024-04-01,2024-04-01,BNB,0.09801588778359423,93359245453.8439
2024-04-01,2024-04-01,SOL,0.09629397654963387,90107848570.01535
2024-04-01,2024-04-01,XRP,0.05963685817415854,34561603886.808945
2024-04-01,2024-04-01,DOGE,0.05709214609114559,31675035772.351543
2024-04-01,2024-04-01,ADA,0.048583096234253116,22936901822.21796
2024-04-01,2024-04-01,AVAX,0.045819179289247995,20401353868.784645
2024-04-01,2024-04-01,DOT,0.03652748009108678,12965933881.16963
2024-04-01,2024-04-01,LINK,0.03397901670424897,11219822623.010437
2024-04-01,2024-04-01,TRX,0.033309353960164385,10781937160.012205
2024-04-01,2024-04-01,UNI,0.031666576197927926,9744657891.90835
2024-04-01,2024-04-01,ICP,0.029926177852180408,8702957895.858997
2024-04-01,2024-04-01,LTC,0.028382695548683747,7828375599.158824
2024-04-01,2024-04-01,APT,0.026388604989932334,6767016597.088113
2024-04-01,2024-04-01,FIL,0.02331521912954989,5282547128.115877
2024-04-01,2024-04-01,ETC,0.02275510674717545,5031785641.925808
2024-04-01,2024-04-01,ATOM,0.022221481420859897,4798554081.335236
2024-04-01,2024-04-01,ARB,0.021300651518722215,4409102060.164006
2024-04-01,2024-04-01,XLM,0.02043868377974116,4059478317.529532
2024-04-01,2024-04-01,OP,0.019543355974797012,3711612788.189081
2024-04-01,2024-04-01,GRT,0.01952796509502758,3705769115.017249
2024-04-01,2024-04-01,THETA,0.017750922720397834,3062007455.029268
2024-04-01,2024-04-01,ALGO,0.014915619392171486,2161956556.2488804
2024-04-01,2024-04-01,FLOW,0.014387122422269243,2011463959.021611
2024-04-01,2024-04-01,QNT,0.014061563545505586,1921461136.367998
2024-04-01,2024-04-01,AAVE,0.013959907278635712,1893779646.4620297
2024-04-01,2024-04-01,EGLD,0.012877225904841697,1611420952.7960358
2024-04-01,2024-04-01,SAND,0.012737911085059424,1576742606.6305268
2024-04-01,2024-04-01,AXS,0.012720192540926595,1572359132.359817
2024-04-01,2024-04-01,XTZ,0.011866021978061343,1368279039.0781462
2024-05-01,2024-05-01,ETH,0.10000000000000003,368786372970.94403
2024-05-01,2024-05-01,BNB,0.10000000000000003,89108408710.81897
2024-05-01,2024-05-01,SOL,0.09317579426957176,57068380747.46253
2024-05-01,2024-05-01,XRP,0.06487112159304392,27662546470.185024
2024-05-01,2024-05-01,DOGE,0.05413215275334994,19261936212.56608
2024-05-01,2024-05-01,ADA,0.048733607675460464,15611565965.335426
2024-05-01,2024-05-01,AVAX,0.04351037449292805,12444429323.818825
2024-05-01,2024-05-01,TRX,0.03991930401854609,10475029742.468359
2024-05-01,2024-05-01,DOT,0.03646688334326576,8741513618.393106
2024-05-01,2024-05-01,LINK,0.034294305564234386,7730958985.435512
2024-05-01,2024-05-01,ICP,0.030152620806832654,5976397498.302571
2024-05-01,2024-05-01,LTC,0.03004858985774536,5935229748.564649
2024-05-01,2024-05-01,UNI,0.028443767732068297,5318186829.776377
2024-05-01,2024-05-01,ETC,0.023867901485529374,3744706773.48776
2024-05-01,2024-05-01,APT,0.023820095469440458,3729720937.423075
2024-05-01,2024-05-01,ATOM,0.02249186469238917,3325372242.95835
2024-05-01,2024-05-01,XLM,0.021787091217037067,3120238896.272254
